local_nano_time,quote_nano_time,datetime,last_price,highest,lowest,open,close,average,volume,amount,open_interest,ask_price1,ask_volume1,bid_price1,bid_volume1,ask_price2,ask_volume2,bid_price2,bid_volume2,ask_price3,ask_volume3,bid_price3,bid_volume3,ask_price4,ask_volume4,bid_price4,bid_volume4,ask_price5,ask_volume5,bid_price5,bid_volume5
1597988230112525056,1597988230000000000,2020-08-21 13:37:10.000000,6540.0,6605.8,6523.0,6540.0,nan,6563.5,83498,109607850200.0,116075,6540.8,2,6540.4,2,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988230537775104,1597988230500000000,2020-08-21 13:37:10.500000,6539.2,6605.8,6523.0,6540.0,nan,6563.5,83500,109610465920.0,116074,6540.2,3,6539.0,3,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988231037544960,1597988231000000000,2020-08-21 13:37:11.000000,6539.8,6605.8,6523.0,6540.0,nan,6563.5,83502,109613081840.0,116075,6540.2,1,6540.0,2,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988231531106048,1597988231500000000,2020-08-21 13:37:11.500000,6540.0,6605.8,6523.0,6540.0,nan,6563.5,83506,109618313680.0,116079,6539.8,1,6539.0,1,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988232031219968,1597988232000000000,2020-08-21 13:37:12.000000,6538.8,6605.8,6523.0,6540.0,nan,6563.5,83507,109619621440.0,116080,6540.0,1,6538.8,2,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988232530961920,1597988232500000000,2020-08-21 13:37:12.500000,6539.0,6605.8,6523.0,6540.0,nan,6563.5,83508,109620929240.0,116081,6539.0,1,6538.8,2,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988233031034880,1597988233000000000,2020-08-21 13:37:13.000000,6539.8,6605.8,6523.0,6540.0,nan,6563.5,83514,109628776280.0,116084,6540.0,1,6539.8,1,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988233531581952,1597988233500000000,2020-08-21 13:37:13.500000,6539.8,6605.8,6523.0,6540.0,nan,6563.5,83515,109630084240.0,116085,6540.0,2,6539.8,2,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988234033143040,1597988234000000000,2020-08-21 13:37:14.000000,6539.8,6605.8,6523.0,6540.0,nan,6563.5,83515,109630084240.0,116085,6540.0,2,6539.8,2,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988234535495936,1597988234500000000,2020-08-21 13:37:14.500000,6540.0,6605.8,6523.0,6540.0,nan,6563.5,83517,109632700240.0,116087,6540.8,1,6540.0,1,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988235028904960,1597988235000000000,2020-08-21 13:37:15.000000,6541.0,6605.8,6523.0,6540.0,nan,6563.5,83520,109636624600.0,116090,6541.0,4,6540.0,1,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988235531334912,1597988235500000000,2020-08-21 13:37:15.500000,6540.8,6605.8,6523.0,6540.0,nan,6563.5,83522,109639240800.0,116091,6541.0,4,6540.0,1,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988236034195968,1597988236000000000,2020-08-21 13:37:16.000000,6540.0,6605.8,6523.0,6540.0,nan,6563.5,83523,109640548800.0,116092,6541.0,4,6539.8,2,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988236552260096,1597988236500000000,2020-08-21 13:37:16.500000,6540.0,6605.8,6523.0,6540.0,nan,6563.5,83523,109640548800.0,116092,6540.0,2,6539.8,2,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988237037357056,1597988237000000000,2020-08-21 13:37:17.000000,6538.6,6605.8,6523.0,6540.0,nan,6563.5,83528,109647088000.0,116097,6538.2,3,6538.0,5,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988237542081024,1597988237500000000,2020-08-21 13:37:17.500000,6538.0,6605.8,6523.0,6540.0,nan,6563.5,83537,109658856400.0,116099,6538.0,2,6537.8,1,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988238041298944,1597988238000000000,2020-08-21 13:37:18.000000,6538.0,6605.8,6523.0,6540.0,nan,6563.5,83544,109668009560.0,116104,6539.6,5,6538.6,1,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988238538572032,1597988238500000000,2020-08-21 13:37:18.500000,6538.0,6605.8,6523.0,6540.0,nan,6563.5,83547,109671932480.0,116102,6538.0,1,6537.4,3,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988239038829056,1597988239000000000,2020-08-21 13:37:19.000000,6538.0,6605.8,6523.0,6540.0,nan,6563.5,83548,109673240080.0,116103,6538.6,1,6537.4,5,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988239550375936,1597988239500000000,2020-08-21 13:37:19.500000,6537.8,6605.8,6523.0,6540.0,nan,6563.5,83550,109675855360.0,116105,6539.2,1,6537.6,1,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988240040492032,1597988240000000000,2020-08-21 13:37:20.000000,6537.8,6605.8,6523.0,6540.0,nan,6563.5,83552,109678470480.0,116107,6538.6,2,6537.6,1,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988240539983872,1597988240500000000,2020-08-21 13:37:20.500000,6537.8,6605.8,6523.0,6540.0,nan,6563.5,83552,109678470480.0,116107,6538.2,1,6537.6,1,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988241076713984,1597988241000000000,2020-08-21 13:37:21.000000,6537.6,6605.8,6523.0,6540.0,nan,6563.5,83559,109687622960.0,116109,6538.0,1,6537.4,1,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
