local_nano_time,quote_nano_time,datetime,last_price,highest,lowest,open,close,average,volume,amount,open_interest,ask_price1,ask_volume1,bid_price1,bid_volume1,ask_price2,ask_volume2,bid_price2,bid_volume2,ask_price3,ask_volume3,bid_price3,bid_volume3,ask_price4,ask_volume4,bid_price4,bid_volume4,ask_price5,ask_volume5,bid_price5,bid_volume5
1597988226566760960,1597988226500000000,2020-08-21 13:37:06.500000,6540.0,6605.8,6523.0,6540.0,nan,6563.508,83476,109579077360.0,116065,6539.8,2,6538.6,1,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988227074106112,1597988227000000000,2020-08-21 13:37:07.000000,6540.0,6605.8,6523.0,6540.0,nan,6563.508,83476,109579077360.0,116065,6539.0,1,6538.6,1,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988227561036032,1597988227500000000,2020-08-21 13:37:07.500000,6539.0,6605.8,6523.0,6540.0,nan,6563.507,83479,109583000920.0,116067,6538.8,2,6538.6,1,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988228077787904,1597988228000000000,2020-08-21 13:37:08.000000,6538.8,6605.8,6523.0,6540.0,nan,6563.504,83488,109594770760.0,116072,6538.8,1,6538.6,1,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988228558351872,1597988228500000000,2020-08-21 13:37:08.500000,6538.8,6605.8,6523.0,6540.0,nan,6563.504,83490,109597386280.0,116073,6539.8,2,6539.0,1,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988229079736064,1597988229000000000,2020-08-21 13:37:09.000000,6539.8,6605.8,6523.0,6540.0,nan,6563.504,83491,109598694240.0,116074,6539.8,1,6538.8,3,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988229560899072,1597988229500000000,2020-08-21 13:37:09.500000,6540.0,6605.8,6523.0,6540.0,nan,6563.503,83494,109602618200.0,116075,6540.0,2,6539.0,3,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988230051205120,1597988230000000000,2020-08-21 13:37:10.000000,6540.0,6605.8,6523.0,6540.0,nan,6563.502,83498,109607850200.0,116075,6540.8,2,6540.4,2,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988230549618944,1597988230500000000,2020-08-21 13:37:10.500000,6539.2,6605.8,6523.0,6540.0,nan,6563.501,83500,109610465920.0,116074,6540.2,3,6539.0,3,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988231046647040,1597988231000000000,2020-08-21 13:37:11.000000,6539.8,6605.8,6523.0,6540.0,nan,6563.5,83502,109613081840.0,116075,6540.2,1,6540.0,2,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988231556002048,1597988231500000000,2020-08-21 13:37:11.500000,6540.0,6605.8,6523.0,6540.0,nan,6563.499,83506,109618313680.0,116079,6539.8,1,6539.0,1,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988232042152960,1597988232000000000,2020-08-21 13:37:12.000000,6538.8,6605.8,6523.0,6540.0,nan,6563.499,83507,109619621440.0,116080,6540.0,1,6538.8,2,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988232538852096,1597988232500000000,2020-08-21 13:37:12.500000,6539.0,6605.8,6523.0,6540.0,nan,6563.499,83508,109620929240.0,116081,6539.0,1,6538.8,2,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
