local_nano_time,quote_nano_time,datetime,last_price,highest,lowest,open,close,average,volume,amount,open_interest,ask_price1,ask_volume1,bid_price1,bid_volume1,ask_price2,ask_volume2,bid_price2,bid_volume2,ask_price3,ask_volume3,bid_price3,bid_volume3,ask_price4,ask_volume4,bid_price4,bid_volume4,ask_price5,ask_volume5,bid_price5,bid_volume5
1597988226565952000,1597988226500000000,2020-08-21 13:37:06.500000,4694.6,4719.6,4680.0,4691.6,nan,4699.53,71038,100153558740.0,112507,4694.6,6,4694.2,2,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988227072737024,1597988227000000000,2020-08-21 13:37:07.000000,4694.6,4719.6,4680.0,4691.6,nan,4699.53,71038,100153558740.0,112507,4694.4,2,4694.2,2,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988227560293120,1597988227500000000,2020-08-21 13:37:07.500000,4694.2,4719.6,4680.0,4691.6,nan,4699.53,71041,100157783640.0,112509,4694.4,6,4694.2,2,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988228077050880,1597988228000000000,2020-08-21 13:37:08.000000,4694.2,4719.6,4680.0,4691.6,nan,4699.529,71042,100159191900.0,112508,4694.4,7,4694.2,1,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988228557359104,1597988228500000000,2020-08-21 13:37:08.500000,4694.2,4719.6,4680.0,4691.6,nan,4699.529,71043,100160600160.0,112508,4694.2,5,4694.0,2,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988229079197952,1597988229000000000,2020-08-21 13:37:09.000000,4694.4,4719.6,4680.0,4691.6,nan,4699.529,71050,100170458100.0,112507,4694.6,1,4694.2,2,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988229560484096,1597988229500000000,2020-08-21 13:37:09.500000,4694.2,4719.6,4680.0,4691.6,nan,4699.528,71059,100183132980.0,112511,4694.6,1,4694.4,1,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988230050476032,1597988230000000000,2020-08-21 13:37:10.000000,4694.6,4719.6,4680.0,4691.6,nan,4699.528,71060,100184541360.0,112512,4695.0,1,4694.4,2,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988230549174016,1597988230500000000,2020-08-21 13:37:10.500000,4694.6,4719.6,4680.0,4691.6,nan,4699.528,71064,100190175060.0,112513,4695.2,3,4694.4,3,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988231045740032,1597988231000000000,2020-08-21 13:37:11.000000,4694.6,4719.6,4680.0,4691.6,nan,4699.528,71064,100190175060.0,112513,4695.0,1,4694.4,3,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988231554050048,1597988231500000000,2020-08-21 13:37:11.500000,4695.0,4719.6,4680.0,4691.6,nan,4699.528,71065,100191583560.0,112513,4695.2,3,4694.4,3,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988232041416960,1597988232000000000,2020-08-21 13:37:12.000000,4695.0,4719.6,4680.0,4691.6,nan,4699.528,71065,100191583560.0,112513,4695.2,3,4694.4,3,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988232538065920,1597988232500000000,2020-08-21 13:37:12.500000,4694.4,4719.6,4680.0,4691.6,nan,4699.528,71067,100194400380.0,112514,4695.2,3,4694.4,2,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988233039820032,1597988233000000000,2020-08-21 13:37:13.000000,4694.4,4719.6,4680.0,4691.6,nan,4699.528,71068,100195808700.0,112515,4695.2,4,4694.6,1,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988233542339072,1597988233500000000,2020-08-21 13:37:13.500000,4694.4,4719.6,4680.0,4691.6,nan,4699.528,71069,100197217020.0,112515,4695.2,4,4694.4,2,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988234045159936,1597988234000000000,2020-08-21 13:37:14.000000,4694.4,4719.6,4680.0,4691.6,nan,4699.528,71069,100197217020.0,112515,4695.2,4,4694.4,3,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988234550065920,1597988234500000000,2020-08-21 13:37:14.500000,4694.4,4719.6,4680.0,4691.6,nan,4699.527,71070,100198625340.0,112516,4695.0,1,4694.4,3,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988235540305920,1597988235500000000,2020-08-21 13:37:15.500000,4695.0,4719.6,4680.0,4691.6,nan,4699.527,71071,100200033840.0,112517,4695.2,4,4694.6,1,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988236044102912,1597988236000000000,2020-08-21 13:37:16.000000,4695.0,4719.6,4680.0,4691.6,nan,4699.527,71072,100201442340.0,112517,4695.0,4,4694.6,2,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988236543222016,1597988236500000000,2020-08-21 13:37:16.500000,4695.0,4719.6,4680.0,4691.6,nan,4699.527,71074,100204259340.0,112519,4695.0,2,4694.6,1,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988237040892928,1597988237000000000,2020-08-21 13:37:17.000000,4694.2,4719.6,4680.0,4691.6,nan,4699.527,71081,100214117520.0,112519,4694.4,3,4694.0,4,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988237551185920,1597988237500000000,2020-08-21 13:37:17.500000,4694.2,4719.6,4680.0,4691.6,nan,4699.527,71081,100214117520.0,112519,4694.4,1,4694.0,5,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988238058109952,1597988238000000000,2020-08-21 13:37:18.000000,4694.0,4719.6,4680.0,4691.6,nan,4699.527,71083,100216933920.0,112521,4694.4,1,4694.0,2,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988238550362880,1597988238500000000,2020-08-21 13:37:18.500000,4693.4,4719.6,4680.0,4691.6,nan,4699.526,71089,100225382760.0,112521,4694.8,2,4693.4,4,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988239053644032,1597988239000000000,2020-08-21 13:37:19.000000,4693.4,4719.6,4680.0,4691.6,nan,4699.526,71092,100229606820.0,112522,4694.0,1,4693.4,2,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988239557869056,1597988239500000000,2020-08-21 13:37:19.500000,4693.8,4719.6,4680.0,4691.6,nan,4699.526,71094,100232422980.0,112522,4694.0,1,4693.4,1,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988240065068032,1597988240000000000,2020-08-21 13:37:20.000000,4693.8,4719.6,4680.0,4691.6,nan,4699.526,71095,100233831120.0,112523,4694.0,2,4693.4,1,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
