local_nano_time,quote_nano_time,datetime,last_price,highest,lowest,open,close,average,volume,amount,open_interest,ask_price1,ask_volume1,bid_price1,bid_volume1,ask_price2,ask_volume2,bid_price2,bid_volume2,ask_price3,ask_volume3,bid_price3,bid_volume3,ask_price4,ask_volume4,bid_price4,bid_volume4,ask_price5,ask_volume5,bid_price5,bid_volume5
1597988226566434048,1597988226500000000,2020-08-21 13:37:06.500000,3279.4,3300.0,3265.6,3282.0,nan,3281.336,27039,26617214700.0,43174,3279.4,2,3279.2,3,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988227073682944,1597988227000000000,2020-08-21 13:37:07.000000,3279.2,3300.0,3265.6,3282.0,nan,3281.336,27044,26622133740.0,43178,3279.8,1,3279.2,1,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988227560733952,1597988227500000000,2020-08-21 13:37:07.500000,3279.8,3300.0,3265.6,3282.0,nan,3281.336,27046,26624101620.0,43180,3279.2,1,3279.0,3,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988228077470976,1597988228000000000,2020-08-21 13:37:08.000000,3279.2,3300.0,3265.6,3282.0,nan,3281.336,27047,26625085380.0,43180,3280.0,14,3279.4,1,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988228557957888,1597988228500000000,2020-08-21 13:37:08.500000,3279.2,3300.0,3265.6,3282.0,nan,3281.336,27047,26625085380.0,43180,3279.8,1,3279.2,4,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988231046236928,1597988231000000000,2020-08-21 13:37:11.000000,3279.2,3300.0,3265.6,3282.0,nan,3281.336,27047,26625085380.0,43180,3279.8,1,3279.2,2,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988231555077120,1597988231500000000,2020-08-21 13:37:11.500000,3279.2,3300.0,3265.6,3282.0,nan,3281.336,27047,26625085380.0,43180,3279.8,1,3279.4,1,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988232538512896,1597988232500000000,2020-08-21 13:37:12.500000,3279.2,3300.0,3265.6,3282.0,nan,3281.336,27047,26625085380.0,43180,3279.8,1,3279.4,1,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988233040321024,1597988233000000000,2020-08-21 13:37:13.000000,3279.2,3300.0,3265.6,3282.0,nan,3281.336,27047,26625085380.0,43180,3279.8,1,3279.4,1,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988233543042048,1597988233500000000,2020-08-21 13:37:13.500000,3279.2,3300.0,3265.6,3282.0,nan,3281.336,27047,26625085380.0,43180,3279.8,1,3279.4,2,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988234045828096,1597988234000000000,2020-08-21 13:37:14.000000,3279.8,3300.0,3265.6,3282.0,nan,3281.336,27048,26626069320.0,43181,3280.0,21,3279.4,2,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988234550514944,1597988234500000000,2020-08-21 13:37:14.500000,3279.8,3300.0,3265.6,3282.0,nan,3281.336,27049,26627053260.0,43182,3280.0,17,3279.4,2,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988235033799936,1597988235000000000,2020-08-21 13:37:15.000000,3279.8,3300.0,3265.6,3282.0,nan,3281.336,27049,26627053260.0,43182,3280.0,17,3279.4,2,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988235540865024,1597988235500000000,2020-08-21 13:37:15.500000,3279.8,3300.0,3265.6,3282.0,nan,3281.336,27049,26627053260.0,43182,3279.8,1,3279.4,2,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988236044549888,1597988236000000000,2020-08-21 13:37:16.000000,3279.4,3300.0,3265.6,3282.0,nan,3281.335,27050,26628037080.0,43181,3279.8,1,3279.4,1,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988236543939072,1597988236500000000,2020-08-21 13:37:16.500000,3279.4,3300.0,3265.6,3282.0,nan,3281.335,27051,26629020900.0,43181,3279.8,1,3279.2,5,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988237042350080,1597988237000000000,2020-08-21 13:37:17.000000,3279.4,3300.0,3265.6,3282.0,nan,3281.335,27051,26629020900.0,43181,3279.8,1,3279.2,4,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988237551700992,1597988237500000000,2020-08-21 13:37:17.500000,3279.2,3300.0,3265.6,3282.0,nan,3281.335,27055,26632955940.0,43184,3279.2,6,3279.0,3,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988238058554880,1597988238000000000,2020-08-21 13:37:18.000000,3279.0,3300.0,3265.6,3282.0,nan,3281.335,27057,26634923340.0,43182,3279.2,1,3279.0,1,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988238551073024,1597988238500000000,2020-08-21 13:37:18.500000,3279.2,3300.0,3265.6,3282.0,nan,3281.335,27059,26636890800.0,43184,3279.6,4,3278.4,1,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988239054853120,1597988239000000000,2020-08-21 13:37:19.000000,3279.2,3300.0,3265.6,3282.0,nan,3281.335,27059,26636890800.0,43184,3279.4,2,3278.6,2,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988239558577920,1597988239500000000,2020-08-21 13:37:19.500000,3278.6,3300.0,3265.6,3282.0,nan,3281.335,27060,26637874380.0,43185,3279.4,3,3278.6,1,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988240065594112,1597988240000000000,2020-08-21 13:37:20.000000,3278.6,3300.0,3265.6,3282.0,nan,3281.335,27060,26637874380.0,43185,3279.2,3,3278.6,1,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988240549458944,1597988240500000000,2020-08-21 13:37:20.500000,3278.6,3300.0,3265.6,3282.0,nan,3281.335,27061,26638857960.0,43185,3279.2,4,3278.4,1,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988241066091008,1597988241000000000,2020-08-21 13:37:21.000000,3278.4,3300.0,3265.6,3282.0,nan,3281.334,27062,26639841480.0,43186,3278.4,1,3278.2,2,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988241566465024,1597988241500000000,2020-08-21 13:37:21.500000,3278.2,3300.0,3265.6,3282.0,nan,3281.334,27067,26644758960.0,43190,3278.2,2,3278.0,4,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
