local_nano_time,quote_nano_time,datetime,last_price,highest,lowest,open,close,average,volume,amount,open_interest,ask_price1,ask_volume1,bid_price1,bid_volume1,ask_price2,ask_volume2,bid_price2,bid_volume2,ask_price3,ask_volume3,bid_price3,bid_volume3,ask_price4,ask_volume4,bid_price4,bid_volume4,ask_price5,ask_volume5,bid_price5,bid_volume5
1597988230113511936,1597988230000000000,2020-08-21 13:37:10.000000,98.395,98.415,98.19,98.195,nan,98.296,29005,28510888100.0,71475,98.4,16,98.395,86,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988230538117120,1597988230500000000,2020-08-21 13:37:10.500000,98.4,98.415,98.19,98.195,nan,98.296,29007,28512856100.0,71477,98.4,24,98.395,86,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988231037963008,1597988231000000000,2020-08-21 13:37:11.000000,98.4,98.415,98.19,98.195,nan,98.296,29007,28512856100.0,71477,98.4,22,98.395,86,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988231531676928,1597988231500000000,2020-08-21 13:37:11.500000,98.4,98.415,98.19,98.195,nan,98.296,29007,28512856100.0,71477,98.4,22,98.395,88,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988232031568896,1597988232000000000,2020-08-21 13:37:12.000000,98.4,98.415,98.19,98.195,nan,98.296,29007,28512856100.0,71477,98.4,22,98.395,88,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988232531536896,1597988232500000000,2020-08-21 13:37:12.500000,98.395,98.415,98.19,98.195,nan,98.296,29008,28513840050.0,71477,98.4,22,98.395,87,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988233031697920,1597988233000000000,2020-08-21 13:37:13.000000,98.4,98.415,98.19,98.195,nan,98.296,29009,28514824050.0,71478,98.4,24,98.395,85,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988233531896064,1597988233500000000,2020-08-21 13:37:13.500000,98.4,98.415,98.19,98.195,nan,98.296,29009,28514824050.0,71478,98.4,24,98.395,87,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988234043566080,1597988234000000000,2020-08-21 13:37:14.000000,98.395,98.415,98.19,98.195,nan,98.296,29010,28515808000.0,71477,98.4,24,98.395,86,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988234535955968,1597988234500000000,2020-08-21 13:37:14.500000,98.395,98.415,98.19,98.195,nan,98.296,29010,28515808000.0,71477,98.4,24,98.395,84,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988235029534976,1597988235000000000,2020-08-21 13:37:15.000000,98.395,98.415,98.19,98.195,nan,98.296,29010,28515808000.0,71477,98.4,26,98.395,84,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988236552649984,1597988236500000000,2020-08-21 13:37:16.500000,98.395,98.415,98.19,98.195,nan,98.296,29010,28515808000.0,71477,98.4,27,98.395,84,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988237542664960,1597988237500000000,2020-08-21 13:37:17.500000,98.395,98.415,98.19,98.195,nan,98.296,29010,28515808000.0,71477,98.4,27,98.395,84,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988239550766080,1597988239500000000,2020-08-21 13:37:19.500000,98.395,98.415,98.19,98.195,nan,98.296,29011,28516791950.0,71477,98.4,27,98.395,83,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988240040834048,1597988240000000000,2020-08-21 13:37:20.000000,98.395,98.415,98.19,98.195,nan,98.296,29011,28516791950.0,71477,98.4,27,98.395,83,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988240540320000,1597988240500000000,2020-08-21 13:37:20.500000,98.395,98.415,98.19,98.195,nan,98.296,29011,28516791950.0,71477,98.4,47,98.395,84,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988241077052928,1597988241000000000,2020-08-21 13:37:21.000000,98.395,98.415,98.19,98.195,nan,98.297,29063,28567957350.0,71428,98.4,47,98.395,32,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988241548203008,1597988241500000000,2020-08-21 13:37:21.500000,98.395,98.415,98.19,98.195,nan,98.297,29097,28601411650.0,71426,98.4,47,98.395,1,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988242052492032,1597988242000000000,2020-08-21 13:37:22.000000,98.395,98.415,98.19,98.195,nan,98.297,29100,28604363500.0,71426,98.395,5,98.39,93,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988242555627008,1597988242500000000,2020-08-21 13:37:22.500000,98.395,98.415,98.19,98.195,nan,98.297,29105,28609283250.0,71428,98.4,49,98.395,4,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988243081967104,1597988243000000000,2020-08-21 13:37:23.000000,98.395,98.415,98.19,98.195,nan,98.297,29109,28613219050.0,71428,98.4,45,98.395,2,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
