local_nano_time,quote_nano_time,datetime,last_price,highest,lowest,open,close,average,volume,amount,open_interest,ask_price1,ask_volume1,bid_price1,bid_volume1,ask_price2,ask_volume2,bid_price2,bid_volume2,ask_price3,ask_volume3,bid_price3,bid_volume3,ask_price4,ask_volume4,bid_price4,bid_volume4,ask_price5,ask_volume5,bid_price5,bid_volume5
1597988226567345920,1597988226500000000,2020-08-21 13:37:06.500000,98.4,98.415,98.19,98.195,nan,98.296,28993,28499080200.0,71464,98.4,25,98.395,91,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988227075098112,1597988227000000000,2020-08-21 13:37:07.000000,98.4,98.415,98.19,98.195,nan,98.296,28993,28499080200.0,71464,98.4,25,98.395,91,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988227561622016,1597988227500000000,2020-08-21 13:37:07.500000,98.395,98.415,98.19,98.195,nan,98.296,28994,28500064150.0,71465,98.4,26,98.395,90,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988228078374912,1597988228000000000,2020-08-21 13:37:08.000000,98.395,98.415,98.19,98.195,nan,98.296,28994,28500064150.0,71465,98.4,26,98.395,90,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988228558669056,1597988228500000000,2020-08-21 13:37:08.500000,98.395,98.415,98.19,98.195,nan,98.296,28994,28500064150.0,71465,98.4,26,98.395,90,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988229080482048,1597988229000000000,2020-08-21 13:37:09.000000,98.395,98.415,98.19,98.195,nan,98.296,28994,28500064150.0,71465,98.4,26,98.395,87,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988229561207040,1597988229500000000,2020-08-21 13:37:09.500000,98.4,98.415,98.19,98.195,nan,98.296,29004,28509904150.0,71475,98.4,16,98.395,87,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988230051800064,1597988230000000000,2020-08-21 13:37:10.000000,98.395,98.415,98.19,98.195,nan,98.296,29005,28510888100.0,71475,98.4,16,98.395,86,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988230549967872,1597988230500000000,2020-08-21 13:37:10.500000,98.4,98.415,98.19,98.195,nan,98.296,29007,28512856100.0,71477,98.4,24,98.395,86,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988231046970112,1597988231000000000,2020-08-21 13:37:11.000000,98.4,98.415,98.19,98.195,nan,98.296,29007,28512856100.0,71477,98.4,22,98.395,86,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988231556731904,1597988231500000000,2020-08-21 13:37:11.500000,98.4,98.415,98.19,98.195,nan,98.296,29007,28512856100.0,71477,98.4,22,98.395,88,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988232042497024,1597988232000000000,2020-08-21 13:37:12.000000,98.4,98.415,98.19,98.195,nan,98.296,29007,28512856100.0,71477,98.4,22,98.395,88,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988232539219968,1597988232500000000,2020-08-21 13:37:12.500000,98.395,98.415,98.19,98.195,nan,98.296,29008,28513840050.0,71477,98.4,22,98.395,87,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
