local_nano_time,quote_nano_time,datetime,last_price,highest,lowest,open,close,average,volume,amount,open_interest,ask_price1,ask_volume1,bid_price1,bid_volume1,ask_price2,ask_volume2,bid_price2,bid_volume2,ask_price3,ask_volume3,bid_price3,bid_volume3,ask_price4,ask_volume4,bid_price4,bid_volume4,ask_price5,ask_volume5,bid_price5,bid_volume5
1597988233031366912,1597988233000000000,2020-08-21 13:37:13.000000,100.015,100.03,99.885,99.935,nan,99.963,9862,9858344000.0,30627,100.015,22,100.01,10,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988237038814976,1597988237000000000,2020-08-21 13:37:17.000000,100.015,100.03,99.885,99.935,nan,99.963,9863,9859344150.0,30627,100.015,21,100.01,10,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988237542373120,1597988237500000000,2020-08-21 13:37:17.500000,100.015,100.03,99.885,99.935,nan,99.963,9863,9859344150.0,30627,100.015,21,100.01,11,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988238041633024,1597988238000000000,2020-08-21 13:37:18.000000,100.015,100.03,99.885,99.935,nan,99.963,9863,9859344150.0,30627,100.015,21,100.01,11,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988241547618048,1597988241500000000,2020-08-21 13:37:21.500000,100.015,100.03,99.885,99.935,nan,99.963,9863,9859344150.0,30627,100.015,21,100.01,11,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988246052389120,1597988246000000000,2020-08-21 13:37:26.000000,100.015,100.03,99.885,99.935,nan,99.963,9863,9859344150.0,30627,100.015,41,100.01,11,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988246550737920,1597988246500000000,2020-08-21 13:37:26.500000,100.015,100.03,99.885,99.935,nan,99.963,9863,9859344150.0,30627,100.015,41,100.01,11,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988249041908992,1597988249000000000,2020-08-21 13:37:29.000000,100.015,100.03,99.885,99.935,nan,99.963,9863,9859344150.0,30627,100.015,41,100.01,11,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988249540877056,1597988249500000000,2020-08-21 13:37:29.500000,100.015,100.03,99.885,99.935,nan,99.963,9863,9859344150.0,30627,100.015,41,100.01,11,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988250559128064,1597988250500000000,2020-08-21 13:37:30.500000,100.015,100.03,99.885,99.935,nan,99.963,9863,9859344150.0,30627,100.015,41,100.01,11,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
