local_nano_time,quote_nano_time,datetime,last_price,highest,lowest,open,close,average,volume,amount,open_interest,ask_price1,ask_volume1,bid_price1,bid_volume1,ask_price2,ask_volume2,bid_price2,bid_volume2,ask_price3,ask_volume3,bid_price3,bid_volume3,ask_price4,ask_volume4,bid_price4,bid_volume4,ask_price5,ask_volume5,bid_price5,bid_volume5
1597988245560866048,1597988245500000000,2020-08-21 13:37:25.500000,100.355,100.375,100.32,100.33,nan,100.343,2431,4878674500.0,11089,100.355,14,100.35,14,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988246097033984,1597988246000000000,2020-08-21 13:37:26.000000,100.355,100.375,100.32,100.33,nan,100.343,2431,4878674500.0,11089,100.355,12,100.35,16,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988246575504896,1597988246500000000,2020-08-21 13:37:26.500000,100.355,100.375,100.32,100.33,nan,100.343,2431,4878674500.0,11089,100.355,11,100.35,17,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988247060388096,1597988247000000000,2020-08-21 13:37:27.000000,100.355,100.375,100.32,100.33,nan,100.343,2431,4878674500.0,11089,100.355,11,100.35,17,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988247571099904,1597988247500000000,2020-08-21 13:37:27.500000,100.355,100.375,100.32,100.33,nan,100.343,2431,4878674500.0,11089,100.355,11,100.35,17,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988248068272128,1597988248000000000,2020-08-21 13:37:28.000000,100.355,100.375,100.32,100.33,nan,100.343,2431,4878674500.0,11089,100.355,11,100.35,17,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988248558160896,1597988248500000000,2020-08-21 13:37:28.500000,100.355,100.375,100.32,100.33,nan,100.343,2431,4878674500.0,11089,100.355,11,100.35,17,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988249057047040,1597988249000000000,2020-08-21 13:37:29.000000,100.355,100.375,100.32,100.33,nan,100.343,2431,4878674500.0,11089,100.355,11,100.35,17,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988249555057920,1597988249500000000,2020-08-21 13:37:29.500000,100.355,100.375,100.32,100.33,nan,100.343,2431,4878674500.0,11089,100.355,11,100.35,17,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988250069792000,1597988250000000000,2020-08-21 13:37:30.000000,100.355,100.375,100.32,100.33,nan,100.343,2431,4878674500.0,11089,100.355,11,100.35,17,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988250568013056,1597988250500000000,2020-08-21 13:37:30.500000,100.355,100.375,100.32,100.33,nan,100.343,2431,4878674500.0,11089,100.355,11,100.35,17,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
