local_nano_time,quote_nano_time,datetime,last_price,highest,lowest,open,close,average,volume,amount,open_interest,ask_price1,ask_volume1,bid_price1,bid_volume1,ask_price2,ask_volume2,bid_price2,bid_volume2,ask_price3,ask_volume3,bid_price3,bid_volume3,ask_price4,ask_volume4,bid_price4,bid_volume4,ask_price5,ask_volume5,bid_price5,bid_volume5
1597988229712378112,1597988230000000000,2020-08-21 13:37:10.000000,6918.0,6926.0,6826.0,6888.0,nan,6878.0,147469,10142917820.0,150308,6918.0,8,6917.0,20,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988230234213120,1597988230000001024,2020-08-21 13:37:10.000001,6918.0,6926.0,6826.0,6888.0,nan,6878.0,147471,10143055380.0,150308,6918.0,7,6917.0,20,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988230692239872,1597988231000000000,2020-08-21 13:37:11.000000,6918.0,6926.0,6826.0,6888.0,nan,6878.0,147489,10144293420.0,150297,6919.0,21,6918.0,274,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988231225875968,1597988231000001024,2020-08-21 13:37:11.000001,6919.0,6926.0,6826.0,6888.0,nan,6878.0,147641,10154747980.0,150337,6923.0,13,6919.0,15,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988231696357888,1597988232000000000,2020-08-21 13:37:12.000000,6919.0,6926.0,6826.0,6888.0,nan,6878.0,147645,10155023100.0,150338,6922.0,13,6919.0,13,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988232226803968,1597988232000001024,2020-08-21 13:37:12.000001,6919.0,6926.0,6826.0,6888.0,nan,6878.0,147647,10155160660.0,150338,6920.0,2,6919.0,8,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988232689005056,1597988233000000000,2020-08-21 13:37:13.000000,6920.0,6926.0,6826.0,6888.0,nan,6878.0,147652,10155504560.0,150335,6920.0,25,6919.0,9,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988233188883968,1597988233000001024,2020-08-21 13:37:13.000001,6921.0,6926.0,6826.0,6888.0,nan,6878.0,147682,10157567960.0,150349,6921.0,11,6919.0,8,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988233695126016,1597988234000000000,2020-08-21 13:37:14.000000,6920.0,6926.0,6826.0,6888.0,nan,6878.0,147683,10157636740.0,150349,6921.0,14,6920.0,1,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988234212294912,1597988234000001024,2020-08-21 13:37:14.000001,6920.0,6926.0,6826.0,6888.0,nan,6878.0,147686,10157843080.0,150352,6921.0,13,6920.0,6,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
