local_nano_time,quote_nano_time,datetime,last_price,highest,lowest,open,close,average,volume,amount,open_interest,ask_price1,ask_volume1,bid_price1,bid_volume1,ask_price2,ask_volume2,bid_price2,bid_volume2,ask_price3,ask_volume3,bid_price3,bid_volume3,ask_price4,ask_volume4,bid_price4,bid_volume4,ask_price5,ask_volume5,bid_price5,bid_volume5
1597988226225698048,1597988226000001024,2020-08-21 13:37:06.000001,6918.0,6926.0,6826.0,6888.0,nan,6878.0,147398,10138034440.0,150334,6919.0,30,6918.0,44,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988226684049920,1597988227000000000,2020-08-21 13:37:07.000000,6918.0,6926.0,6826.0,6888.0,nan,6878.0,147441,10140991980.0,150303,6919.0,27,6918.0,10,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988227189850112,1597988227000001024,2020-08-21 13:37:07.000001,6917.0,6926.0,6826.0,6888.0,nan,6878.0,147452,10141748560.0,150302,6918.0,7,6917.0,17,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988227689636096,1597988228000000000,2020-08-21 13:37:08.000000,6918.0,6926.0,6826.0,6888.0,nan,6878.0,147459,10142230020.0,150307,6918.0,1,6917.0,19,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988228188150016,1597988228000001024,2020-08-21 13:37:08.000001,6918.0,6926.0,6826.0,6888.0,nan,6878.0,147461,10142367580.0,150309,6918.0,1,6917.0,19,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988228687033088,1597988229000000000,2020-08-21 13:37:09.000000,6917.0,6926.0,6826.0,6888.0,nan,6878.0,147464,10142573920.0,150308,6919.0,24,6917.0,18,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988229189760000,1597988229000001024,2020-08-21 13:37:09.000001,6918.0,6926.0,6826.0,6888.0,nan,6878.0,147468,10142849040.0,150308,6918.0,9,6917.0,20,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988229693046016,1597988230000000000,2020-08-21 13:37:10.000000,6918.0,6926.0,6826.0,6888.0,nan,6878.0,147469,10142917820.0,150308,6918.0,8,6917.0,20,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988230243350016,1597988230000001024,2020-08-21 13:37:10.000001,6918.0,6926.0,6826.0,6888.0,nan,6878.0,147471,10143055380.0,150308,6918.0,7,6917.0,20,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988230694627072,1597988231000000000,2020-08-21 13:37:11.000000,6918.0,6926.0,6826.0,6888.0,nan,6878.0,147489,10144293420.0,150297,6919.0,21,6918.0,274,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
