local_nano_time,quote_nano_time,datetime,last_price,highest,lowest,open,close,average,volume,amount,open_interest,ask_price1,ask_volume1,bid_price1,bid_volume1,ask_price2,ask_volume2,bid_price2,bid_volume2,ask_price3,ask_volume3,bid_price3,bid_volume3,ask_price4,ask_volume4,bid_price4,bid_volume4,ask_price5,ask_volume5,bid_price5,bid_volume5
1597988226223802880,1597988226000001024,2020-08-21 13:37:06.000001,12900.0,12930.0,12795.0,12845.0,nan,12865.0,215993,13893749725.0,333861,12900.0,133,12895.0,181,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988226682246912,1597988227000000000,2020-08-21 13:37:07.000000,12900.0,12930.0,12795.0,12845.0,nan,12865.0,215993,13893749725.0,333861,12900.0,137,12895.0,181,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988227188005888,1597988227000001024,2020-08-21 13:37:07.000001,12895.0,12930.0,12795.0,12845.0,nan,12865.0,215994,13893814050.0,333861,12900.0,140,12895.0,180,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988227687741952,1597988228000000000,2020-08-21 13:37:08.000000,12900.0,12930.0,12795.0,12845.0,nan,12865.0,215995,13893878375.0,333861,12900.0,139,12895.0,180,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988228685587968,1597988229000000000,2020-08-21 13:37:09.000000,12900.0,12930.0,12795.0,12845.0,nan,12865.0,216009,13894778925.0,333875,12900.0,125,12895.0,182,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988229691207936,1597988230000000000,2020-08-21 13:37:10.000000,12900.0,12930.0,12795.0,12845.0,nan,12865.0,216109,13901211425.0,333924,12900.0,26,12895.0,182,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988230237679104,1597988230000001024,2020-08-21 13:37:10.000001,12900.0,12930.0,12795.0,12845.0,nan,12865.0,216123,13902111975.0,333926,12905.0,254,12900.0,51,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988230692348928,1597988231000000000,2020-08-21 13:37:11.000000,12900.0,12930.0,12795.0,12845.0,nan,12865.0,216123,13902111975.0,333926,12905.0,254,12900.0,64,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988231190139904,1597988231000001024,2020-08-21 13:37:11.000001,12900.0,12930.0,12795.0,12845.0,nan,12865.0,216131,13902626575.0,333922,12905.0,229,12900.0,84,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988231695122944,1597988232000000000,2020-08-21 13:37:12.000000,12900.0,12930.0,12795.0,12845.0,nan,12865.0,216131,13902626575.0,333922,12905.0,219,12900.0,93,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988232186352128,1597988232000001024,2020-08-21 13:37:12.000001,12900.0,12930.0,12795.0,12845.0,nan,12865.0,216131,13902626575.0,333922,12905.0,218,12900.0,102,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988232688659968,1597988233000000000,2020-08-21 13:37:13.000000,12900.0,12930.0,12795.0,12845.0,nan,12865.0,216161,13904556325.0,333892,12905.0,219,12900.0,82,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988233188120064,1597988233000001024,2020-08-21 13:37:13.000001,12905.0,12930.0,12795.0,12845.0,nan,12865.0,216162,13904620650.0,333892,12905.0,226,12900.0,82,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988233693880064,1597988234000000000,2020-08-21 13:37:14.000000,12905.0,12930.0,12795.0,12845.0,nan,12865.0,216162,13904620650.0,333892,12905.0,226,12900.0,96,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988234189575936,1597988234000001024,2020-08-21 13:37:14.000001,12905.0,12930.0,12795.0,12845.0,nan,12865.0,216162,13904620650.0,333892,12905.0,226,12900.0,98,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988234693484032,1597988235000000000,2020-08-21 13:37:15.000000,12905.0,12930.0,12795.0,12845.0,nan,12865.0,216162,13904620650.0,333892,12905.0,226,12900.0,100,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988235195997952,1597988235000001024,2020-08-21 13:37:15.000001,12900.0,12930.0,12795.0,12845.0,nan,12865.0,216167,13904942275.0,333893,12905.0,226,12900.0,95,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988235846344960,1597988236000000000,2020-08-21 13:37:16.000000,12900.0,12930.0,12795.0,12845.0,nan,12865.0,216167,13904942275.0,333893,12905.0,229,12900.0,102,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988236202142976,1597988236000001024,2020-08-21 13:37:16.000001,12900.0,12930.0,12795.0,12845.0,nan,12865.0,216168,13905006600.0,333893,12905.0,229,12900.0,105,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988236692519936,1597988237000000000,2020-08-21 13:37:17.000000,12900.0,12930.0,12795.0,12845.0,nan,12865.0,216168,13905006600.0,333893,12905.0,224,12900.0,105,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988237198854912,1597988237000001024,2020-08-21 13:37:17.000001,12905.0,12930.0,12795.0,12845.0,nan,12865.0,216169,13905070925.0,333893,12905.0,223,12900.0,105,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988237698017024,1597988238000000000,2020-08-21 13:37:18.000000,12905.0,12930.0,12795.0,12845.0,nan,12865.0,216169,13905070925.0,333893,12905.0,223,12900.0,113,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988238200965120,1597988238000001024,2020-08-21 13:37:18.000001,12900.0,12930.0,12795.0,12845.0,nan,12865.0,216181,13905842825.0,333887,12905.0,226,12900.0,107,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988238694768128,1597988239000000000,2020-08-21 13:37:19.000000,12900.0,12930.0,12795.0,12845.0,nan,12865.0,216181,13905842825.0,333887,12905.0,227,12900.0,108,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988239184653056,1597988239000001024,2020-08-21 13:37:19.000001,12900.0,12930.0,12795.0,12845.0,nan,12865.0,216181,13905842825.0,333887,12905.0,218,12900.0,113,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988239689763072,1597988240000000000,2020-08-21 13:37:20.000000,12900.0,12930.0,12795.0,12845.0,nan,12865.0,216181,13905842825.0,333887,12905.0,218,12900.0,118,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988240196774912,1597988240000001024,2020-08-21 13:37:20.000001,12900.0,12930.0,12795.0,12845.0,nan,12865.0,216181,13905842825.0,333887,12905.0,218,12900.0,120,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988240692291072,1597988241000000000,2020-08-21 13:37:21.000000,12905.0,12930.0,12795.0,12845.0,nan,12865.0,216212,13907836900.0,333912,12905.0,217,12900.0,121,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988241189360128,1597988241000001024,2020-08-21 13:37:21.000001,12905.0,12930.0,12795.0,12845.0,nan,12865.0,216212,13907836900.0,333912,12905.0,218,12900.0,122,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988242189238016,1597988242000001024,2020-08-21 13:37:22.000001,12905.0,12930.0,12795.0,12845.0,nan,12865.0,216212,13907836900.0,333912,12905.0,210,12900.0,124,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988243690596096,1597988244000000000,2020-08-21 13:37:24.000000,12905.0,12930.0,12795.0,12845.0,nan,12865.0,216212,13907836900.0,333912,12905.0,210,12900.0,118,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988244199084032,1597988244000001024,2020-08-21 13:37:24.000001,12905.0,12930.0,12795.0,12845.0,nan,12865.0,216212,13907836900.0,333912,12905.0,211,12900.0,118,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
