local_nano_time,quote_nano_time,datetime,last_price,highest,lowest,open,close,average,volume,amount,open_interest,ask_price1,ask_volume1,bid_price1,bid_volume1,ask_price2,ask_volume2,bid_price2,bid_volume2,ask_price3,ask_volume3,bid_price3,bid_volume3,ask_price4,ask_volume4,bid_price4,bid_volume4,ask_price5,ask_volume5,bid_price5,bid_volume5
1597988230231077888,1597988230000001024,2020-08-21 13:37:10.000001,19765.0,19840.0,19695.0,19820.0,nan,19765.0,3800,375535000.0,7457,19770.0,7,19760.0,5,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988230691801088,1597988231000000000,2020-08-21 13:37:11.000000,19765.0,19840.0,19695.0,19820.0,nan,19765.0,3800,375535000.0,7457,19770.0,7,19760.0,15,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988231222564096,1597988231000001024,2020-08-21 13:37:11.000001,19765.0,19840.0,19695.0,19820.0,nan,19765.0,3800,375535000.0,7457,19770.0,7,19765.0,1,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988257727660032,1597988258000000000,2020-08-21 13:37:38.000000,19770.0,19840.0,19695.0,19820.0,nan,19765.0,3805,376029125.0,7461,19770.0,1,19765.0,4,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988258224408064,1597988258000001024,2020-08-21 13:37:38.000001,19770.0,19840.0,19695.0,19820.0,nan,19765.0,3806,376127950.0,7461,19775.0,21,19765.0,4,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988258706520064,1597988259000000000,2020-08-21 13:37:39.000000,19770.0,19840.0,19695.0,19820.0,nan,19765.0,3806,376127950.0,7461,19775.0,1,19765.0,4,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988272719240960,1597988273000000000,2020-08-21 13:37:53.000000,19770.0,19840.0,19695.0,19820.0,nan,19765.0,3806,376127950.0,7461,19775.0,1,19765.0,5,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988335734780928,1597988336000000000,2020-08-21 13:38:56.000000,19765.0,19840.0,19695.0,19820.0,nan,19765.0,3807,376226775.0,7460,19775.0,1,19765.0,4,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988336274852096,1597988336000001024,2020-08-21 13:38:56.000001,19765.0,19840.0,19695.0,19820.0,nan,19765.0,3807,376226775.0,7460,19775.0,1,19765.0,1,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988339332323072,1597988339000001024,2020-08-21 13:38:59.000001,19765.0,19840.0,19695.0,19820.0,nan,19765.0,3807,376226775.0,7460,19775.0,2,19760.0,102,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
