local_nano_time,quote_nano_time,datetime,last_price,highest,lowest,open,close,average,volume,amount,open_interest,ask_price1,ask_volume1,bid_price1,bid_volume1,ask_price2,ask_volume2,bid_price2,bid_volume2,ask_price3,ask_volume3,bid_price3,bid_volume3,ask_price4,ask_volume4,bid_price4,bid_volume4,ask_price5,ask_volume5,bid_price5,bid_volume5
1597988230238808064,1597988230000001024,2020-08-21 13:37:10.000001,19765.0,19840.0,19695.0,19820.0,nan,19765.0,3800,375535000.0,7457,19770.0,7,19760.0,5,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988230692765952,1597988231000000000,2020-08-21 13:37:11.000000,19765.0,19840.0,19695.0,19820.0,nan,19765.0,3800,375535000.0,7457,19770.0,7,19760.0,15,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988231190589952,1597988231000001024,2020-08-21 13:37:11.000001,19765.0,19840.0,19695.0,19820.0,nan,19765.0,3800,375535000.0,7457,19770.0,7,19765.0,1,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988257702413056,1597988258000000000,2020-08-21 13:37:38.000000,19770.0,19840.0,19695.0,19820.0,nan,19765.0,3805,376029125.0,7461,19770.0,1,19765.0,4,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988258203858944,1597988258000001024,2020-08-21 13:37:38.000001,19770.0,19840.0,19695.0,19820.0,nan,19765.0,3806,376127950.0,7461,19775.0,21,19765.0,4,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988258707169024,1597988259000000000,2020-08-21 13:37:39.000000,19770.0,19840.0,19695.0,19820.0,nan,19765.0,3806,376127950.0,7461,19775.0,1,19765.0,4,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988272722121984,1597988273000000000,2020-08-21 13:37:53.000000,19770.0,19840.0,19695.0,19820.0,nan,19765.0,3806,376127950.0,7461,19775.0,1,19765.0,5,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988335736883968,1597988336000000000,2020-08-21 13:38:56.000000,19765.0,19840.0,19695.0,19820.0,nan,19765.0,3807,376226775.0,7460,19775.0,1,19765.0,4,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988336235030016,1597988336000001024,2020-08-21 13:38:56.000001,19765.0,19840.0,19695.0,19820.0,nan,19765.0,3807,376226775.0,7460,19775.0,1,19765.0,1,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988339346733056,1597988339000001024,2020-08-21 13:38:59.000001,19765.0,19840.0,19695.0,19820.0,nan,19765.0,3807,376226775.0,7460,19775.0,2,19760.0,102,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988339740303104,1597988340000000000,2020-08-21 13:39:00.000000,19765.0,19840.0,19695.0,19820.0,nan,19765.0,3807,376226775.0,7460,19775.0,12,19760.0,122,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988340242082048,1597988340000001024,2020-08-21 13:39:00.000001,19765.0,19840.0,19695.0,19820.0,nan,19765.0,3807,376226775.0,7460,19775.0,12,19760.0,112,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988341247409920,1597988341000001024,2020-08-21 13:39:01.000001,19765.0,19840.0,19695.0,19820.0,nan,19765.0,3807,376226775.0,7460,19775.0,12,19760.0,122,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988345755316992,1597988346000000000,2020-08-21 13:39:06.000000,19765.0,19840.0,19695.0,19820.0,nan,19765.0,3807,376226775.0,7460,19775.0,12,19760.0,132,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988350789227008,1597988351000000000,2020-08-21 13:39:11.000000,19765.0,19840.0,19695.0,19820.0,nan,19765.0,3807,376226775.0,7460,19775.0,12,19760.0,132,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988357243915008,1597988357000001024,2020-08-21 13:39:17.000001,19765.0,19840.0,19695.0,19820.0,nan,19765.0,3807,376226775.0,7460,19775.0,12,19760.0,132,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988362771644928,1597988363000000000,2020-08-21 13:39:23.000000,19765.0,19840.0,19695.0,19820.0,nan,19765.0,3807,376226775.0,7460,19775.0,12,19760.0,122,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988363248744960,1597988363000001024,2020-08-21 13:39:23.000001,19765.0,19840.0,19695.0,19820.0,nan,19765.0,3807,376226775.0,7460,19775.0,12,19760.0,132,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988368748368896,1597988369000000000,2020-08-21 13:39:29.000000,19765.0,19840.0,19695.0,19820.0,nan,19765.0,3807,376226775.0,7460,19775.0,12,19760.0,122,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988369250435072,1597988369000001024,2020-08-21 13:39:29.000001,19765.0,19840.0,19695.0,19820.0,nan,19765.0,3807,376226775.0,7460,19775.0,12,19760.0,132,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988374764120064,1597988375000000000,2020-08-21 13:39:35.000000,19765.0,19840.0,19695.0,19820.0,nan,19765.0,3807,376226775.0,7460,19775.0,12,19760.0,122,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988375253010944,1597988375000001024,2020-08-21 13:39:35.000001,19765.0,19840.0,19695.0,19820.0,nan,19765.0,3807,376226775.0,7460,19775.0,12,19760.0,132,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988379747378944,1597988380000000000,2020-08-21 13:39:40.000000,19765.0,19840.0,19695.0,19820.0,nan,19765.0,3807,376226775.0,7460,19775.0,12,19760.0,132,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988380754615040,1597988381000000000,2020-08-21 13:39:41.000000,19765.0,19840.0,19695.0,19820.0,nan,19765.0,3807,376226775.0,7460,19775.0,12,19760.0,132,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988384752144896,1597988385000000000,2020-08-21 13:39:45.000000,19765.0,19840.0,19695.0,19820.0,nan,19765.0,3807,376226775.0,7460,19775.0,12,19760.0,122,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988385256605952,1597988385000001024,2020-08-21 13:39:45.000001,19775.0,19840.0,19695.0,19820.0,nan,19765.0,3808,376325600.0,7459,19775.0,11,19760.0,132,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988387253906944,1597988387000001024,2020-08-21 13:39:47.000001,19775.0,19840.0,19695.0,19820.0,nan,19765.0,3808,376325600.0,7459,19775.0,11,19760.0,132,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988390761690112,1597988391000000000,2020-08-21 13:39:51.000000,19775.0,19840.0,19695.0,19820.0,nan,19765.0,3808,376325600.0,7459,19775.0,11,19760.0,132,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988392757842944,1597988393000000000,2020-08-21 13:39:53.000000,19775.0,19840.0,19695.0,19820.0,nan,19765.0,3808,376325600.0,7459,19775.0,11,19760.0,122,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988393257392896,1597988393000001024,2020-08-21 13:39:53.000001,19775.0,19840.0,19695.0,19820.0,nan,19765.0,3808,376325600.0,7459,19775.0,11,19760.0,132,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988398762183936,1597988399000000000,2020-08-21 13:39:59.000000,19775.0,19840.0,19695.0,19820.0,nan,19765.0,3808,376325600.0,7459,19775.0,11,19760.0,132,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988403762049024,1597988404000000000,2020-08-21 13:40:04.000000,19775.0,19840.0,19695.0,19820.0,nan,19765.0,3808,376325600.0,7459,19775.0,11,19770.0,1,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988404259496960,1597988404000001024,2020-08-21 13:40:04.000001,19775.0,19840.0,19695.0,19820.0,nan,19765.0,3808,376325600.0,7459,19775.0,1,19770.0,2,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988406264155904,1597988406000001024,2020-08-21 13:40:06.000001,19770.0,19840.0,19695.0,19820.0,nan,19765.0,3810,376523250.0,7460,19780.0,40,19765.0,100,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988406768162048,1597988407000000000,2020-08-21 13:40:07.000000,19770.0,19840.0,19695.0,19820.0,nan,19765.0,3810,376523250.0,7460,19780.0,10,19765.0,130,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988411770812928,1597988412000000000,2020-08-21 13:40:12.000000,19770.0,19840.0,19695.0,19820.0,nan,19765.0,3810,376523250.0,7460,19780.0,10,19765.0,120,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988412267267072,1597988412000001024,2020-08-21 13:40:12.000001,19770.0,19840.0,19695.0,19820.0,nan,19765.0,3810,376523250.0,7460,19780.0,10,19765.0,130,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988414266942976,1597988414000001024,2020-08-21 13:40:14.000001,19770.0,19840.0,19695.0,19820.0,nan,19765.0,3810,376523250.0,7460,19780.0,20,19765.0,131,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988417773615104,1597988418000000000,2020-08-21 13:40:18.000000,19765.0,19840.0,19695.0,19820.0,nan,19765.0,3813,376819725.0,7461,19780.0,20,19765.0,110,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988418271176960,1597988418000001024,2020-08-21 13:40:18.000001,19765.0,19840.0,19695.0,19820.0,nan,19765.0,3815,377017375.0,7461,19780.0,21,19765.0,51,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988419274984960,1597988419000001024,2020-08-21 13:40:19.000001,19765.0,19840.0,19695.0,19820.0,nan,19765.0,3815,377017375.0,7461,19780.0,21,19765.0,71,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988419775101952,1597988420000000000,2020-08-21 13:40:20.000000,19765.0,19840.0,19695.0,19820.0,nan,19765.0,3815,377017375.0,7461,19780.0,21,19765.0,70,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988420272402944,1597988420000001024,2020-08-21 13:40:20.000001,19765.0,19840.0,19695.0,19820.0,nan,19765.0,3815,377017375.0,7461,19780.0,21,19765.0,80,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988420767683072,1597988421000000000,2020-08-21 13:40:21.000000,19765.0,19840.0,19695.0,19820.0,nan,19765.0,3815,377017375.0,7461,19780.0,21,19765.0,90,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988421268751872,1597988421000001024,2020-08-21 13:40:21.000001,19765.0,19840.0,19695.0,19820.0,nan,19765.0,3815,377017375.0,7461,19780.0,21,19765.0,90,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988421766374912,1597988422000000000,2020-08-21 13:40:22.000000,19765.0,19840.0,19695.0,19820.0,nan,19765.0,3815,377017375.0,7461,19780.0,21,19765.0,100,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988422768985088,1597988423000000000,2020-08-21 13:40:23.000000,19765.0,19840.0,19695.0,19820.0,nan,19765.0,3815,377017375.0,7461,19775.0,2,19765.0,60,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988423273720064,1597988423000001024,2020-08-21 13:40:23.000001,19765.0,19840.0,19695.0,19820.0,nan,19765.0,3815,377017375.0,7461,19775.0,2,19765.0,30,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988423775358976,1597988424000000000,2020-08-21 13:40:24.000000,19765.0,19840.0,19695.0,19820.0,nan,19765.0,3815,377017375.0,7461,19775.0,2,19765.0,10,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988424278323968,1597988424000001024,2020-08-21 13:40:24.000001,19765.0,19840.0,19695.0,19820.0,nan,19765.0,3815,377017375.0,7461,19775.0,2,19760.0,122,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988424770184960,1597988425000000000,2020-08-21 13:40:25.000000,19765.0,19840.0,19695.0,19820.0,nan,19765.0,3815,377017375.0,7461,19775.0,13,19760.0,132,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988428776120064,1597988429000000000,2020-08-21 13:40:29.000000,19765.0,19840.0,19695.0,19820.0,nan,19765.0,3815,377017375.0,7461,19775.0,13,19760.0,132,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988435278594048,1597988435000001024,2020-08-21 13:40:35.000001,19765.0,19840.0,19695.0,19820.0,nan,19765.0,3815,377017375.0,7461,19775.0,13,19760.0,132,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988436282381056,1597988436000001024,2020-08-21 13:40:36.000001,19765.0,19840.0,19695.0,19820.0,nan,19765.0,3815,377017375.0,7461,19775.0,23,19760.0,122,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988436781202944,1597988437000000000,2020-08-21 13:40:37.000000,19765.0,19840.0,19695.0,19820.0,nan,19765.0,3815,377017375.0,7461,19775.0,23,19760.0,122,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988437300940032,1597988437000001024,2020-08-21 13:40:37.000001,19765.0,19840.0,19695.0,19820.0,nan,19765.0,3815,377017375.0,7461,19775.0,23,19760.0,122,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988437778988032,1597988438000000000,2020-08-21 13:40:38.000000,19765.0,19840.0,19695.0,19820.0,nan,19765.0,3815,377017375.0,7461,19775.0,23,19760.0,122,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988438286351104,1597988438000001024,2020-08-21 13:40:38.000001,19765.0,19840.0,19695.0,19820.0,nan,19765.0,3815,377017375.0,7461,19775.0,23,19765.0,1,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988438780425984,1597988439000000000,2020-08-21 13:40:39.000000,19765.0,19840.0,19695.0,19820.0,nan,19765.0,3815,377017375.0,7461,19775.0,13,19765.0,4,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988440283427072,1597988440000001024,2020-08-21 13:40:40.000001,19770.0,19840.0,19695.0,19820.0,nan,19765.0,3817,377215025.0,7461,19775.0,43,19765.0,4,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988440782046976,1597988441000000000,2020-08-21 13:40:41.000000,19770.0,19840.0,19695.0,19820.0,nan,19765.0,3817,377215025.0,7461,19775.0,13,19765.0,4,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988441287072000,1597988441000001024,2020-08-21 13:40:41.000001,19770.0,19840.0,19695.0,19820.0,nan,19765.0,3817,377215025.0,7461,19775.0,13,19765.0,3,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988441772768000,1597988442000000000,2020-08-21 13:40:42.000000,19770.0,19840.0,19695.0,19820.0,nan,19765.0,3817,377215025.0,7461,19770.0,2,19765.0,1,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988469796527104,1597988470000000000,2020-08-21 13:41:10.000000,19765.0,19840.0,19695.0,19820.0,nan,19765.0,3818,377313850.0,7461,19765.0,6,19760.0,52,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988470293041920,1597988470000001024,2020-08-21 13:41:10.000001,19765.0,19840.0,19695.0,19820.0,nan,19765.0,3818,377313850.0,7461,19765.0,6,19760.0,12,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988470792800000,1597988471000000000,2020-08-21 13:41:11.000000,19765.0,19840.0,19695.0,19820.0,nan,19765.0,3818,377313850.0,7461,19765.0,6,19760.0,2,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988476796327936,1597988477000000000,2020-08-21 13:41:17.000000,19765.0,19840.0,19695.0,19820.0,nan,19765.0,3818,377313850.0,7461,19765.0,6,19760.0,1,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988519815300096,1597988520000000000,2020-08-21 13:42:00.000000,19760.0,19840.0,19695.0,19820.0,nan,19765.0,3819,377412675.0,7460,19765.0,6,19755.0,71,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988520321238016,1597988520000001024,2020-08-21 13:42:00.000001,19760.0,19840.0,19695.0,19820.0,nan,19765.0,3819,377412675.0,7460,19765.0,8,19755.0,51,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988520824933120,1597988521000000000,2020-08-21 13:42:01.000000,19760.0,19840.0,19695.0,19820.0,nan,19765.0,3819,377412675.0,7460,19765.0,8,19755.0,21,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988521323894016,1597988521000001024,2020-08-21 13:42:01.000001,19760.0,19840.0,19695.0,19820.0,nan,19765.0,3819,377412675.0,7460,19765.0,8,19755.0,11,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988531818814976,1597988532000000000,2020-08-21 13:42:12.000000,19760.0,19840.0,19695.0,19820.0,nan,19765.0,3819,377412675.0,7460,19765.0,8,19755.0,10,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988532327646976,1597988532000001024,2020-08-21 13:42:12.000001,19760.0,19840.0,19695.0,19820.0,nan,19765.0,3819,377412675.0,7460,19765.0,18,19750.0,104,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988532817433088,1597988533000000000,2020-08-21 13:42:13.000000,19760.0,19840.0,19695.0,19820.0,nan,19765.0,3819,377412675.0,7460,19765.0,28,19750.0,124,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988533319383040,1597988533000001024,2020-08-21 13:42:13.000001,19760.0,19840.0,19695.0,19820.0,nan,19765.0,3819,377412675.0,7460,19765.0,28,19750.0,134,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988533856754944,1597988534000000000,2020-08-21 13:42:14.000000,19760.0,19840.0,19695.0,19820.0,nan,19765.0,3819,377412675.0,7460,19765.0,28,19750.0,124,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988535322043904,1597988535000001024,2020-08-21 13:42:15.000001,19760.0,19840.0,19695.0,19820.0,nan,19765.0,3819,377412675.0,7460,19765.0,28,19750.0,134,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988537824015872,1597988538000000000,2020-08-21 13:42:18.000000,19760.0,19840.0,19695.0,19820.0,nan,19765.0,3819,377412675.0,7460,19765.0,28,19750.0,134,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988540826930944,1597988541000000000,2020-08-21 13:42:21.000000,19760.0,19840.0,19695.0,19820.0,nan,19765.0,3819,377412675.0,7460,19765.0,28,19750.0,134,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988544334313984,1597988544000001024,2020-08-21 13:42:24.000001,19760.0,19840.0,19695.0,19820.0,nan,19765.0,3819,377412675.0,7460,19765.0,28,19750.0,134,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988549863442944,1597988550000000000,2020-08-21 13:42:30.000000,19760.0,19840.0,19695.0,19820.0,nan,19765.0,3819,377412675.0,7460,19765.0,28,19750.0,124,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
