local_nano_time,quote_nano_time,datetime,last_price,highest,lowest,open,close,average,volume,amount,open_interest,ask_price1,ask_volume1,bid_price1,bid_volume1,ask_price2,ask_volume2,bid_price2,bid_volume2,ask_price3,ask_volume3,bid_price3,bid_volume3,ask_price4,ask_volume4,bid_price4,bid_volume4,ask_price5,ask_volume5,bid_price5,bid_volume5
1597988255222040064,1597988255000001024,2020-08-21 13:37:35.000001,2506.0,2517.0,2506.0,2517.0,nan,2513.0,11,552860.0,102,2521.0,1,2507.0,1,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988259750405888,1597988260000000000,2020-08-21 13:37:40.000000,2506.0,2517.0,2506.0,2517.0,nan,2513.0,11,552860.0,102,2520.0,1,2507.0,1,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988268226235904,1597988268000001024,2020-08-21 13:37:48.000001,2506.0,2517.0,2506.0,2517.0,nan,2513.0,11,552860.0,102,2519.0,1,2507.0,1,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988271230937088,1597988271000001024,2020-08-21 13:37:51.000001,2506.0,2517.0,2506.0,2517.0,nan,2513.0,11,552860.0,102,2518.0,1,2507.0,1,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988276812067072,1597988277000000000,2020-08-21 13:37:57.000000,2506.0,2517.0,2506.0,2517.0,nan,2513.0,11,552860.0,102,2517.0,1,2507.0,1,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988279711621888,1597988280000000000,2020-08-21 13:38:00.000000,2506.0,2517.0,2506.0,2517.0,nan,2513.0,11,552860.0,102,2516.0,1,2507.0,1,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988285224627968,1597988285000001024,2020-08-21 13:38:05.000001,2506.0,2517.0,2506.0,2517.0,nan,2513.0,11,552860.0,102,2515.0,1,2507.0,1,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988288251407104,1597988288000001024,2020-08-21 13:38:08.000001,2506.0,2517.0,2506.0,2517.0,nan,2513.0,11,552860.0,102,2514.0,1,2507.0,1,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988292715681024,1597988293000000000,2020-08-21 13:38:13.000000,2506.0,2517.0,2506.0,2517.0,nan,2513.0,11,552860.0,102,2513.0,1,2507.0,1,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988295250308096,1597988295000001024,2020-08-21 13:38:15.000001,2506.0,2517.0,2506.0,2517.0,nan,2513.0,11,552860.0,102,2512.0,1,2507.0,1,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
