local_nano_time,quote_nano_time,datetime,last_price,highest,lowest,open,close,average,volume,amount,open_interest,ask_price1,ask_volume1,bid_price1,bid_volume1,ask_price2,ask_volume2,bid_price2,bid_volume2,ask_price3,ask_volume3,bid_price3,bid_volume3,ask_price4,ask_volume4,bid_price4,bid_volume4,ask_price5,ask_volume5,bid_price5,bid_volume5
1597989067037783040,1597989067000001024,2020-08-21 13:51:07.000001,2866.0,2866.0,2862.0,2862.0,nan,2865.0,3,171900.0,1073,2888.0,3,2867.0,2,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597989081530835968,1597989082000000000,2020-08-21 13:51:22.000000,2866.0,2866.0,2862.0,2862.0,nan,2865.0,3,171900.0,1073,2887.0,1,2867.0,2,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597989894363504896,1597989895000000000,2020-08-21 14:04:55.000000,2866.0,2866.0,2862.0,2862.0,nan,2865.0,3,171900.0,1073,2886.0,1,2867.0,2,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597989925372328960,1597989926000000000,2020-08-21 14:05:26.000000,2866.0,2866.0,2862.0,2862.0,nan,2865.0,3,171900.0,1073,2885.0,1,2867.0,2,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597989969889683968,1597989970000001024,2020-08-21 14:06:10.000001,2866.0,2866.0,2862.0,2862.0,nan,2865.0,3,171900.0,1073,2884.0,2,2867.0,2,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597989977895075072,1597989978000001024,2020-08-21 14:06:18.000001,2866.0,2866.0,2862.0,2862.0,nan,2865.0,3,171900.0,1073,2883.0,1,2867.0,2,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597990557109069056,1597990557000001024,2020-08-21 14:15:57.000001,2866.0,2866.0,2862.0,2862.0,nan,2865.0,3,171900.0,1073,2882.0,1,2867.0,2,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597990592622040064,1597990593000000000,2020-08-21 14:16:33.000000,2866.0,2866.0,2862.0,2862.0,nan,2865.0,3,171900.0,1073,2881.0,1,2867.0,2,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597990631672830976,1597990632000000000,2020-08-21 14:17:12.000000,2866.0,2866.0,2862.0,2862.0,nan,2865.0,3,171900.0,1073,2880.0,1,2867.0,2,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597990643150062080,1597990643000001024,2020-08-21 14:17:23.000001,2866.0,2866.0,2862.0,2862.0,nan,2865.0,3,171900.0,1073,2879.0,1,2867.0,2,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597990797713829888,1597990798000000000,2020-08-21 14:19:58.000000,2866.0,2866.0,2862.0,2862.0,nan,2865.0,3,171900.0,1073,2879.0,1,2856.0,2,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597990800284905984,1597990800000001024,2020-08-21 14:20:00.000001,2866.0,2866.0,2862.0,2862.0,nan,2865.0,3,171900.0,1073,2879.0,1,2857.0,2,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597990810711864064,1597990811000000000,2020-08-21 14:20:11.000000,2866.0,2866.0,2862.0,2862.0,nan,2865.0,3,171900.0,1073,2879.0,3,2857.0,2,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597990817885591040,1597990818000000000,2020-08-21 14:20:18.000000,2866.0,2866.0,2862.0,2862.0,nan,2865.0,3,171900.0,1073,2879.0,3,2858.0,1,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597990837729394944,1597990838000000000,2020-08-21 14:20:38.000000,2866.0,2866.0,2862.0,2862.0,nan,2865.0,3,171900.0,1073,2879.0,3,2859.0,2,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597990868333925120,1597990868000001024,2020-08-21 14:21:08.000001,2866.0,2866.0,2862.0,2862.0,nan,2865.0,3,171900.0,1073,2879.0,3,2860.0,1,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597990880248133120,1597990880000001024,2020-08-21 14:21:20.000001,2866.0,2866.0,2862.0,2862.0,nan,2865.0,3,171900.0,1073,2879.0,3,2861.0,2,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597990883744457984,1597990884000000000,2020-08-21 14:21:24.000000,2866.0,2866.0,2862.0,2862.0,nan,2865.0,3,171900.0,1073,2879.0,3,2862.0,1,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597990892777133056,1597990893000000000,2020-08-21 14:21:33.000000,2866.0,2866.0,2862.0,2862.0,nan,2865.0,3,171900.0,1073,2879.0,3,2862.0,3,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597990972275437056,1597990973000000000,2020-08-21 14:22:53.000000,2866.0,2866.0,2862.0,2862.0,nan,2865.0,3,171900.0,1073,2878.0,1,2862.0,3,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597991039307425024,1597991040000000000,2020-08-21 14:24:00.000000,2866.0,2866.0,2862.0,2862.0,nan,2865.0,3,171900.0,1073,2878.0,1,2866.0,1,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597991045302192128,1597991045000001792,2020-08-21 14:24:05.000002,2866.0,2866.0,2862.0,2862.0,nan,2865.0,3,171900.0,1073,2879.0,2,2866.0,1,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597991046807394048,1597991047000001024,2020-08-21 14:24:07.000001,2866.0,2866.0,2862.0,2862.0,nan,2865.0,3,171900.0,1073,2878.0,1,2866.0,1,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597991056303921920,1597991057000000000,2020-08-21 14:24:17.000000,2878.0,2878.0,2862.0,2862.0,nan,2868.0,4,229440.0,1072,2879.0,2,2866.0,1,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597991059399974912,1597991060000000000,2020-08-21 14:24:20.000000,2879.0,2879.0,2862.0,2862.0,nan,2870.0,5,287000.0,1072,2879.0,1,2866.0,1,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597991060309206016,1597991061000000000,2020-08-21 14:24:21.000000,2879.0,2879.0,2862.0,2862.0,nan,2872.0,6,344640.0,1072,2914.0,1,2866.0,1,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597991061321242112,1597991062000000000,2020-08-21 14:24:22.000000,2879.0,2879.0,2862.0,2862.0,nan,2872.0,6,344640.0,1072,2913.0,1,2866.0,1,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597991062314029056,1597991063000000000,2020-08-21 14:24:23.000000,2879.0,2879.0,2862.0,2862.0,nan,2872.0,6,344640.0,1072,2913.0,1,2867.0,1,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597991063332888064,1597991064000000000,2020-08-21 14:24:24.000000,2879.0,2879.0,2862.0,2862.0,nan,2872.0,6,344640.0,1072,2912.0,1,2867.0,1,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597991067336039936,1597991068000000000,2020-08-21 14:24:28.000000,2879.0,2879.0,2862.0,2862.0,nan,2872.0,6,344640.0,1072,2911.0,1,2867.0,1,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
