local_nano_time,quote_nano_time,datetime,last_price,highest,lowest,open,close,average,volume,amount,open_interest,ask_price1,ask_volume1,bid_price1,bid_volume1,ask_price2,ask_volume2,bid_price2,bid_volume2,ask_price3,ask_volume3,bid_price3,bid_volume3,ask_price4,ask_volume4,bid_price4,bid_volume4,ask_price5,ask_volume5,bid_price5,bid_volume5
1597988229738520064,1597988230000000000,2020-08-21 13:37:10.000000,1922.0,1926.0,1898.0,1907.0,nan,1913.0,709089,13564872570.0,900433,1923.0,1375,1922.0,397,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988230232272896,1597988230000001024,2020-08-21 13:37:10.000001,1922.0,1926.0,1898.0,1907.0,nan,1913.0,709092,13564929960.0,900436,1923.0,1375,1922.0,394,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988230716634880,1597988231000000000,2020-08-21 13:37:11.000000,1922.0,1926.0,1898.0,1907.0,nan,1913.0,709096,13565006480.0,900436,1923.0,1374,1922.0,391,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988231223898880,1597988231000001024,2020-08-21 13:37:11.000001,1922.0,1926.0,1898.0,1907.0,nan,1913.0,709101,13565102130.0,900436,1923.0,1375,1922.0,383,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988231721704960,1597988232000000000,2020-08-21 13:37:12.000000,1922.0,1926.0,1898.0,1907.0,nan,1913.0,709102,13565121260.0,900436,1923.0,1377,1922.0,433,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988232225074944,1597988232000001024,2020-08-21 13:37:12.000001,1922.0,1926.0,1898.0,1907.0,nan,1913.0,709105,13565178650.0,900436,1923.0,1376,1922.0,433,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988232719268096,1597988233000000000,2020-08-21 13:37:13.000000,1922.0,1926.0,1898.0,1907.0,nan,1913.0,709107,13565216910.0,900436,1923.0,1375,1922.0,432,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988233201981952,1597988233000001024,2020-08-21 13:37:13.000001,1922.0,1926.0,1898.0,1907.0,nan,1913.0,709112,13565312560.0,900436,1923.0,1375,1922.0,427,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988233694343936,1597988234000000000,2020-08-21 13:37:14.000000,1922.0,1926.0,1898.0,1907.0,nan,1913.0,709112,13565312560.0,900436,1923.0,1375,1922.0,428,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988234210825984,1597988234000001024,2020-08-21 13:37:14.000001,1922.0,1926.0,1898.0,1907.0,nan,1913.0,709112,13565312560.0,900436,1923.0,1367,1922.0,428,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988234723378944,1597988235000000000,2020-08-21 13:37:15.000000,1922.0,1926.0,1898.0,1907.0,nan,1913.0,709113,13565331690.0,900437,1923.0,1369,1922.0,428,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988235215334912,1597988235000001024,2020-08-21 13:37:15.000001,1922.0,1926.0,1898.0,1907.0,nan,1913.0,709115,13565369950.0,900437,1923.0,1268,1922.0,426,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988235723936000,1597988236000000000,2020-08-21 13:37:16.000000,1922.0,1926.0,1898.0,1907.0,nan,1913.0,709123,13565522990.0,900437,1923.0,1280,1922.0,419,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988236202061056,1597988236000001024,2020-08-21 13:37:16.000001,1923.0,1926.0,1898.0,1907.0,nan,1913.0,709250,13567952500.0,900376,1923.0,1237,1922.0,309,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988236703730944,1597988237000000000,2020-08-21 13:37:17.000000,1923.0,1926.0,1898.0,1907.0,nan,1913.0,709273,13568392490.0,900376,1923.0,1229,1922.0,316,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988237222567936,1597988237000001024,2020-08-21 13:37:17.000001,1922.0,1926.0,1898.0,1907.0,nan,1913.0,709282,13568564660.0,900377,1923.0,1250,1922.0,320,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988237699685120,1597988238000000000,2020-08-21 13:37:18.000000,1922.0,1926.0,1898.0,1907.0,nan,1913.0,709283,13568583790.0,900378,1923.0,1250,1922.0,316,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988238238362880,1597988238000001024,2020-08-21 13:37:18.000001,1923.0,1926.0,1898.0,1907.0,nan,1913.0,709284,13568602920.0,900377,1923.0,1250,1922.0,315,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988238734957056,1597988239000000000,2020-08-21 13:37:19.000000,1923.0,1926.0,1898.0,1907.0,nan,1913.0,709285,13568622050.0,900377,1923.0,1252,1922.0,315,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988239184743936,1597988239000001024,2020-08-21 13:37:19.000001,1923.0,1926.0,1898.0,1907.0,nan,1913.0,709293,13568775090.0,900377,1923.0,1243,1922.0,316,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988239719650048,1597988240000000000,2020-08-21 13:37:20.000000,1923.0,1926.0,1898.0,1907.0,nan,1913.0,709329,13569463770.0,900410,1923.0,1233,1922.0,289,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988240221313024,1597988240000001024,2020-08-21 13:37:20.000001,1922.0,1926.0,1898.0,1907.0,nan,1913.0,709331,13569502030.0,900412,1923.0,1244,1922.0,294,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988240693424896,1597988241000000000,2020-08-21 13:37:21.000000,1922.0,1926.0,1898.0,1907.0,nan,1913.0,709332,13569521160.0,900413,1923.0,1254,1922.0,313,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988241196325120,1597988241000001024,2020-08-21 13:37:21.000001,1922.0,1926.0,1898.0,1907.0,nan,1913.0,709536,13573423680.0,900473,1923.0,1252,1922.0,111,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
