local_nano_time,quote_nano_time,datetime,last_price,highest,lowest,open,close,average,volume,amount,open_interest,ask_price1,ask_volume1,bid_price1,bid_volume1,ask_price2,ask_volume2,bid_price2,bid_volume2,ask_price3,ask_volume3,bid_price3,bid_volume3,ask_price4,ask_volume4,bid_price4,bid_volume4,ask_price5,ask_volume5,bid_price5,bid_volume5
1597988226224792064,1597988226000001024,2020-08-21 13:37:06.000001,1922.0,1926.0,1898.0,1907.0,nan,1913.0,709052,13564164760.0,900416,1923.0,1348,1922.0,434,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988226683081984,1597988227000000000,2020-08-21 13:37:07.000000,1922.0,1926.0,1898.0,1907.0,nan,1913.0,709083,13564757790.0,900431,1923.0,1359,1922.0,403,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988227188691968,1597988227000001024,2020-08-21 13:37:07.000001,1922.0,1926.0,1898.0,1907.0,nan,1913.0,709083,13564757790.0,900431,1923.0,1367,1922.0,413,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988227688708096,1597988228000000000,2020-08-21 13:37:08.000000,1922.0,1926.0,1898.0,1907.0,nan,1913.0,709086,13564815180.0,900432,1923.0,1368,1922.0,410,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988228686360064,1597988229000000000,2020-08-21 13:37:09.000000,1922.0,1926.0,1898.0,1907.0,nan,1913.0,709086,13564815180.0,900432,1923.0,1377,1922.0,410,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988229188815104,1597988229000001024,2020-08-21 13:37:09.000001,1923.0,1926.0,1898.0,1907.0,nan,1913.0,709088,13564853440.0,900432,1923.0,1375,1922.0,388,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988229692401920,1597988230000000000,2020-08-21 13:37:10.000000,1922.0,1926.0,1898.0,1907.0,nan,1913.0,709089,13564872570.0,900433,1923.0,1375,1922.0,397,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988230241556992,1597988230000001024,2020-08-21 13:37:10.000001,1922.0,1926.0,1898.0,1907.0,nan,1913.0,709092,13564929960.0,900436,1923.0,1375,1922.0,394,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988230693150976,1597988231000000000,2020-08-21 13:37:11.000000,1922.0,1926.0,1898.0,1907.0,nan,1913.0,709096,13565006480.0,900436,1923.0,1374,1922.0,391,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988231191282944,1597988231000001024,2020-08-21 13:37:11.000001,1922.0,1926.0,1898.0,1907.0,nan,1913.0,709101,13565102130.0,900436,1923.0,1375,1922.0,383,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988231711216128,1597988232000000000,2020-08-21 13:37:12.000000,1922.0,1926.0,1898.0,1907.0,nan,1913.0,709102,13565121260.0,900436,1923.0,1377,1922.0,433,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
