local_nano_time,quote_nano_time,datetime,last_price,highest,lowest,open,close,average,volume,amount,open_interest,ask_price1,ask_volume1,bid_price1,bid_volume1,ask_price2,ask_volume2,bid_price2,bid_volume2,ask_price3,ask_volume3,bid_price3,bid_volume3,ask_price4,ask_volume4,bid_price4,bid_volume4,ask_price5,ask_volume5,bid_price5,bid_volume5
1597988226224489984,1597988226000001024,2020-08-21 13:37:06.000001,8627.0,8654.0,8490.0,8590.0,nan,8571.0,353491,30297713610.0,152750,8627.0,12,8626.0,15,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988226682705920,1597988227000000000,2020-08-21 13:37:07.000000,8626.0,8654.0,8490.0,8590.0,nan,8571.0,353502,30298656420.0,152740,8627.0,13,8626.0,4,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988227188410112,1597988227000001024,2020-08-21 13:37:07.000001,8626.0,8654.0,8490.0,8590.0,nan,8571.0,353510,30299342100.0,152743,8626.0,6,8625.0,31,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988227688272896,1597988228000000000,2020-08-21 13:37:08.000000,8626.0,8654.0,8490.0,8590.0,nan,8571.0,353514,30299684940.0,152740,8626.0,8,8625.0,30,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988228186994944,1597988228000001024,2020-08-21 13:37:08.000001,8626.0,8654.0,8490.0,8590.0,nan,8571.0,353519,30300113490.0,152740,8627.0,23,8625.0,30,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988228686031872,1597988229000000000,2020-08-21 13:37:09.000000,8625.0,8654.0,8490.0,8590.0,nan,8571.0,353521,30300284910.0,152740,8627.0,23,8625.0,28,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988229188323072,1597988229000001024,2020-08-21 13:37:09.000001,8625.0,8654.0,8490.0,8590.0,nan,8571.0,353531,30301142010.0,152741,8627.0,16,8626.0,4,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988229691960064,1597988230000000000,2020-08-21 13:37:10.000000,8625.0,8654.0,8490.0,8590.0,nan,8571.0,353531,30301142010.0,152741,8627.0,18,8626.0,4,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988230241146112,1597988230000001024,2020-08-21 13:37:10.000001,8625.0,8654.0,8490.0,8590.0,nan,8571.0,353536,30301570560.0,152740,8626.0,16,8625.0,28,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988231190941952,1597988231000001024,2020-08-21 13:37:11.000001,8625.0,8654.0,8490.0,8590.0,nan,8571.0,353536,30301570560.0,152740,8626.0,21,8625.0,23,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
