local_nano_time,quote_nano_time,datetime,last_price,highest,lowest,open,close,average,volume,amount,open_interest,ask_price1,ask_volume1,bid_price1,bid_volume1,ask_price2,ask_volume2,bid_price2,bid_volume2,ask_price3,ask_volume3,bid_price3,bid_volume3,ask_price4,ask_volume4,bid_price4,bid_volume4,ask_price5,ask_volume5,bid_price5,bid_volume5
1597988229739124992,1597988230000000000,2020-08-21 13:37:10.000000,2272.0,2284.0,2256.0,2282.0,nan,2268.0,389958,8844247440.0,294768,2272.0,382,2271.0,222,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988230232859904,1597988230000001024,2020-08-21 13:37:10.000001,2272.0,2284.0,2256.0,2282.0,nan,2268.0,389959,8844270120.0,294767,2272.0,383,2271.0,225,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988230717329920,1597988231000000000,2020-08-21 13:37:11.000000,2271.0,2284.0,2256.0,2282.0,nan,2268.0,389962,8844338160.0,294766,2272.0,384,2271.0,228,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988231224718080,1597988231000001024,2020-08-21 13:37:11.000001,2271.0,2284.0,2256.0,2282.0,nan,2268.0,389962,8844338160.0,294766,2272.0,392,2271.0,271,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988231722027008,1597988232000000000,2020-08-21 13:37:12.000000,2271.0,2284.0,2256.0,2282.0,nan,2268.0,389965,8844406200.0,294765,2272.0,392,2271.0,270,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988232225856000,1597988232000001024,2020-08-21 13:37:12.000001,2271.0,2284.0,2256.0,2282.0,nan,2268.0,389969,8844496920.0,294765,2272.0,395,2271.0,270,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988232720093952,1597988233000000000,2020-08-21 13:37:13.000000,2271.0,2284.0,2256.0,2282.0,nan,2268.0,389980,8844746400.0,294755,2272.0,389,2271.0,268,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988233202361088,1597988233000001024,2020-08-21 13:37:13.000001,2271.0,2284.0,2256.0,2282.0,nan,2268.0,389983,8844814440.0,294754,2272.0,390,2271.0,291,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988233717427968,1597988234000000000,2020-08-21 13:37:14.000000,2272.0,2284.0,2256.0,2282.0,nan,2268.0,389985,8844859800.0,294754,2272.0,354,2271.0,295,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988234211675904,1597988234000001024,2020-08-21 13:37:14.000001,2272.0,2284.0,2256.0,2282.0,nan,2268.0,389990,8844973200.0,294750,2272.0,354,2271.0,292,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988234723812096,1597988235000000000,2020-08-21 13:37:15.000000,2271.0,2284.0,2256.0,2282.0,nan,2268.0,390004,8845290720.0,294749,2272.0,351,2271.0,284,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988235216265984,1597988235000001024,2020-08-21 13:37:15.000001,2272.0,2284.0,2256.0,2282.0,nan,2268.0,390006,8845336080.0,294751,2272.0,346,2271.0,291,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988235740061952,1597988236000000000,2020-08-21 13:37:16.000000,2271.0,2284.0,2256.0,2282.0,nan,2268.0,390007,8845358760.0,294750,2272.0,347,2271.0,290,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988236205882880,1597988236000001024,2020-08-21 13:37:16.000001,2271.0,2284.0,2256.0,2282.0,nan,2268.0,390011,8845449480.0,294750,2272.0,352,2271.0,286,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988236704105984,1597988237000000000,2020-08-21 13:37:17.000000,2271.0,2284.0,2256.0,2282.0,nan,2268.0,390011,8845449480.0,294750,2272.0,353,2271.0,296,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988237223273984,1597988237000001024,2020-08-21 13:37:17.000001,2272.0,2284.0,2256.0,2282.0,nan,2268.0,390012,8845472160.0,294750,2272.0,353,2271.0,296,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988237700413952,1597988238000000000,2020-08-21 13:37:18.000000,2272.0,2284.0,2256.0,2282.0,nan,2268.0,390017,8845585560.0,294753,2272.0,349,2271.0,306,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
