local_nano_time,quote_nano_time,datetime,last_price,highest,lowest,open,close,average,volume,amount,open_interest,ask_price1,ask_volume1,bid_price1,bid_volume1,ask_price2,ask_volume2,bid_price2,bid_volume2,ask_price3,ask_volume3,bid_price3,bid_volume3,ask_price4,ask_volume4,bid_price4,bid_volume4,ask_price5,ask_volume5,bid_price5,bid_volume5
1597988686386359040,1597988687000000000,2020-08-21 13:44:47.000000,5326.0,5419.0,5250.0,5250.0,nan,5374.0,8,429920.0,23,5400.0,1,5330.0,1,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988686885552896,1597988687000001024,2020-08-21 13:44:47.000001,5326.0,5419.0,5250.0,5250.0,nan,5374.0,8,429920.0,23,5399.0,2,5330.0,1,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988872470466048,1597988873000000000,2020-08-21 13:47:53.000000,5326.0,5419.0,5250.0,5250.0,nan,5374.0,8,429920.0,23,5398.0,1,5330.0,1,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988876474790912,1597988877000000000,2020-08-21 13:47:57.000000,5326.0,5419.0,5250.0,5250.0,nan,5374.0,8,429920.0,23,5398.0,1,5325.0,2,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988877470910976,1597988878000000000,2020-08-21 13:47:58.000000,5326.0,5419.0,5250.0,5250.0,nan,5374.0,8,429920.0,23,5398.0,1,5326.0,1,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597990593632857088,1597990594000000000,2020-08-21 14:16:34.000000,5326.0,5419.0,5250.0,5250.0,nan,5374.0,8,429920.0,23,5397.0,2,5326.0,1,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597990594126440960,1597990594000001024,2020-08-21 14:16:34.000001,5326.0,5419.0,5250.0,5250.0,nan,5374.0,8,429920.0,23,5398.0,1,5326.0,1,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597990594647151104,1597990595000000000,2020-08-21 14:16:35.000000,5326.0,5419.0,5250.0,5250.0,nan,5374.0,8,429920.0,23,5397.0,2,5326.0,1,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597990595126097920,1597990595000001024,2020-08-21 14:16:35.000001,5326.0,5419.0,5250.0,5250.0,nan,5374.0,8,429920.0,23,5398.0,1,5326.0,1,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597990604628764928,1597990605000000000,2020-08-21 14:16:45.000000,5326.0,5419.0,5250.0,5250.0,nan,5374.0,8,429920.0,23,5397.0,2,5326.0,1,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597990612144496128,1597990612000001024,2020-08-21 14:16:52.000001,5326.0,5419.0,5250.0,5250.0,nan,5374.0,8,429920.0,23,5398.0,1,5326.0,1,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597990613157787904,1597990613000001024,2020-08-21 14:16:53.000001,5326.0,5419.0,5250.0,5250.0,nan,5374.0,8,429920.0,23,5397.0,2,5326.0,1,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597990614167740928,1597990614000001024,2020-08-21 14:16:54.000001,5326.0,5419.0,5250.0,5250.0,nan,5374.0,8,429920.0,23,5398.0,1,5326.0,1,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597990639661337088,1597990640000000000,2020-08-21 14:17:20.000000,5326.0,5419.0,5250.0,5250.0,nan,5374.0,8,429920.0,23,5397.0,2,5326.0,1,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597990653656044032,1597990654000000000,2020-08-21 14:17:34.000000,5326.0,5419.0,5250.0,5250.0,nan,5374.0,8,429920.0,23,5398.0,1,5326.0,1,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597990683670817024,1597990684000000000,2020-08-21 14:18:04.000000,5326.0,5419.0,5250.0,5250.0,nan,5374.0,8,429920.0,23,5397.0,2,5326.0,1,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597990684660934912,1597990685000000000,2020-08-21 14:18:05.000000,5326.0,5419.0,5250.0,5250.0,nan,5374.0,8,429920.0,23,5398.0,1,5326.0,1,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597990717203535872,1597990717000001024,2020-08-21 14:18:37.000001,5326.0,5419.0,5250.0,5250.0,nan,5374.0,8,429920.0,23,5397.0,2,5326.0,1,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597990718670878976,1597990719000000000,2020-08-21 14:18:39.000000,5326.0,5419.0,5250.0,5250.0,nan,5374.0,8,429920.0,23,5398.0,1,5326.0,1,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597990720195569920,1597990720000001024,2020-08-21 14:18:40.000001,5326.0,5419.0,5250.0,5250.0,nan,5374.0,8,429920.0,23,5397.0,2,5326.0,1,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597990759197537024,1597990759000001024,2020-08-21 14:19:19.000001,5326.0,5419.0,5250.0,5250.0,nan,5374.0,8,429920.0,23,5398.0,1,5326.0,1,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597991082340558080,1597991083000000000,2020-08-21 14:24:43.000000,5326.0,5419.0,5250.0,5250.0,nan,5374.0,8,429920.0,23,5397.0,2,5326.0,1,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597991085838302976,1597991086000001024,2020-08-21 14:24:46.000001,5326.0,5419.0,5250.0,5250.0,nan,5374.0,8,429920.0,23,5398.0,1,5326.0,1,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597991111916675072,1597991112000001024,2020-08-21 14:25:12.000001,5326.0,5419.0,5250.0,5250.0,nan,5374.0,8,429920.0,23,5397.0,2,5326.0,1,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597991118337125888,1597991119000000000,2020-08-21 14:25:19.000000,5326.0,5419.0,5250.0,5250.0,nan,5374.0,8,429920.0,23,5398.0,1,5326.0,1,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597991122848727040,1597991123000001024,2020-08-21 14:25:23.000001,5326.0,5419.0,5250.0,5250.0,nan,5374.0,8,429920.0,23,5397.0,2,5326.0,1,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597991123351104000,1597991124000000000,2020-08-21 14:25:24.000000,5326.0,5419.0,5250.0,5250.0,nan,5374.0,8,429920.0,23,5398.0,1,5326.0,1,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597991124343439872,1597991125000000000,2020-08-21 14:25:25.000000,5326.0,5419.0,5250.0,5250.0,nan,5374.0,8,429920.0,23,5397.0,2,5326.0,1,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597991124841937920,1597991125000001024,2020-08-21 14:25:25.000001,5326.0,5419.0,5250.0,5250.0,nan,5374.0,8,429920.0,23,5398.0,1,5326.0,1,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597991127351216896,1597991128000000000,2020-08-21 14:25:28.000000,5326.0,5419.0,5250.0,5250.0,nan,5374.0,8,429920.0,23,5397.0,2,5326.0,1,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597991131383796992,1597991132000000000,2020-08-21 14:25:32.000000,5326.0,5419.0,5250.0,5250.0,nan,5374.0,8,429920.0,23,5398.0,1,5326.0,1,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597991140359412992,1597991141000000000,2020-08-21 14:25:41.000000,5326.0,5419.0,5250.0,5250.0,nan,5374.0,8,429920.0,23,5397.0,2,5326.0,1,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597991180367513088,1597991181000000000,2020-08-21 14:26:21.000000,5326.0,5419.0,5250.0,5250.0,nan,5374.0,8,429920.0,23,5398.0,1,5326.0,1,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597991180871229952,1597991181000001024,2020-08-21 14:26:21.000001,5326.0,5419.0,5250.0,5250.0,nan,5374.0,8,429920.0,23,5397.0,2,5326.0,1,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
