local_nano_time,quote_nano_time,datetime,last_price,highest,lowest,open,close,average,volume,amount,open_interest,ask_price1,ask_volume1,bid_price1,bid_volume1,ask_price2,ask_volume2,bid_price2,bid_volume2,ask_price3,ask_volume3,bid_price3,bid_volume3,ask_price4,ask_volume4,bid_price4,bid_volume4,ask_price5,ask_volume5,bid_price5,bid_volume5
1597988229740155904,1597988230000000000,2020-08-21 13:37:10.000000,1639.0,1640.0,1596.0,1596.0,nan,1622.0,447488,14516510720.0,110888,1639.0,507,1638.0,17,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988230234599936,1597988230000001024,2020-08-21 13:37:10.000001,1639.0,1640.0,1596.0,1596.0,nan,1622.0,447585,14519657400.0,110892,1639.0,458,1638.0,98,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988230718000128,1597988231000000000,2020-08-21 13:37:11.000000,1639.0,1640.0,1596.0,1596.0,nan,1622.0,447636,14521311840.0,110887,1639.0,352,1638.0,117,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988231226273024,1597988231000001024,2020-08-21 13:37:11.000001,1638.0,1640.0,1596.0,1596.0,nan,1622.0,447668,14522349920.0,110918,1639.0,340,1638.0,116,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988231723334912,1597988232000000000,2020-08-21 13:37:12.000000,1639.0,1640.0,1596.0,1596.0,nan,1622.0,447718,14523971920.0,110935,1639.0,404,1638.0,123,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988232227471104,1597988232000001024,2020-08-21 13:37:12.000001,1639.0,1640.0,1596.0,1596.0,nan,1622.0,447721,14524069240.0,110937,1639.0,425,1638.0,123,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988232721332992,1597988233000000000,2020-08-21 13:37:13.000000,1639.0,1640.0,1596.0,1596.0,nan,1622.0,448037,14534320280.0,111206,1639.0,119,1638.0,133,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988233203520000,1597988233000001024,2020-08-21 13:37:13.000001,1638.0,1640.0,1596.0,1596.0,nan,1622.0,448042,14534482480.0,111208,1639.0,140,1638.0,184,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988233718202880,1597988234000000000,2020-08-21 13:37:14.000000,1638.0,1640.0,1596.0,1596.0,nan,1622.0,448106,14536558640.0,111228,1639.0,139,1638.0,215,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988234212635904,1597988234000001024,2020-08-21 13:37:14.000001,1639.0,1640.0,1596.0,1596.0,nan,1622.0,448227,14540483880.0,111291,1639.0,55,1638.0,213,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988234724616960,1597988235000000000,2020-08-21 13:37:15.000000,1639.0,1640.0,1596.0,1596.0,nan,1622.0,448308,14543111520.0,111327,1640.0,804,1639.0,4,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988235217710080,1597988235000001024,2020-08-21 13:37:15.000001,1639.0,1640.0,1596.0,1596.0,nan,1622.0,448315,14543338600.0,111325,1640.0,652,1639.0,171,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988235741430016,1597988236000000000,2020-08-21 13:37:16.000000,1640.0,1640.0,1596.0,1596.0,nan,1622.0,448654,14554335760.0,111623,1640.0,299,1639.0,329,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988236212166912,1597988236000001024,2020-08-21 13:37:16.000001,1640.0,1640.0,1596.0,1596.0,nan,1622.0,448689,14555471160.0,111650,1640.0,274,1639.0,326,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988236704903936,1597988237000000000,2020-08-21 13:37:17.000000,1639.0,1640.0,1596.0,1596.0,nan,1622.0,448721,14556509240.0,111678,1640.0,270,1639.0,310,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
