local_nano_time,quote_nano_time,datetime,last_price,highest,lowest,open,close,average,volume,amount,open_interest,ask_price1,ask_volume1,bid_price1,bid_volume1,ask_price2,ask_volume2,bid_price2,bid_volume2,ask_price3,ask_volume3,bid_price3,bid_volume3,ask_price4,ask_volume4,bid_price4,bid_volume4,ask_price5,ask_volume5,bid_price5,bid_volume5
1597988229739595008,1597988230000000000,2020-08-21 13:37:10.000000,5846.0,5846.0,5766.0,5778.0,nan,5802.0,57414,1665580140.0,64128,5846.0,186,5844.0,20,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988230233170944,1597988230000001024,2020-08-21 13:37:10.000001,5844.0,5846.0,5766.0,5778.0,nan,5802.0,57417,1665667170.0,64128,5846.0,194,5844.0,20,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988231225163008,1597988231000001024,2020-08-21 13:37:11.000001,5844.0,5846.0,5766.0,5778.0,nan,5802.0,57417,1665667170.0,64128,5846.0,195,5844.0,22,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988231722654976,1597988232000000000,2020-08-21 13:37:12.000000,5844.0,5846.0,5766.0,5778.0,nan,5802.0,57417,1665667170.0,64128,5846.0,195,5844.0,30,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988234211994112,1597988234000001024,2020-08-21 13:37:14.000001,5844.0,5846.0,5766.0,5778.0,nan,5802.0,57418,1665696180.0,64127,5846.0,195,5844.0,28,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988235216984064,1597988235000001024,2020-08-21 13:37:15.000001,5846.0,5846.0,5766.0,5778.0,nan,5802.0,57419,1665725190.0,64128,5846.0,194,5844.0,29,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988235740696064,1597988236000000000,2020-08-21 13:37:16.000000,5844.0,5846.0,5766.0,5778.0,nan,5802.0,57449,1666595490.0,64146,5844.0,20,5842.0,47,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988236208155904,1597988236000001024,2020-08-21 13:37:16.000001,5844.0,5846.0,5766.0,5778.0,nan,5802.0,57449,1666595490.0,64146,5844.0,23,5842.0,35,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988236704480000,1597988237000000000,2020-08-21 13:37:17.000000,5844.0,5846.0,5766.0,5778.0,nan,5802.0,57449,1666595490.0,64146,5844.0,28,5842.0,33,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988237726770944,1597988238000000000,2020-08-21 13:37:18.000000,5844.0,5846.0,5766.0,5778.0,nan,5802.0,57464,1667030640.0,64161,5844.0,13,5842.0,33,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988238240500992,1597988238000001024,2020-08-21 13:37:18.000001,5844.0,5846.0,5766.0,5778.0,nan,5802.0,57465,1667059650.0,64162,5844.0,12,5842.0,33,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988238735735040,1597988239000000000,2020-08-21 13:37:19.000000,5844.0,5846.0,5766.0,5778.0,nan,5802.0,57465,1667059650.0,64162,5844.0,9,5842.0,40,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988240256166912,1597988240000001024,2020-08-21 13:37:20.000001,5844.0,5846.0,5766.0,5778.0,nan,5802.0,57465,1667059650.0,64162,5844.0,10,5842.0,40,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988240716390912,1597988241000000000,2020-08-21 13:37:21.000000,5844.0,5846.0,5766.0,5778.0,nan,5802.0,57475,1667349750.0,64165,5846.0,194,5844.0,9,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988242209652992,1597988242000001024,2020-08-21 13:37:22.000001,5844.0,5846.0,5766.0,5778.0,nan,5802.0,57476,1667378760.0,64165,5846.0,195,5844.0,10,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988243232065024,1597988243000001024,2020-08-21 13:37:23.000001,5844.0,5846.0,5766.0,5778.0,nan,5802.0,57476,1667378760.0,64165,5846.0,195,5844.0,17,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988244210753024,1597988244000001024,2020-08-21 13:37:24.000001,5844.0,5846.0,5766.0,5778.0,nan,5802.0,57476,1667378760.0,64165,5846.0,195,5844.0,32,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988244735286016,1597988245000000000,2020-08-21 13:37:25.000000,5844.0,5846.0,5766.0,5778.0,nan,5802.0,57478,1667436780.0,64165,5846.0,195,5844.0,32,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988245200493056,1597988245000001024,2020-08-21 13:37:25.000001,5844.0,5846.0,5766.0,5778.0,nan,5802.0,57478,1667436780.0,64165,5846.0,196,5844.0,32,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988246750739968,1597988247000000000,2020-08-21 13:37:27.000000,5846.0,5846.0,5766.0,5778.0,nan,5802.0,57479,1667465790.0,64166,5846.0,196,5844.0,32,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988247223098880,1597988247000001024,2020-08-21 13:37:27.000001,5844.0,5846.0,5766.0,5778.0,nan,5804.0,57484,1668185680.0,64164,5846.0,196,5844.0,35,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988247729745920,1597988248000000000,2020-08-21 13:37:28.000000,5844.0,5846.0,5766.0,5778.0,nan,5804.0,57484,1668185680.0,64164,5846.0,196,5844.0,34,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988248226588928,1597988248000001024,2020-08-21 13:37:28.000001,5844.0,5846.0,5766.0,5778.0,nan,5804.0,57485,1668214700.0,64164,5846.0,196,5844.0,33,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
