local_nano_time,quote_nano_time,datetime,last_price,highest,lowest,open,close,average,volume,amount,open_interest,ask_price1,ask_volume1,bid_price1,bid_volume1,ask_price2,ask_volume2,bid_price2,bid_volume2,ask_price3,ask_volume3,bid_price3,bid_volume3,ask_price4,ask_volume4,bid_price4,bid_volume4,ask_price5,ask_volume5,bid_price5,bid_volume5
1597988227700506880,1597988228000000000,2020-08-21 13:37:08.000000,5844.0,5846.0,5766.0,5778.0,nan,5802.0,57389,1664854890.0,64121,5846.0,204,5844.0,30,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988228202237952,1597988228000001024,2020-08-21 13:37:08.000001,5844.0,5846.0,5766.0,5778.0,nan,5802.0,57390,1664883900.0,64121,5846.0,205,5844.0,30,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988228699721984,1597988229000000000,2020-08-21 13:37:09.000000,5844.0,5846.0,5766.0,5778.0,nan,5802.0,57395,1665028950.0,64121,5846.0,205,5844.0,17,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988229206149120,1597988229000001024,2020-08-21 13:37:09.000001,5846.0,5846.0,5766.0,5778.0,nan,5802.0,57402,1665232020.0,64128,5846.0,198,5844.0,20,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988229708700928,1597988230000000000,2020-08-21 13:37:10.000000,5846.0,5846.0,5766.0,5778.0,nan,5802.0,57414,1665580140.0,64128,5846.0,186,5844.0,20,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988230242704896,1597988230000001024,2020-08-21 13:37:10.000001,5844.0,5846.0,5766.0,5778.0,nan,5802.0,57417,1665667170.0,64128,5846.0,194,5844.0,20,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988231204526080,1597988231000001024,2020-08-21 13:37:11.000001,5844.0,5846.0,5766.0,5778.0,nan,5802.0,57417,1665667170.0,64128,5846.0,195,5844.0,22,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988231712260096,1597988232000000000,2020-08-21 13:37:12.000000,5844.0,5846.0,5766.0,5778.0,nan,5802.0,57417,1665667170.0,64128,5846.0,195,5844.0,30,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988234203130112,1597988234000001024,2020-08-21 13:37:14.000001,5844.0,5846.0,5766.0,5778.0,nan,5802.0,57418,1665696180.0,64127,5846.0,195,5844.0,28,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988235198187008,1597988235000001024,2020-08-21 13:37:15.000001,5846.0,5846.0,5766.0,5778.0,nan,5802.0,57419,1665725190.0,64128,5846.0,194,5844.0,29,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988235859800064,1597988236000000000,2020-08-21 13:37:16.000000,5844.0,5846.0,5766.0,5778.0,nan,5802.0,57449,1666595490.0,64146,5844.0,20,5842.0,47,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988236209662976,1597988236000001024,2020-08-21 13:37:16.000001,5844.0,5846.0,5766.0,5778.0,nan,5802.0,57449,1666595490.0,64146,5844.0,23,5842.0,35,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988236704719104,1597988237000000000,2020-08-21 13:37:17.000000,5844.0,5846.0,5766.0,5778.0,nan,5802.0,57449,1666595490.0,64146,5844.0,28,5842.0,33,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988237714568960,1597988238000000000,2020-08-21 13:37:18.000000,5844.0,5846.0,5766.0,5778.0,nan,5802.0,57464,1667030640.0,64161,5844.0,13,5842.0,33,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988238234246912,1597988238000001024,2020-08-21 13:37:18.000001,5844.0,5846.0,5766.0,5778.0,nan,5802.0,57465,1667059650.0,64162,5844.0,12,5842.0,33,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988238709221120,1597988239000000000,2020-08-21 13:37:19.000000,5844.0,5846.0,5766.0,5778.0,nan,5802.0,57465,1667059650.0,64162,5844.0,9,5842.0,40,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
