local_nano_time,quote_nano_time,datetime,last_price,highest,lowest,open,close,average,volume,amount,open_interest,ask_price1,ask_volume1,bid_price1,bid_volume1,ask_price2,ask_volume2,bid_price2,bid_volume2,ask_price3,ask_volume3,bid_price3,bid_volume3,ask_price4,ask_volume4,bid_price4,bid_volume4,ask_price5,ask_volume5,bid_price5,bid_volume5
1597988230233811968,1597988230000001024,2020-08-21 13:37:10.000001,6180.0,6260.0,6150.0,6252.0,nan,6186.0,54383,1682066190.0,40631,6180.0,15,6176.0,23,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988230717647872,1597988231000000000,2020-08-21 13:37:11.000000,6180.0,6260.0,6150.0,6252.0,nan,6186.0,54383,1682066190.0,40631,6180.0,17,6176.0,23,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988231225536000,1597988231000001024,2020-08-21 13:37:11.000001,6180.0,6260.0,6150.0,6252.0,nan,6186.0,54383,1682066190.0,40631,6178.0,2,6176.0,23,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988231722960896,1597988232000000000,2020-08-21 13:37:12.000000,6180.0,6260.0,6150.0,6252.0,nan,6186.0,54384,1682097120.0,40631,6178.0,1,6176.0,23,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988232226494976,1597988232000001024,2020-08-21 13:37:12.000001,6178.0,6260.0,6150.0,6252.0,nan,6186.0,54387,1682189910.0,40631,6180.0,15,6176.0,23,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988235741027072,1597988236000000000,2020-08-21 13:37:16.000000,6178.0,6260.0,6150.0,6252.0,nan,6186.0,54388,1682220840.0,40631,6180.0,15,6178.0,7,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988236717530880,1597988237000000000,2020-08-21 13:37:17.000000,6180.0,6260.0,6150.0,6252.0,nan,6186.0,54389,1682251770.0,40630,6180.0,15,6178.0,7,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988237727473920,1597988238000000000,2020-08-21 13:37:18.000000,6180.0,6260.0,6150.0,6252.0,nan,6186.0,54389,1682251770.0,40630,6180.0,15,6178.0,8,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988238241890048,1597988238000001024,2020-08-21 13:37:18.000001,6180.0,6260.0,6150.0,6252.0,nan,6186.0,54389,1682251770.0,40630,6180.0,16,6178.0,8,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988241227457024,1597988241000001024,2020-08-21 13:37:21.000001,6180.0,6260.0,6150.0,6252.0,nan,6186.0,54389,1682251770.0,40630,6180.0,16,6178.0,21,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988243713710080,1597988244000000000,2020-08-21 13:37:24.000000,6180.0,6260.0,6150.0,6252.0,nan,6186.0,54389,1682251770.0,40630,6180.0,13,6178.0,21,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988247223407104,1597988247000001024,2020-08-21 13:37:27.000001,6178.0,6260.0,6150.0,6252.0,nan,6186.0,54399,1682561070.0,40630,6180.0,16,6178.0,12,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
