local_nano_time,quote_nano_time,datetime,last_price,highest,lowest,open,close,average,volume,amount,open_interest,ask_price1,ask_volume1,bid_price1,bid_volume1,ask_price2,ask_volume2,bid_price2,bid_volume2,ask_price3,ask_volume3,bid_price3,bid_volume3,ask_price4,ask_volume4,bid_price4,bid_volume4,ask_price5,ask_volume5,bid_price5,bid_volume5
1597988226696107008,1597988227000000000,2020-08-21 13:37:07.000000,6180.0,6260.0,6150.0,6252.0,nan,6186.0,54382,1682035260.0,40631,6180.0,14,6176.0,23,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988228202682880,1597988228000001024,2020-08-21 13:37:08.000001,6180.0,6260.0,6150.0,6252.0,nan,6186.0,54382,1682035260.0,40631,6180.0,16,6176.0,23,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988230243034880,1597988230000001024,2020-08-21 13:37:10.000001,6180.0,6260.0,6150.0,6252.0,nan,6186.0,54383,1682066190.0,40631,6180.0,15,6176.0,23,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988230694292992,1597988231000000000,2020-08-21 13:37:11.000000,6180.0,6260.0,6150.0,6252.0,nan,6186.0,54383,1682066190.0,40631,6180.0,17,6176.0,23,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988231204855040,1597988231000001024,2020-08-21 13:37:11.000001,6180.0,6260.0,6150.0,6252.0,nan,6186.0,54383,1682066190.0,40631,6178.0,2,6176.0,23,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988231712677120,1597988232000000000,2020-08-21 13:37:12.000000,6180.0,6260.0,6150.0,6252.0,nan,6186.0,54384,1682097120.0,40631,6178.0,1,6176.0,23,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988232199621120,1597988232000001024,2020-08-21 13:37:12.000001,6178.0,6260.0,6150.0,6252.0,nan,6186.0,54387,1682189910.0,40631,6180.0,15,6176.0,23,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988235860448000,1597988236000000000,2020-08-21 13:37:16.000000,6178.0,6260.0,6150.0,6252.0,nan,6186.0,54388,1682220840.0,40631,6180.0,15,6178.0,7,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988236717861120,1597988237000000000,2020-08-21 13:37:17.000000,6180.0,6260.0,6150.0,6252.0,nan,6186.0,54389,1682251770.0,40630,6180.0,15,6178.0,7,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988237714898944,1597988238000000000,2020-08-21 13:37:18.000000,6180.0,6260.0,6150.0,6252.0,nan,6186.0,54389,1682251770.0,40630,6180.0,15,6178.0,8,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988238235302912,1597988238000001024,2020-08-21 13:37:18.000001,6180.0,6260.0,6150.0,6252.0,nan,6186.0,54389,1682251770.0,40630,6180.0,16,6178.0,8,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988241204633088,1597988241000001024,2020-08-21 13:37:21.000001,6180.0,6260.0,6150.0,6252.0,nan,6186.0,54389,1682251770.0,40630,6180.0,16,6178.0,21,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988243705992960,1597988244000000000,2020-08-21 13:37:24.000000,6180.0,6260.0,6150.0,6252.0,nan,6186.0,54389,1682251770.0,40630,6180.0,13,6178.0,21,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988247208530944,1597988247000001024,2020-08-21 13:37:27.000001,6178.0,6260.0,6150.0,6252.0,nan,6186.0,54399,1682561070.0,40630,6180.0,16,6178.0,12,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988247711817984,1597988248000000000,2020-08-21 13:37:28.000000,6180.0,6260.0,6150.0,6252.0,nan,6186.0,54401,1682622930.0,40628,6180.0,15,6178.0,1,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988248235109120,1597988248000001024,2020-08-21 13:37:28.000001,6178.0,6260.0,6150.0,6252.0,nan,6186.0,54402,1682653860.0,40628,6180.0,15,6178.0,2,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988249720113920,1597988250000000000,2020-08-21 13:37:30.000000,6178.0,6260.0,6150.0,6252.0,nan,6186.0,54404,1682715720.0,40628,6178.0,8,6176.0,23,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988251214718976,1597988251000001024,2020-08-21 13:37:31.000001,6178.0,6260.0,6150.0,6252.0,nan,6186.0,54405,1682746650.0,40627,6178.0,7,6176.0,23,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988253204463104,1597988253000001024,2020-08-21 13:37:33.000001,6178.0,6260.0,6150.0,6252.0,nan,6186.0,54406,1682777580.0,40627,6178.0,6,6176.0,23,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988256715998976,1597988257000000000,2020-08-21 13:37:37.000000,6178.0,6260.0,6150.0,6252.0,nan,6186.0,54406,1682777580.0,40627,6178.0,8,6176.0,23,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988260229921024,1597988260000001024,2020-08-21 13:37:40.000001,6178.0,6260.0,6150.0,6252.0,nan,6186.0,54407,1682808510.0,40627,6178.0,7,6176.0,23,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988260719768064,1597988261000000000,2020-08-21 13:37:41.000000,6178.0,6260.0,6150.0,6252.0,nan,6186.0,54407,1682808510.0,40627,6178.0,7,6176.0,27,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988267725562880,1597988268000000000,2020-08-21 13:37:48.000000,6178.0,6260.0,6150.0,6252.0,nan,6186.0,54407,1682808510.0,40627,6178.0,20,6176.0,24,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988268219842048,1597988268000001024,2020-08-21 13:37:48.000001,6178.0,6260.0,6150.0,6252.0,nan,6186.0,54407,1682808510.0,40627,6178.0,20,6176.0,11,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988268722809088,1597988269000000000,2020-08-21 13:37:49.000000,6178.0,6260.0,6150.0,6252.0,nan,6186.0,54408,1682839440.0,40627,6178.0,19,6176.0,11,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988273221242880,1597988273000001024,2020-08-21 13:37:53.000001,6178.0,6260.0,6150.0,6252.0,nan,6186.0,54409,1682870370.0,40627,6178.0,18,6176.0,11,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988273721381888,1597988274000000000,2020-08-21 13:37:54.000000,6178.0,6260.0,6150.0,6252.0,nan,6186.0,54409,1682870370.0,40627,6178.0,18,6176.0,12,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988274723012096,1597988275000000000,2020-08-21 13:37:55.000000,6176.0,6260.0,6150.0,6252.0,nan,6186.0,54410,1682901300.0,40627,6178.0,18,6176.0,11,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988280726597120,1597988281000000000,2020-08-21 13:38:01.000000,6176.0,6260.0,6150.0,6252.0,nan,6186.0,54411,1682932230.0,40627,6178.0,18,6176.0,10,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988281221235968,1597988281000001024,2020-08-21 13:38:01.000001,6176.0,6260.0,6150.0,6252.0,nan,6186.0,54411,1682932230.0,40627,6178.0,18,6176.0,11,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988281740044032,1597988282000000000,2020-08-21 13:38:02.000000,6176.0,6260.0,6150.0,6252.0,nan,6186.0,54411,1682932230.0,40627,6178.0,19,6176.0,11,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988282213135872,1597988282000001024,2020-08-21 13:38:02.000001,6176.0,6260.0,6150.0,6252.0,nan,6186.0,54411,1682932230.0,40627,6178.0,19,6176.0,13,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988283713562880,1597988284000000000,2020-08-21 13:38:04.000000,6176.0,6260.0,6150.0,6252.0,nan,6186.0,54411,1682932230.0,40627,6178.0,19,6176.0,15,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988284228242944,1597988284000001024,2020-08-21 13:38:04.000001,6176.0,6260.0,6150.0,6252.0,nan,6186.0,54411,1682932230.0,40627,6178.0,19,6176.0,25,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988285224300032,1597988285000001024,2020-08-21 13:38:05.000001,6176.0,6260.0,6150.0,6252.0,nan,6186.0,54411,1682932230.0,40627,6178.0,20,6176.0,25,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988287738340096,1597988288000000000,2020-08-21 13:38:08.000000,6178.0,6260.0,6150.0,6252.0,nan,6186.0,54412,1682963160.0,40626,6178.0,19,6176.0,25,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988288231965952,1597988288000001024,2020-08-21 13:38:08.000001,6178.0,6260.0,6150.0,6252.0,nan,6186.0,54412,1682963160.0,40626,6178.0,16,6176.0,25,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988288741920000,1597988289000000000,2020-08-21 13:38:09.000000,6178.0,6260.0,6150.0,6252.0,nan,6186.0,54412,1682963160.0,40626,6178.0,18,6176.0,25,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988290239460096,1597988290000001024,2020-08-21 13:38:10.000001,6178.0,6260.0,6150.0,6252.0,nan,6186.0,54413,1682994090.0,40626,6178.0,17,6176.0,25,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988295237982976,1597988295000001024,2020-08-21 13:38:15.000001,6178.0,6260.0,6150.0,6252.0,nan,6186.0,54413,1682994090.0,40626,6178.0,17,6176.0,23,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988295739380992,1597988296000000000,2020-08-21 13:38:16.000000,6178.0,6260.0,6150.0,6252.0,nan,6186.0,54413,1682994090.0,40626,6178.0,17,6176.0,22,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988299734050048,1597988300000000000,2020-08-21 13:38:20.000000,6178.0,6260.0,6150.0,6252.0,nan,6186.0,54413,1682994090.0,40626,6178.0,20,6176.0,22,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
