local_nano_time,quote_nano_time,datetime,last_price,highest,lowest,open,close,average,volume,amount,open_interest,ask_price1,ask_volume1,bid_price1,bid_volume1,ask_price2,ask_volume2,bid_price2,bid_volume2,ask_price3,ask_volume3,bid_price3,bid_volume3,ask_price4,ask_volume4,bid_price4,bid_volume4,ask_price5,ask_volume5,bid_price5,bid_volume5
1597988226694938112,1597988227000000000,2020-08-21 13:37:07.000000,5042.0,5057.0,5009.0,5051.0,nan,5032.0,409922,20627275040.0,515422,5043.0,122,5042.0,82,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988227200712960,1597988227000001024,2020-08-21 13:37:07.000001,5042.0,5057.0,5009.0,5051.0,nan,5032.0,409922,20627275040.0,515422,5043.0,122,5042.0,85,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988227699650048,1597988228000000000,2020-08-21 13:37:08.000000,5042.0,5057.0,5009.0,5051.0,nan,5032.0,409922,20627275040.0,515422,5043.0,122,5042.0,100,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988228201200896,1597988228000001024,2020-08-21 13:37:08.000001,5043.0,5057.0,5009.0,5051.0,nan,5032.0,409923,20627325360.0,515423,5043.0,121,5042.0,101,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988228698938880,1597988229000000000,2020-08-21 13:37:09.000000,5043.0,5057.0,5009.0,5051.0,nan,5032.0,409923,20627325360.0,515423,5043.0,121,5042.0,108,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988229201068032,1597988229000001024,2020-08-21 13:37:09.000001,5043.0,5057.0,5009.0,5051.0,nan,5032.0,409974,20629891680.0,515446,5043.0,76,5042.0,107,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988229706710016,1597988230000000000,2020-08-21 13:37:10.000000,5043.0,5057.0,5009.0,5051.0,nan,5032.0,410054,20633917280.0,515490,5044.0,162,5043.0,25,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988230239377920,1597988230000001024,2020-08-21 13:37:10.000001,5044.0,5057.0,5009.0,5051.0,nan,5032.0,410060,20634219200.0,515487,5044.0,153,5043.0,242,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988230709106944,1597988231000000000,2020-08-21 13:37:11.000000,5044.0,5057.0,5009.0,5051.0,nan,5032.0,410062,20634319840.0,515486,5044.0,150,5043.0,248,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988231203252992,1597988231000001024,2020-08-21 13:37:11.000001,5044.0,5057.0,5009.0,5051.0,nan,5032.0,410067,20634571440.0,515488,5044.0,145,5043.0,251,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988231710099968,1597988232000000000,2020-08-21 13:37:12.000000,5044.0,5057.0,5009.0,5051.0,nan,5032.0,410212,20641867840.0,515511,5045.0,112,5044.0,32,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988232211334912,1597988232000001024,2020-08-21 13:37:12.000001,5044.0,5057.0,5009.0,5051.0,nan,5032.0,410213,20641918160.0,515511,5045.0,108,5044.0,63,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988232702640128,1597988233000000000,2020-08-21 13:37:13.000000,5044.0,5057.0,5009.0,5051.0,nan,5032.0,410223,20642421360.0,515521,5045.0,109,5044.0,57,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988233201085952,1597988233000001024,2020-08-21 13:37:13.000001,5043.0,5057.0,5009.0,5051.0,nan,5032.0,410284,20645490880.0,515555,5044.0,40,5043.0,271,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988233708411904,1597988234000000000,2020-08-21 13:37:14.000000,5044.0,5057.0,5009.0,5051.0,nan,5032.0,410286,20645591520.0,515555,5044.0,48,5043.0,275,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988234200870912,1597988234000001024,2020-08-21 13:37:14.000001,5044.0,5057.0,5009.0,5051.0,nan,5032.0,410310,20646799200.0,515545,5044.0,24,5043.0,279,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988234707629056,1597988235000000000,2020-08-21 13:37:15.000000,5044.0,5057.0,5009.0,5051.0,nan,5032.0,410330,20647805600.0,515546,5044.0,39,5043.0,280,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988235196442112,1597988235000001024,2020-08-21 13:37:15.000001,5043.0,5057.0,5009.0,5051.0,nan,5032.0,410364,20649516480.0,515512,5044.0,10,5043.0,281,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988235857317888,1597988236000000000,2020-08-21 13:37:16.000000,5044.0,5057.0,5009.0,5051.0,nan,5032.0,410377,20650170640.0,515517,5045.0,115,5044.0,1,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988236235738112,1597988236000001024,2020-08-21 13:37:16.000001,5044.0,5057.0,5009.0,5051.0,nan,5032.0,410388,20650724160.0,515518,5045.0,117,5043.0,286,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988236717003008,1597988237000000000,2020-08-21 13:37:17.000000,5044.0,5057.0,5009.0,5051.0,nan,5032.0,410400,20651328000.0,515511,5044.0,127,5043.0,282,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
