local_nano_time,quote_nano_time,datetime,last_price,highest,lowest,open,close,average,volume,amount,open_interest,ask_price1,ask_volume1,bid_price1,bid_volume1,ask_price2,ask_volume2,bid_price2,bid_volume2,ask_price3,ask_volume3,bid_price3,bid_volume3,ask_price4,ask_volume4,bid_price4,bid_volume4,ask_price5,ask_volume5,bid_price5,bid_volume5
1597988229737275904,1597988230000000000,2020-08-21 13:37:10.000000,3732.0,3750.0,3716.0,3728.0,nan,3730.0,451989,8429594850.0,1262353,3732.0,677,3730.0,932,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988230231681024,1597988230000001024,2020-08-21 13:37:10.000001,3730.0,3750.0,3716.0,3728.0,nan,3730.0,451993,8429669450.0,1262355,3732.0,677,3730.0,929,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988230716323072,1597988231000000000,2020-08-21 13:37:11.000000,3730.0,3750.0,3716.0,3728.0,nan,3730.0,451993,8429669450.0,1262355,3732.0,684,3730.0,929,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988231223237120,1597988231000001024,2020-08-21 13:37:11.000001,3730.0,3750.0,3716.0,3728.0,nan,3730.0,451993,8429669450.0,1262355,3732.0,684,3730.0,932,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988231721057024,1597988232000000000,2020-08-21 13:37:12.000000,3730.0,3750.0,3716.0,3728.0,nan,3730.0,451993,8429669450.0,1262355,3732.0,685,3730.0,932,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988232223776000,1597988232000001024,2020-08-21 13:37:12.000001,3732.0,3750.0,3716.0,3728.0,nan,3730.0,451995,8429706750.0,1262356,3732.0,692,3730.0,913,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988232718589952,1597988233000000000,2020-08-21 13:37:13.000000,3732.0,3750.0,3716.0,3728.0,nan,3730.0,451995,8429706750.0,1262356,3732.0,702,3730.0,954,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988233201241088,1597988233000001024,2020-08-21 13:37:13.000001,3730.0,3750.0,3716.0,3728.0,nan,3730.0,451997,8429744050.0,1262356,3732.0,711,3730.0,953,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988234722696960,1597988235000000000,2020-08-21 13:37:15.000000,3730.0,3750.0,3716.0,3728.0,nan,3730.0,451997,8429744050.0,1262356,3732.0,714,3730.0,954,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988235214646016,1597988235000001024,2020-08-21 13:37:15.000001,3730.0,3750.0,3716.0,3728.0,nan,3730.0,451999,8429781350.0,1262356,3732.0,716,3730.0,952,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988235739429888,1597988236000000000,2020-08-21 13:37:16.000000,3730.0,3750.0,3716.0,3728.0,nan,3730.0,451999,8429781350.0,1262356,3732.0,722,3730.0,952,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988236717065984,1597988237000000000,2020-08-21 13:37:17.000000,3730.0,3750.0,3716.0,3728.0,nan,3730.0,451999,8429781350.0,1262356,3732.0,731,3730.0,952,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988237221925120,1597988237000001024,2020-08-21 13:37:17.000001,3732.0,3750.0,3716.0,3728.0,nan,3730.0,452001,8429818650.0,1262358,3732.0,729,3730.0,952,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988237726009088,1597988238000000000,2020-08-21 13:37:18.000000,3732.0,3750.0,3716.0,3728.0,nan,3730.0,452001,8429818650.0,1262358,3732.0,744,3730.0,952,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988238235332096,1597988238000001024,2020-08-21 13:37:18.000001,3732.0,3750.0,3716.0,3728.0,nan,3730.0,452001,8429818650.0,1262358,3732.0,744,3730.0,953,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988238734280960,1597988239000000000,2020-08-21 13:37:19.000000,3732.0,3750.0,3716.0,3728.0,nan,3730.0,452005,8429893250.0,1262360,3732.0,744,3730.0,956,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988239197369088,1597988239000001024,2020-08-21 13:37:19.000001,3732.0,3750.0,3716.0,3728.0,nan,3730.0,452006,8429911900.0,1262361,3732.0,786,3730.0,956,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988239718907904,1597988240000000000,2020-08-21 13:37:20.000000,3732.0,3750.0,3716.0,3728.0,nan,3730.0,452007,8429930550.0,1262362,3732.0,785,3730.0,965,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988240255764992,1597988240000001024,2020-08-21 13:37:20.000001,3732.0,3750.0,3716.0,3728.0,nan,3730.0,452008,8429949200.0,1262362,3732.0,788,3730.0,966,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988240715464960,1597988241000000000,2020-08-21 13:37:21.000000,3732.0,3750.0,3716.0,3728.0,nan,3730.0,452008,8429949200.0,1262362,3732.0,789,3730.0,986,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988241226710016,1597988241000001024,2020-08-21 13:37:21.000001,3732.0,3750.0,3716.0,3728.0,nan,3730.0,452008,8429949200.0,1262362,3732.0,811,3730.0,986,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988242207147008,1597988242000001024,2020-08-21 13:37:22.000001,3732.0,3750.0,3716.0,3728.0,nan,3730.0,452008,8429949200.0,1262362,3732.0,812,3730.0,986,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988242728732928,1597988243000000000,2020-08-21 13:37:23.000000,3732.0,3750.0,3716.0,3728.0,nan,3730.0,452009,8429967850.0,1262363,3732.0,811,3730.0,986,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988243231250944,1597988243000001024,2020-08-21 13:37:23.000001,3732.0,3750.0,3716.0,3728.0,nan,3730.0,452009,8429967850.0,1262363,3732.0,811,3730.0,987,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988243713340928,1597988244000000000,2020-08-21 13:37:24.000000,3732.0,3750.0,3716.0,3728.0,nan,3730.0,452009,8429967850.0,1262363,3732.0,811,3730.0,1001,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988244208960000,1597988244000001024,2020-08-21 13:37:24.000001,3732.0,3750.0,3716.0,3728.0,nan,3730.0,452013,8430042450.0,1262367,3732.0,805,3730.0,1001,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988244730639872,1597988245000000000,2020-08-21 13:37:25.000000,3730.0,3750.0,3716.0,3728.0,nan,3730.0,452015,8430079750.0,1262369,3732.0,803,3730.0,999,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988245238172928,1597988245000001024,2020-08-21 13:37:25.000001,3732.0,3750.0,3716.0,3728.0,nan,3730.0,452016,8430098400.0,1262370,3732.0,802,3730.0,999,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988245720096000,1597988246000000000,2020-08-21 13:37:26.000000,3732.0,3750.0,3716.0,3728.0,nan,3730.0,452018,8430135700.0,1262372,3732.0,803,3730.0,1007,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988246258871040,1597988246000001024,2020-08-21 13:37:26.000001,3732.0,3750.0,3716.0,3728.0,nan,3730.0,452019,8430154350.0,1262373,3732.0,813,3730.0,1008,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988246746619904,1597988247000000000,2020-08-21 13:37:27.000000,3732.0,3750.0,3716.0,3728.0,nan,3730.0,452019,8430154350.0,1262373,3732.0,823,3730.0,1008,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988247221240064,1597988247000001024,2020-08-21 13:37:27.000001,3730.0,3750.0,3716.0,3728.0,nan,3730.0,452020,8430173000.0,1262374,3732.0,823,3730.0,1007,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988247728463104,1597988248000000000,2020-08-21 13:37:28.000000,3730.0,3750.0,3716.0,3728.0,nan,3730.0,452020,8430173000.0,1262374,3732.0,839,3730.0,1007,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988248221972992,1597988248000001024,2020-08-21 13:37:28.000001,3730.0,3750.0,3716.0,3728.0,nan,3730.0,452028,8430322200.0,1262376,3732.0,833,3730.0,999,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988248719738880,1597988249000000000,2020-08-21 13:37:29.000000,3730.0,3750.0,3716.0,3728.0,nan,3730.0,452029,8430340850.0,1262377,3732.0,833,3730.0,999,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988249228481024,1597988249000001024,2020-08-21 13:37:29.000001,3732.0,3750.0,3716.0,3728.0,nan,3730.0,452031,8430378150.0,1262379,3732.0,831,3730.0,999,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988249727399936,1597988250000000000,2020-08-21 13:37:30.000000,3732.0,3750.0,3716.0,3728.0,nan,3730.0,452039,8430527350.0,1262385,3732.0,824,3730.0,998,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988250243056896,1597988250000001024,2020-08-21 13:37:30.000001,3732.0,3750.0,3716.0,3728.0,nan,3730.0,452039,8430527350.0,1262385,3732.0,825,3730.0,1198,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988250736647936,1597988251000000000,2020-08-21 13:37:31.000000,3732.0,3750.0,3716.0,3728.0,nan,3730.0,452039,8430527350.0,1262385,3732.0,819,3730.0,1203,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988251210784000,1597988251000001024,2020-08-21 13:37:31.000001,3730.0,3750.0,3716.0,3728.0,nan,3730.0,452040,8430546000.0,1262386,3732.0,818,3730.0,1202,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988251735299072,1597988252000000000,2020-08-21 13:37:32.000000,3730.0,3750.0,3716.0,3728.0,nan,3730.0,452041,8430564650.0,1262387,3732.0,832,3730.0,1203,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988252227450880,1597988252000001024,2020-08-21 13:37:32.000001,3730.0,3750.0,3716.0,3728.0,nan,3730.0,452041,8430564650.0,1262387,3732.0,834,3730.0,1207,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988252733825024,1597988253000000000,2020-08-21 13:37:33.000000,3730.0,3750.0,3716.0,3728.0,nan,3730.0,452041,8430564650.0,1262387,3732.0,831,3730.0,1208,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988253239282944,1597988253000001024,2020-08-21 13:37:33.000001,3730.0,3750.0,3716.0,3728.0,nan,3730.0,452041,8430564650.0,1262387,3732.0,831,3730.0,1218,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988253726562048,1597988254000000000,2020-08-21 13:37:34.000000,3730.0,3750.0,3716.0,3728.0,nan,3730.0,452042,8430583300.0,1262388,3732.0,832,3730.0,1216,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988254213620992,1597988254000001024,2020-08-21 13:37:34.000001,3732.0,3750.0,3716.0,3728.0,nan,3730.0,452047,8430676550.0,1262393,3732.0,829,3730.0,1216,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988254750704128,1597988255000000000,2020-08-21 13:37:35.000000,3732.0,3750.0,3716.0,3728.0,nan,3730.0,452047,8430676550.0,1262393,3732.0,917,3730.0,1220,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988255219902976,1597988255000001024,2020-08-21 13:37:35.000001,3732.0,3750.0,3716.0,3728.0,nan,3730.0,452051,8430751150.0,1262397,3732.0,914,3730.0,1220,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988255726940928,1597988256000000000,2020-08-21 13:37:36.000000,3732.0,3750.0,3716.0,3728.0,nan,3730.0,452051,8430751150.0,1262397,3732.0,911,3730.0,1222,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988256224773888,1597988256000001024,2020-08-21 13:37:36.000001,3730.0,3750.0,3716.0,3728.0,nan,3730.0,452054,8430807100.0,1262400,3732.0,907,3730.0,1221,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988256738755072,1597988257000000000,2020-08-21 13:37:37.000000,3730.0,3750.0,3716.0,3728.0,nan,3730.0,452054,8430807100.0,1262400,3732.0,907,3730.0,1231,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988257219557888,1597988257000001024,2020-08-21 13:37:37.000001,3730.0,3750.0,3716.0,3728.0,nan,3730.0,452054,8430807100.0,1262400,3732.0,912,3730.0,1231,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988257728328960,1597988258000000000,2020-08-21 13:37:38.000000,3732.0,3750.0,3716.0,3728.0,nan,3730.0,452057,8430863050.0,1262403,3732.0,906,3730.0,1231,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988258225044992,1597988258000001024,2020-08-21 13:37:38.000001,3732.0,3750.0,3716.0,3728.0,nan,3730.0,452058,8430881700.0,1262404,3732.0,926,3730.0,1254,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988258733693952,1597988259000000000,2020-08-21 13:37:39.000000,3730.0,3750.0,3716.0,3728.0,nan,3730.0,452059,8430900350.0,1262405,3732.0,926,3730.0,1253,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988259746772992,1597988260000000000,2020-08-21 13:37:40.000000,3730.0,3750.0,3716.0,3728.0,nan,3730.0,452059,8430900350.0,1262405,3732.0,928,3730.0,1253,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988260228118016,1597988260000001024,2020-08-21 13:37:40.000001,3732.0,3750.0,3716.0,3728.0,nan,3730.0,452099,8431646350.0,1262445,3732.0,934,3730.0,1244,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988260733018112,1597988261000000000,2020-08-21 13:37:41.000000,3730.0,3750.0,3716.0,3728.0,nan,3730.0,452101,8431683650.0,1262447,3732.0,933,3730.0,1243,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988261244150016,1597988261000001024,2020-08-21 13:37:41.000001,3730.0,3750.0,3716.0,3728.0,nan,3730.0,452101,8431683650.0,1262447,3732.0,934,3730.0,1243,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
