local_nano_time,quote_nano_time,datetime,last_price,highest,lowest,open,close,average,volume,amount,open_interest,ask_price1,ask_volume1,bid_price1,bid_volume1,ask_price2,ask_volume2,bid_price2,bid_volume2,ask_price3,ask_volume3,bid_price3,bid_volume3,ask_price4,ask_volume4,bid_price4,bid_volume4,ask_price5,ask_volume5,bid_price5,bid_volume5
1597988232721003008,1597988233000000000,2020-08-21 13:37:13.000000,1650.0,1674.0,1640.0,1656.0,nan,1656.0,66972,2218112640.0,50349,1650.0,57,1649.0,49,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988233203155968,1597988233000001024,2020-08-21 13:37:13.000001,1649.0,1674.0,1640.0,1656.0,nan,1656.0,66974,2218178880.0,50349,1650.0,57,1649.0,47,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988233717853952,1597988234000000000,2020-08-21 13:37:14.000000,1650.0,1674.0,1640.0,1656.0,nan,1656.0,66975,2218212000.0,50349,1650.0,56,1649.0,47,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988236236656896,1597988236000001024,2020-08-21 13:37:16.000001,1650.0,1674.0,1640.0,1656.0,nan,1656.0,66975,2218212000.0,50349,1650.0,54,1649.0,47,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988237727952896,1597988238000000000,2020-08-21 13:37:18.000000,1649.0,1674.0,1640.0,1656.0,nan,1656.0,66976,2218245120.0,50348,1650.0,53,1649.0,46,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988238246900992,1597988238000001024,2020-08-21 13:37:18.000001,1650.0,1674.0,1640.0,1656.0,nan,1656.0,66983,2218476960.0,50347,1650.0,46,1649.0,47,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988238736125952,1597988239000000000,2020-08-21 13:37:19.000000,1650.0,1674.0,1640.0,1656.0,nan,1656.0,66984,2218510080.0,50348,1650.0,47,1649.0,47,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988239720402944,1597988240000000000,2020-08-21 13:37:20.000000,1649.0,1674.0,1640.0,1656.0,nan,1656.0,66986,2218576320.0,50347,1650.0,47,1649.0,45,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988240257028096,1597988240000001024,2020-08-21 13:37:20.000001,1649.0,1674.0,1640.0,1656.0,nan,1656.0,66986,2218576320.0,50347,1650.0,50,1649.0,45,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988240716730880,1597988241000000000,2020-08-21 13:37:21.000000,1649.0,1674.0,1640.0,1656.0,nan,1656.0,66986,2218576320.0,50347,1650.0,50,1649.0,39,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988241227837952,1597988241000001024,2020-08-21 13:37:21.000001,1649.0,1674.0,1640.0,1656.0,nan,1656.0,66986,2218576320.0,50347,1650.0,51,1649.0,39,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988242729638912,1597988243000000000,2020-08-21 13:37:23.000000,1650.0,1674.0,1640.0,1656.0,nan,1656.0,66987,2218609440.0,50347,1650.0,50,1649.0,39,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988244736712960,1597988245000000000,2020-08-21 13:37:25.000000,1649.0,1674.0,1640.0,1656.0,nan,1656.0,66988,2218642560.0,50347,1650.0,50,1649.0,38,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988245242635008,1597988245000001024,2020-08-21 13:37:25.000001,1650.0,1674.0,1640.0,1656.0,nan,1656.0,66989,2218675680.0,50348,1650.0,49,1649.0,48,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988246263275008,1597988246000001024,2020-08-21 13:37:26.000001,1650.0,1674.0,1640.0,1656.0,nan,1656.0,66989,2218675680.0,50348,1650.0,51,1649.0,48,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988246752226048,1597988247000000000,2020-08-21 13:37:27.000000,1650.0,1674.0,1640.0,1656.0,nan,1656.0,66992,2218775040.0,50348,1650.0,48,1649.0,48,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988247224066048,1597988247000001024,2020-08-21 13:37:27.000001,1649.0,1674.0,1640.0,1656.0,nan,1656.0,66993,2218808160.0,50348,1650.0,48,1649.0,47,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988247730430976,1597988248000000000,2020-08-21 13:37:28.000000,1649.0,1674.0,1640.0,1656.0,nan,1656.0,66993,2218808160.0,50348,1650.0,53,1649.0,47,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988248237004032,1597988248000001024,2020-08-21 13:37:28.000001,1650.0,1674.0,1640.0,1656.0,nan,1656.0,66994,2218841280.0,50348,1650.0,52,1649.0,47,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988250741328896,1597988251000000000,2020-08-21 13:37:31.000000,1650.0,1674.0,1640.0,1656.0,nan,1656.0,67031,2220066720.0,50358,1650.0,15,1649.0,47,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988251212313088,1597988251000001024,2020-08-21 13:37:31.000001,1649.0,1674.0,1640.0,1656.0,nan,1656.0,67033,2220132960.0,50359,1650.0,14,1649.0,46,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988251739170048,1597988252000000000,2020-08-21 13:37:32.000000,1650.0,1674.0,1640.0,1656.0,nan,1656.0,67034,2220166080.0,50359,1650.0,13,1649.0,46,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988252229336064,1597988252000001024,2020-08-21 13:37:32.000001,1650.0,1674.0,1640.0,1656.0,nan,1656.0,67034,2220166080.0,50359,1650.0,14,1649.0,46,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988256739981056,1597988257000000000,2020-08-21 13:37:37.000000,1649.0,1674.0,1640.0,1656.0,nan,1656.0,67036,2220232320.0,50359,1650.0,14,1649.0,45,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988258227194880,1597988258000001024,2020-08-21 13:37:38.000001,1649.0,1674.0,1640.0,1656.0,nan,1656.0,67036,2220232320.0,50359,1650.0,15,1649.0,45,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988258735471104,1597988259000000000,2020-08-21 13:37:39.000000,1650.0,1674.0,1640.0,1656.0,nan,1656.0,67050,2220696000.0,50364,1650.0,1,1649.0,45,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988259234331904,1597988259000001024,2020-08-21 13:37:39.000001,1650.0,1674.0,1640.0,1656.0,nan,1656.0,67053,2220795360.0,50361,1651.0,110,1650.0,15,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988259750817024,1597988260000000000,2020-08-21 13:37:40.000000,1651.0,1674.0,1640.0,1656.0,nan,1656.0,67058,2220960960.0,50361,1651.0,105,1650.0,16,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988260735906048,1597988261000000000,2020-08-21 13:37:41.000000,1651.0,1674.0,1640.0,1656.0,nan,1656.0,67058,2220960960.0,50361,1651.0,105,1650.0,18,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988261249711104,1597988261000001024,2020-08-21 13:37:41.000001,1651.0,1674.0,1640.0,1656.0,nan,1656.0,67058,2220960960.0,50361,1651.0,105,1650.0,19,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988261723906048,1597988262000000000,2020-08-21 13:37:42.000000,1651.0,1674.0,1640.0,1656.0,nan,1656.0,67058,2220960960.0,50361,1651.0,105,1650.0,20,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988263214140928,1597988263000001024,2020-08-21 13:37:43.000001,1651.0,1674.0,1640.0,1656.0,nan,1656.0,67058,2220960960.0,50361,1651.0,105,1650.0,21,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988263725410048,1597988264000000000,2020-08-21 13:37:44.000000,1651.0,1674.0,1640.0,1656.0,nan,1656.0,67058,2220960960.0,50361,1651.0,105,1650.0,26,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988264248090880,1597988264000001024,2020-08-21 13:37:44.000001,1651.0,1674.0,1640.0,1656.0,nan,1656.0,67058,2220960960.0,50361,1651.0,105,1650.0,27,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988264728819968,1597988265000000000,2020-08-21 13:37:45.000000,1651.0,1674.0,1640.0,1656.0,nan,1656.0,67058,2220960960.0,50361,1651.0,105,1650.0,28,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988265244638976,1597988265000001024,2020-08-21 13:37:45.000001,1651.0,1674.0,1640.0,1656.0,nan,1656.0,67063,2221126560.0,50362,1651.0,101,1650.0,28,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988265741775104,1597988266000000000,2020-08-21 13:37:46.000000,1651.0,1674.0,1640.0,1656.0,nan,1656.0,67068,2221292160.0,50365,1651.0,96,1650.0,28,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988266214650112,1597988266000001024,2020-08-21 13:37:46.000001,1651.0,1674.0,1640.0,1656.0,nan,1656.0,67068,2221292160.0,50365,1651.0,96,1650.0,29,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988266737927936,1597988267000000000,2020-08-21 13:37:47.000000,1651.0,1674.0,1640.0,1656.0,nan,1656.0,67069,2221325280.0,50365,1651.0,95,1650.0,33,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988267734025984,1597988268000000000,2020-08-21 13:37:48.000000,1651.0,1674.0,1640.0,1656.0,nan,1656.0,67069,2221325280.0,50365,1651.0,95,1650.0,32,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988268228110080,1597988268000001024,2020-08-21 13:37:48.000001,1651.0,1674.0,1640.0,1656.0,nan,1656.0,67069,2221325280.0,50365,1651.0,95,1650.0,30,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988268741305088,1597988269000000000,2020-08-21 13:37:49.000000,1651.0,1674.0,1640.0,1656.0,nan,1656.0,67079,2221656480.0,50360,1651.0,90,1650.0,25,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988271231971072,1597988271000001024,2020-08-21 13:37:51.000001,1651.0,1674.0,1640.0,1656.0,nan,1656.0,67090,2222020800.0,50353,1651.0,79,1650.0,25,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988272744559104,1597988273000000000,2020-08-21 13:37:53.000000,1651.0,1674.0,1640.0,1656.0,nan,1656.0,67090,2222020800.0,50353,1651.0,79,1650.0,26,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988274743563008,1597988275000000000,2020-08-21 13:37:55.000000,1651.0,1674.0,1640.0,1656.0,nan,1656.0,67090,2222020800.0,50353,1651.0,79,1650.0,27,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988275228115968,1597988275000001024,2020-08-21 13:37:55.000001,1650.0,1674.0,1640.0,1656.0,nan,1656.0,67092,2222087040.0,50351,1651.0,79,1650.0,26,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988276257083904,1597988276000001024,2020-08-21 13:37:56.000001,1651.0,1674.0,1640.0,1656.0,nan,1656.0,67093,2222120160.0,50350,1651.0,78,1650.0,26,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988277266147072,1597988277000001024,2020-08-21 13:37:57.000001,1651.0,1674.0,1640.0,1656.0,nan,1656.0,67094,2222153280.0,50350,1651.0,77,1650.0,26,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988278231474944,1597988278000001024,2020-08-21 13:37:58.000001,1651.0,1674.0,1640.0,1656.0,nan,1656.0,67094,2222153280.0,50350,1651.0,77,1650.0,30,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988279252312064,1597988279000001024,2020-08-21 13:37:59.000001,1651.0,1674.0,1640.0,1656.0,nan,1656.0,67094,2222153280.0,50350,1651.0,77,1650.0,31,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988279741154048,1597988280000000000,2020-08-21 13:38:00.000000,1651.0,1674.0,1640.0,1656.0,nan,1656.0,67094,2222153280.0,50350,1651.0,78,1650.0,31,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988280246630912,1597988280000001024,2020-08-21 13:38:00.000001,1651.0,1674.0,1640.0,1656.0,nan,1656.0,67095,2222186400.0,50350,1651.0,85,1650.0,31,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988280740633088,1597988281000000000,2020-08-21 13:38:01.000000,1651.0,1674.0,1640.0,1656.0,nan,1656.0,67095,2222186400.0,50350,1651.0,60,1650.0,31,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988281221230080,1597988281000001024,2020-08-21 13:38:01.000001,1651.0,1674.0,1640.0,1656.0,nan,1656.0,67115,2222848800.0,50341,1651.0,40,1650.0,31,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988281745434880,1597988282000000000,2020-08-21 13:38:02.000000,1651.0,1674.0,1640.0,1656.0,nan,1656.0,67115,2222848800.0,50341,1651.0,40,1650.0,39,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988282233677056,1597988282000001024,2020-08-21 13:38:02.000001,1651.0,1674.0,1640.0,1656.0,nan,1656.0,67119,2222981280.0,50344,1651.0,36,1650.0,39,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988283286100992,1597988283000001024,2020-08-21 13:38:03.000001,1651.0,1674.0,1640.0,1656.0,nan,1656.0,67140,2223676800.0,50354,1651.0,40,1650.0,19,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988283755817984,1597988284000000000,2020-08-21 13:38:04.000000,1651.0,1674.0,1640.0,1656.0,nan,1656.0,67140,2223676800.0,50354,1651.0,40,1650.0,27,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988284228198912,1597988284000001024,2020-08-21 13:38:04.000001,1651.0,1674.0,1640.0,1656.0,nan,1656.0,67140,2223676800.0,50354,1651.0,41,1650.0,27,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988284738149888,1597988285000000000,2020-08-21 13:38:05.000000,1651.0,1674.0,1640.0,1656.0,nan,1656.0,67140,2223676800.0,50354,1651.0,41,1650.0,22,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988285745065984,1597988286000000000,2020-08-21 13:38:06.000000,1651.0,1674.0,1640.0,1656.0,nan,1656.0,67142,2223743040.0,50352,1651.0,40,1650.0,21,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988287218955008,1597988287000001024,2020-08-21 13:38:07.000001,1651.0,1674.0,1640.0,1656.0,nan,1656.0,67142,2223743040.0,50352,1651.0,40,1650.0,23,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988287749922048,1597988288000000000,2020-08-21 13:38:08.000000,1651.0,1674.0,1640.0,1656.0,nan,1656.0,67150,2224008000.0,50344,1651.0,32,1650.0,23,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
