local_nano_time,quote_nano_time,datetime,last_price,highest,lowest,open,close,average,volume,amount,open_interest,ask_price1,ask_volume1,bid_price1,bid_volume1,ask_price2,ask_volume2,bid_price2,bid_volume2,ask_price3,ask_volume3,bid_price3,bid_volume3,ask_price4,ask_volume4,bid_price4,bid_volume4,ask_price5,ask_volume5,bid_price5,bid_volume5
1597988227201510912,1597988227000001024,2020-08-21 13:37:07.000001,1650.0,1674.0,1640.0,1656.0,nan,1656.0,66968,2217980160.0,50350,1650.0,66,1649.0,43,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988227700865024,1597988228000000000,2020-08-21 13:37:08.000000,1649.0,1674.0,1640.0,1656.0,nan,1656.0,66969,2218013280.0,50351,1650.0,66,1649.0,48,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988228203192064,1597988228000001024,2020-08-21 13:37:08.000001,1650.0,1674.0,1640.0,1656.0,nan,1656.0,66971,2218079520.0,50349,1650.0,65,1649.0,49,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988232704957952,1597988233000000000,2020-08-21 13:37:13.000000,1650.0,1674.0,1640.0,1656.0,nan,1656.0,66972,2218112640.0,50349,1650.0,57,1649.0,49,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988233203439104,1597988233000001024,2020-08-21 13:37:13.000001,1649.0,1674.0,1640.0,1656.0,nan,1656.0,66974,2218178880.0,50349,1650.0,57,1649.0,47,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988233708995072,1597988234000000000,2020-08-21 13:37:14.000000,1650.0,1674.0,1640.0,1656.0,nan,1656.0,66975,2218212000.0,50349,1650.0,56,1649.0,47,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988236236663040,1597988236000001024,2020-08-21 13:37:16.000001,1650.0,1674.0,1640.0,1656.0,nan,1656.0,66975,2218212000.0,50349,1650.0,54,1649.0,47,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988237715277056,1597988238000000000,2020-08-21 13:37:18.000000,1649.0,1674.0,1640.0,1656.0,nan,1656.0,66976,2218245120.0,50348,1650.0,53,1649.0,46,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988238238555904,1597988238000001024,2020-08-21 13:37:18.000001,1650.0,1674.0,1640.0,1656.0,nan,1656.0,66983,2218476960.0,50347,1650.0,46,1649.0,47,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988238709531904,1597988239000000000,2020-08-21 13:37:19.000000,1650.0,1674.0,1640.0,1656.0,nan,1656.0,66984,2218510080.0,50348,1650.0,47,1649.0,47,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
