local_nano_time,quote_nano_time,datetime,last_price,highest,lowest,open,close,average,volume,amount,open_interest,ask_price1,ask_volume1,bid_price1,bid_volume1,ask_price2,ask_volume2,bid_price2,bid_volume2,ask_price3,ask_volume3,bid_price3,bid_volume3,ask_price4,ask_volume4,bid_price4,bid_volume4,ask_price5,ask_volume5,bid_price5,bid_volume5
1597988231722332928,1597988232000000000,2020-08-21 13:37:12.000000,566.2,569.4,565.4,568.0,nan,567.4,102194,5798487560.0,96884,566.4,116,566.2,171,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988232226166016,1597988232000001024,2020-08-21 13:37:12.000001,566.2,569.4,565.4,568.0,nan,567.4,102195,5798544300.0,96884,566.4,116,566.2,170,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988232720592896,1597988233000000000,2020-08-21 13:37:13.000000,566.4,569.4,565.4,568.0,nan,567.4,102196,5798601040.0,96883,566.4,115,566.2,170,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988233202716928,1597988233000001024,2020-08-21 13:37:13.000001,566.4,569.4,565.4,568.0,nan,567.4,102196,5798601040.0,96883,566.4,115,566.2,172,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988234724176896,1597988235000000000,2020-08-21 13:37:15.000000,566.4,569.4,565.4,568.0,nan,567.4,102232,5800643680.0,96883,566.4,89,566.2,162,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988235216633088,1597988235000001024,2020-08-21 13:37:15.000001,566.4,569.4,565.4,568.0,nan,567.4,102266,5802572840.0,96895,566.4,88,566.2,178,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988235740356096,1597988236000000000,2020-08-21 13:37:16.000000,566.4,569.4,565.4,568.0,nan,567.4,102266,5802572840.0,96895,566.4,91,566.2,181,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988237223680000,1597988237000001024,2020-08-21 13:37:17.000001,566.4,569.4,565.4,568.0,nan,567.4,102266,5802572840.0,96895,566.4,92,566.2,181,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988237726392064,1597988238000000000,2020-08-21 13:37:18.000000,566.4,569.4,565.4,568.0,nan,567.4,102266,5802572840.0,96895,566.4,107,566.2,192,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988239198774016,1597988239000001024,2020-08-21 13:37:19.000001,566.4,569.4,565.4,568.0,nan,567.4,102266,5802572840.0,96895,566.4,107,566.2,193,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988240716087040,1597988241000000000,2020-08-21 13:37:21.000000,566.4,569.4,565.4,568.0,nan,567.4,102273,5802970020.0,96894,566.4,114,566.2,187,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988241227131904,1597988241000001024,2020-08-21 13:37:21.000001,566.4,569.4,565.4,568.0,nan,567.4,102273,5802970020.0,96894,566.4,115,566.2,193,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988241725277952,1597988242000000000,2020-08-21 13:37:22.000000,566.4,569.4,565.4,568.0,nan,567.4,102273,5802970020.0,96894,566.4,114,566.2,193,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988242208872960,1597988242000001024,2020-08-21 13:37:22.000001,566.4,569.4,565.4,568.0,nan,567.4,102273,5802970020.0,96894,566.4,123,566.2,193,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988244734185984,1597988245000000000,2020-08-21 13:37:25.000000,566.2,569.4,565.4,568.0,nan,567.4,102280,5803367200.0,96894,566.4,123,566.2,186,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988245240695040,1597988245000001024,2020-08-21 13:37:25.000001,566.2,569.4,565.4,568.0,nan,567.4,102280,5803367200.0,96894,566.4,117,566.2,177,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988246261082112,1597988246000001024,2020-08-21 13:37:26.000001,566.2,569.4,565.4,568.0,nan,567.4,102280,5803367200.0,96894,566.4,127,566.2,187,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988250244706048,1597988250000001024,2020-08-21 13:37:30.000001,566.2,569.4,565.4,568.0,nan,567.4,102280,5803367200.0,96894,566.4,117,566.2,187,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988251211269888,1597988251000001024,2020-08-21 13:37:31.000001,566.2,569.4,565.4,568.0,nan,567.4,102280,5803367200.0,96894,566.4,117,566.2,187,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988251735789056,1597988252000000000,2020-08-21 13:37:32.000000,566.2,569.4,565.4,568.0,nan,567.4,102280,5803367200.0,96894,566.4,124,566.2,187,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988255221693952,1597988255000001024,2020-08-21 13:37:35.000001,566.2,569.4,565.4,568.0,nan,567.4,102281,5803423940.0,96894,566.4,124,566.2,186,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988255727966976,1597988256000000000,2020-08-21 13:37:36.000000,566.2,569.4,565.4,568.0,nan,567.4,102281,5803423940.0,96894,566.4,124,566.2,198,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988257220289024,1597988257000001024,2020-08-21 13:37:37.000001,566.2,569.4,565.4,568.0,nan,567.4,102281,5803423940.0,96894,566.4,124,566.2,199,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988259749910016,1597988260000000000,2020-08-21 13:37:40.000000,566.4,569.4,565.4,568.0,nan,567.4,102331,5806260940.0,96871,566.4,66,566.2,199,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
