local_nano_time,quote_nano_time,datetime,last_price,highest,lowest,open,close,average,volume,amount,open_interest,ask_price1,ask_volume1,bid_price1,bid_volume1,ask_price2,ask_volume2,bid_price2,bid_volume2,ask_price3,ask_volume3,bid_price3,bid_volume3,ask_price4,ask_volume4,bid_price4,bid_volume4,ask_price5,ask_volume5,bid_price5,bid_volume5
1597988226336532992,1597988226875000064,2020-08-21 13:37:06.875000,2296.0,2318.0,2284.0,2310.0,nan,2297.0,498891,11463435960.0,1156860,2296.0,705,2295.0,2366,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988226833460992,1597988227382999808,2020-08-21 13:37:07.383000,2296.0,2318.0,2284.0,2310.0,nan,2297.0,498891,11463435960.0,1156860,2296.0,455,2295.0,2366,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988227335660032,1597988227920999936,2020-08-21 13:37:07.921000,2296.0,2318.0,2284.0,2310.0,nan,2297.0,498893,11463481880.0,1156860,2296.0,453,2295.0,2364,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988228331710976,1597988228901999872,2020-08-21 13:37:08.902000,2296.0,2318.0,2284.0,2310.0,nan,2297.0,498894,11463504840.0,1156860,2296.0,452,2295.0,2364,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988229329947904,1597988229887000064,2020-08-21 13:37:09.887000,2296.0,2318.0,2284.0,2310.0,nan,2297.0,498897,11463573720.0,1156858,2296.0,450,2295.0,2366,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988229834968064,1597988230432000000,2020-08-21 13:37:10.432000,2295.0,2318.0,2284.0,2310.0,nan,2297.0,498905,11463757320.0,1156858,2296.0,751,2295.0,2365,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988230334465024,1597988230868999936,2020-08-21 13:37:10.869000,2295.0,2318.0,2284.0,2310.0,nan,2297.0,498905,11463757320.0,1156858,2296.0,751,2295.0,2405,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988231831984896,1597988232423000064,2020-08-21 13:37:12.423000,2296.0,2318.0,2284.0,2310.0,nan,2297.0,498906,11463780280.0,1156857,2296.0,751,2295.0,2405,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988233334937088,1597988233912000000,2020-08-21 13:37:13.912000,2296.0,2318.0,2284.0,2310.0,nan,2297.0,498906,11463780280.0,1156857,2296.0,751,2295.0,2406,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988234331693056,1597988234932000000,2020-08-21 13:37:14.932000,2296.0,2318.0,2284.0,2310.0,nan,2297.0,498906,11463780280.0,1156857,2296.0,751,2295.0,2407,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988234841618944,1597988235413000192,2020-08-21 13:37:15.413000,2296.0,2318.0,2284.0,2310.0,nan,2297.0,498920,11464101720.0,1156856,2296.0,738,2295.0,2395,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988235338667008,1597988235884999936,2020-08-21 13:37:15.885000,2296.0,2318.0,2284.0,2310.0,nan,2297.0,498921,11464124680.0,1156856,2296.0,738,2295.0,2395,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988235939019008,1597988236432000000,2020-08-21 13:37:16.432000,2296.0,2318.0,2284.0,2310.0,nan,2297.0,498923,11464170600.0,1156856,2296.0,736,2295.0,2395,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988236834548992,1597988237412000000,2020-08-21 13:37:17.412000,2296.0,2318.0,2284.0,2310.0,nan,2297.0,498924,11464193560.0,1156856,2296.0,735,2295.0,2395,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988237331619072,1597988237934000128,2020-08-21 13:37:17.934000,2296.0,2318.0,2284.0,2310.0,nan,2297.0,498925,11464216520.0,1156856,2296.0,734,2295.0,2399,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988238339328000,1597988238932000000,2020-08-21 13:37:18.932000,2296.0,2318.0,2284.0,2310.0,nan,2297.0,498925,11464216520.0,1156856,2296.0,740,2295.0,2399,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988239334806016,1597988239932000000,2020-08-21 13:37:19.932000,2296.0,2318.0,2284.0,2310.0,nan,2297.0,498925,11464216520.0,1156856,2296.0,743,2295.0,2399,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988239832344064,1597988240324000000,2020-08-21 13:37:20.324000,2295.0,2318.0,2284.0,2310.0,nan,2297.0,498926,11464239470.0,1156856,2296.0,743,2295.0,2398,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988240836209920,1597988241423000064,2020-08-21 13:37:21.423000,2295.0,2318.0,2284.0,2310.0,nan,2297.0,498941,11464583720.0,1156856,2296.0,743,2295.0,2383,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988241333978880,1597988241901999872,2020-08-21 13:37:21.902000,2295.0,2318.0,2284.0,2310.0,nan,2297.0,498945,11464675520.0,1156856,2296.0,744,2295.0,2379,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988241836157952,1597988242423000064,2020-08-21 13:37:22.423000,2295.0,2318.0,2284.0,2310.0,nan,2297.0,498948,11464744390.0,1156855,2296.0,742,2295.0,2378,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988242338696960,1597988242935000064,2020-08-21 13:37:22.935000,2296.0,2318.0,2284.0,2310.0,nan,2297.0,498958,11464973990.0,1156851,2296.0,782,2295.0,2378,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988242833341952,1597988243432000000,2020-08-21 13:37:23.432000,2296.0,2318.0,2284.0,2310.0,nan,2297.0,498961,11465042870.0,1156852,2296.0,779,2295.0,2378,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988243335300096,1597988243872000000,2020-08-21 13:37:23.872000,2296.0,2318.0,2284.0,2310.0,nan,2297.0,498961,11465042870.0,1156852,2296.0,779,2295.0,2371,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988243834298112,1597988244374000128,2020-08-21 13:37:24.374000,2295.0,2318.0,2284.0,2310.0,nan,2297.0,498962,11465065820.0,1156853,2296.0,779,2295.0,2377,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988244833392896,1597988245427000064,2020-08-21 13:37:25.427000,2295.0,2318.0,2284.0,2310.0,nan,2297.0,498982,11465524830.0,1156854,2296.0,781,2295.0,2358,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988245333757952,1597988245855000064,2020-08-21 13:37:25.855000,2296.0,2318.0,2284.0,2310.0,nan,2297.0,498984,11465570740.0,1156855,2296.0,780,2295.0,2359,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988245830668032,1597988246420000000,2020-08-21 13:37:26.420000,2296.0,2318.0,2284.0,2310.0,nan,2297.0,498984,11465570740.0,1156855,2296.0,780,2295.0,2360,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988246835783936,1597988247434000128,2020-08-21 13:37:27.434000,2296.0,2318.0,2284.0,2310.0,nan,2297.0,498985,11465593700.0,1156854,2296.0,779,2295.0,2360,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988247337564928,1597988247912000000,2020-08-21 13:37:27.912000,2296.0,2318.0,2284.0,2310.0,nan,2297.0,498985,11465593700.0,1156854,2296.0,779,2295.0,2372,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988248831641088,1597988249418999808,2020-08-21 13:37:29.419000,2296.0,2318.0,2284.0,2310.0,nan,2297.0,498987,11465639620.0,1156854,2296.0,777,2295.0,2372,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988249376284928,1597988249892000000,2020-08-21 13:37:29.892000,2296.0,2318.0,2284.0,2310.0,nan,2297.0,498988,11465662580.0,1156854,2296.0,776,2295.0,2372,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
