local_nano_time,quote_nano_time,datetime,last_price,highest,lowest,open,close,average,volume,amount,open_interest,ask_price1,ask_volume1,bid_price1,bid_volume1,ask_price2,ask_volume2,bid_price2,bid_volume2,ask_price3,ask_volume3,bid_price3,bid_volume3,ask_price4,ask_volume4,bid_price4,bid_volume4,ask_price5,ask_volume5,bid_price5,bid_volume5
1597988230363940096,1597988230868999936,2020-08-21 13:37:10.869000,2528.0,2558.0,2519.0,2558.0,nan,2537.0,41538,1053934260.0,17751,2528.0,208,2527.0,34,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988230826473984,1597988231411000064,2020-08-21 13:37:11.411000,2528.0,2558.0,2519.0,2558.0,nan,2537.0,41538,1053934260.0,17751,2528.0,210,2527.0,34,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988231324318976,1597988231885999872,2020-08-21 13:37:11.886000,2528.0,2558.0,2519.0,2558.0,nan,2537.0,41538,1053934260.0,17751,2528.0,245,2527.0,38,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988235338882048,1597988235884999936,2020-08-21 13:37:15.885000,2527.0,2558.0,2519.0,2558.0,nan,2537.0,41539,1053959530.0,17751,2528.0,245,2527.0,37,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988235827205888,1597988236432000000,2020-08-21 13:37:16.432000,2527.0,2558.0,2519.0,2558.0,nan,2537.0,41539,1053959530.0,17751,2528.0,245,2527.0,38,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988236328357888,1597988236882999808,2020-08-21 13:37:16.883000,2527.0,2558.0,2519.0,2558.0,nan,2537.0,41540,1053984800.0,17750,2528.0,246,2527.0,37,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988236829157120,1597988237412000000,2020-08-21 13:37:17.412000,2527.0,2558.0,2519.0,2558.0,nan,2537.0,41540,1053984800.0,17750,2528.0,246,2527.0,34,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988237323837952,1597988237934000128,2020-08-21 13:37:17.934000,2527.0,2558.0,2519.0,2558.0,nan,2537.0,41541,1054010070.0,17749,2528.0,246,2527.0,33,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988239338864896,1597988239932000000,2020-08-21 13:37:19.932000,2527.0,2558.0,2519.0,2558.0,nan,2537.0,41542,1054035340.0,17749,2528.0,246,2527.0,32,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988240326134016,1597988240916000000,2020-08-21 13:37:20.916000,2527.0,2558.0,2519.0,2558.0,nan,2537.0,41542,1054035340.0,17749,2528.0,187,2527.0,32,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988240824275968,1597988241423000064,2020-08-21 13:37:21.423000,2527.0,2558.0,2519.0,2558.0,nan,2537.0,41542,1054035340.0,17749,2528.0,201,2527.0,32,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988244825602048,1597988245427000064,2020-08-21 13:37:25.427000,2527.0,2558.0,2519.0,2558.0,nan,2537.0,41542,1054035340.0,17749,2528.0,216,2527.0,32,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988245342351872,1597988245882999808,2020-08-21 13:37:25.883000,2527.0,2558.0,2519.0,2558.0,nan,2537.0,41544,1054085880.0,17748,2528.0,216,2527.0,30,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988245824227072,1597988246420000000,2020-08-21 13:37:26.420000,2527.0,2558.0,2519.0,2558.0,nan,2537.0,41544,1054085880.0,17748,2528.0,216,2527.0,32,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988250327331072,1597988250921999872,2020-08-21 13:37:30.922000,2527.0,2558.0,2519.0,2558.0,nan,2537.0,41546,1054136420.0,17748,2528.0,216,2527.0,30,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988250826722048,1597988251436000000,2020-08-21 13:37:31.436000,2527.0,2558.0,2519.0,2558.0,nan,2537.0,41605,1055627350.0,17736,2528.0,192,2526.0,22,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988251348506880,1597988251900999936,2020-08-21 13:37:31.901000,2527.0,2558.0,2519.0,2558.0,nan,2537.0,41605,1055627350.0,17736,2528.0,192,2526.0,24,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988252827696128,1597988253405999872,2020-08-21 13:37:33.406000,2527.0,2558.0,2519.0,2558.0,nan,2537.0,41605,1055627350.0,17736,2528.0,192,2526.0,30,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988253335354112,1597988253860999936,2020-08-21 13:37:33.861000,2527.0,2558.0,2519.0,2558.0,nan,2537.0,41605,1055627350.0,17736,2528.0,192,2527.0,11,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988253844549120,1597988254438999808,2020-08-21 13:37:34.439000,2527.0,2558.0,2519.0,2558.0,nan,2537.0,41605,1055627350.0,17736,2528.0,187,2527.0,22,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988254347206912,1597988254935000064,2020-08-21 13:37:34.935000,2528.0,2558.0,2519.0,2558.0,nan,2537.0,41630,1056259350.0,17761,2528.0,165,2527.0,29,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988254857800960,1597988255433000192,2020-08-21 13:37:35.433000,2528.0,2558.0,2519.0,2558.0,nan,2537.0,41654,1056866060.0,17781,2528.0,142,2527.0,30,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988255331988992,1597988255928000000,2020-08-21 13:37:35.928000,2528.0,2558.0,2519.0,2558.0,nan,2537.0,41657,1056941900.0,17781,2528.0,139,2527.0,29,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988255834824960,1597988256426000128,2020-08-21 13:37:36.426000,2528.0,2558.0,2519.0,2558.0,nan,2537.0,41657,1056941900.0,17781,2528.0,144,2527.0,29,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988256338245120,1597988256924999936,2020-08-21 13:37:36.925000,2528.0,2558.0,2519.0,2558.0,nan,2537.0,41658,1056967180.0,17781,2528.0,143,2527.0,29,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988258337939968,1597988258935000064,2020-08-21 13:37:38.935000,2528.0,2558.0,2519.0,2558.0,nan,2537.0,41658,1056967180.0,17781,2528.0,143,2527.0,29,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988259825134080,1597988260424999936,2020-08-21 13:37:40.425000,2528.0,2558.0,2519.0,2558.0,nan,2537.0,41658,1056967180.0,17781,2528.0,143,2527.0,30,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988260826876928,1597988261434000128,2020-08-21 13:37:41.434000,2528.0,2558.0,2519.0,2558.0,nan,2537.0,41658,1056967180.0,17781,2528.0,203,2527.0,29,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
