local_nano_time,quote_nano_time,datetime,last_price,highest,lowest,open,close,average,volume,amount,open_interest,ask_price1,ask_volume1,bid_price1,bid_volume1,ask_price2,ask_volume2,bid_price2,bid_volume2,ask_price3,ask_volume3,bid_price3,bid_volume3,ask_price4,ask_volume4,bid_price4,bid_volume4,ask_price5,ask_volume5,bid_price5,bid_volume5
1597988231152094976,1597988231620999936,2020-08-21 13:37:11.621000,5264.0,5304.0,5141.0,5195.0,nan,5228.0,48009,1254993630.0,40466,5264.0,13,5263.0,1,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988233629295104,1597988234073999872,2020-08-21 13:37:14.074000,5264.0,5304.0,5141.0,5195.0,nan,5228.0,48022,1255335790.0,40465,5265.0,68,5263.0,1,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988234170042880,1597988234427000064,2020-08-21 13:37:14.427000,5263.0,5304.0,5141.0,5195.0,nan,5228.0,48023,1255362105.0,40466,5265.0,68,5262.0,1,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988235160292096,1597988235463000064,2020-08-21 13:37:15.463000,5263.0,5304.0,5141.0,5195.0,nan,5228.0,48023,1255362105.0,40466,5264.0,2,5262.0,1,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988235637306880,1597988236095000064,2020-08-21 13:37:16.095000,5264.0,5304.0,5141.0,5195.0,nan,5228.0,48025,1255414745.0,40466,5265.0,70,5262.0,2,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988236626350080,1597988237207000064,2020-08-21 13:37:17.207000,5265.0,5304.0,5141.0,5195.0,nan,5228.0,48028,1255493720.0,40464,5265.0,67,5262.0,2,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988239144171008,1597988239639000064,2020-08-21 13:37:19.639000,5262.0,5304.0,5141.0,5195.0,nan,5228.0,48033,1255625270.0,40460,5265.0,67,5262.0,1,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988240153833984,1597988240568000000,2020-08-21 13:37:20.568000,5262.0,5304.0,5141.0,5195.0,nan,5228.0,48033,1255625270.0,40460,5264.0,2,5262.0,1,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988241148683008,1597988241573999872,2020-08-21 13:37:21.574000,5262.0,5304.0,5141.0,5195.0,nan,5228.0,48033,1255625270.0,40460,5264.0,2,5261.0,1,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988241653594112,1597988242040000000,2020-08-21 13:37:22.040000,5262.0,5304.0,5141.0,5195.0,nan,5228.0,48033,1255625270.0,40460,5264.0,2,5262.0,2,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988242144562944,1597988242693000192,2020-08-21 13:37:22.693000,5264.0,5304.0,5141.0,5195.0,nan,5228.0,48035,1255677910.0,40460,5265.0,67,5262.0,2,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988244641261056,1597988245142999808,2020-08-21 13:37:25.143000,5265.0,5304.0,5141.0,5195.0,nan,5228.0,48037,1255730560.0,40458,5265.0,65,5262.0,2,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988246684750080,1597988247192000000,2020-08-21 13:37:27.192000,5265.0,5304.0,5141.0,5195.0,nan,5228.0,48039,1255783210.0,40456,5265.0,63,5262.0,2,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988247131697920,1597988247436999936,2020-08-21 13:37:27.437000,5265.0,5304.0,5141.0,5195.0,nan,5228.0,48039,1255783210.0,40456,5265.0,63,5262.0,1,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988247636335104,1597988248221999872,2020-08-21 13:37:28.222000,5265.0,5304.0,5141.0,5195.0,nan,5228.0,48041,1255835860.0,40454,5265.0,61,5262.0,1,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988248185458944,1597988248651000064,2020-08-21 13:37:28.651000,5265.0,5304.0,5141.0,5195.0,nan,5228.0,48041,1255835860.0,40454,5264.0,1,5262.0,1,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988248645664000,1597988248961999872,2020-08-21 13:37:28.962000,5265.0,5304.0,5141.0,5195.0,nan,5228.0,48042,1255862185.0,40453,5265.0,61,5262.0,1,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988249630379008,1597988249930000128,2020-08-21 13:37:29.930000,5265.0,5304.0,5141.0,5195.0,nan,5228.0,48042,1255862185.0,40453,5265.0,62,5262.0,1,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988250657143040,1597988251174000128,2020-08-21 13:37:31.174000,5265.0,5304.0,5141.0,5195.0,nan,5228.0,48042,1255862185.0,40453,5265.0,71,5262.0,1,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988251143453952,1597988251576000000,2020-08-21 13:37:31.576000,5265.0,5304.0,5141.0,5195.0,nan,5228.0,48042,1255862185.0,40453,5264.0,9,5262.0,1,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988252668648960,1597988252933000192,2020-08-21 13:37:32.933000,5265.0,5304.0,5141.0,5195.0,nan,5228.0,48043,1255888510.0,40453,5264.0,8,5262.0,1,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988253161438976,1597988253723000064,2020-08-21 13:37:33.723000,5265.0,5304.0,5141.0,5195.0,nan,5228.0,48045,1255941160.0,40453,5264.0,6,5262.0,1,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988255630600960,1597988256232999936,2020-08-21 13:37:36.233000,5265.0,5304.0,5141.0,5195.0,nan,5228.0,48049,1256046460.0,40453,5264.0,2,5262.0,1,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988256177739008,1597988256616000000,2020-08-21 13:37:36.616000,5262.0,5304.0,5141.0,5195.0,nan,5228.0,48056,1256230630.0,40448,5265.0,63,5261.0,1,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
