local_nano_time,quote_nano_time,datetime,last_price,highest,lowest,open,close,average,volume,amount,open_interest,ask_price1,ask_volume1,bid_price1,bid_volume1,ask_price2,ask_volume2,bid_price2,bid_volume2,ask_price3,ask_volume3,bid_price3,bid_volume3,ask_price4,ask_volume4,bid_price4,bid_volume4,ask_price5,ask_volume5,bid_price5,bid_volume5
1597988230148480000,1597988230579000064,2020-08-21 13:37:10.579000,3904.0,3924.0,3868.0,3897.0,nan,3895.0,137537,5357579070.0,200060,3904.0,44,3903.0,242,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988230634244096,1597988231226000128,2020-08-21 13:37:11.226000,3904.0,3924.0,3868.0,3897.0,nan,3895.0,137537,5357579070.0,200060,3904.0,64,3903.0,242,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988231151769088,1597988231719000064,2020-08-21 13:37:11.719000,3903.0,3924.0,3868.0,3897.0,nan,3895.0,137541,5357735190.0,200060,3904.0,64,3903.0,238,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988232175452928,1597988232732999936,2020-08-21 13:37:12.733000,3904.0,3924.0,3868.0,3897.0,nan,3895.0,137543,5357813270.0,200060,3904.0,65,3903.0,238,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988233131385088,1597988233693000192,2020-08-21 13:37:13.693000,3904.0,3924.0,3868.0,3897.0,nan,3895.0,137544,5357852310.0,200061,3904.0,64,3903.0,238,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988234169456128,1597988234667000064,2020-08-21 13:37:14.667000,3903.0,3924.0,3868.0,3897.0,nan,3895.0,137546,5357930370.0,200061,3904.0,65,3903.0,236,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988234631019008,1597988234937999872,2020-08-21 13:37:14.938000,3903.0,3924.0,3868.0,3897.0,nan,3895.0,137546,5357930370.0,200061,3904.0,50,3903.0,236,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988236625890048,1597988237207000064,2020-08-21 13:37:17.207000,3903.0,3924.0,3868.0,3897.0,nan,3895.0,137546,5357930370.0,200061,3904.0,50,3903.0,237,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988237179735040,1597988237734999808,2020-08-21 13:37:17.735000,3903.0,3924.0,3868.0,3897.0,nan,3895.0,137553,5358203580.0,200061,3904.0,51,3903.0,221,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988237635833088,1597988238211000064,2020-08-21 13:37:18.211000,3904.0,3924.0,3868.0,3897.0,nan,3895.0,137558,5358398780.0,200057,3904.0,47,3903.0,223,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988238196809984,1597988238667000064,2020-08-21 13:37:18.667000,3903.0,3924.0,3868.0,3897.0,nan,3895.0,137571,5358906270.0,200063,3904.0,36,3903.0,221,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988240152547072,1597988240690000128,2020-08-21 13:37:20.690000,3903.0,3924.0,3868.0,3897.0,nan,3895.0,137571,5358906270.0,200063,3904.0,37,3903.0,220,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988240627891968,1597988241131000064,2020-08-21 13:37:21.131000,3903.0,3924.0,3868.0,3897.0,nan,3895.0,137572,5358945300.0,200064,3904.0,37,3903.0,220,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988241148073984,1597988241632000000,2020-08-21 13:37:21.632000,3904.0,3924.0,3868.0,3897.0,nan,3895.0,137573,5358984340.0,200065,3904.0,36,3903.0,219,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988241649789952,1597988242147000064,2020-08-21 13:37:22.147000,3903.0,3924.0,3868.0,3897.0,nan,3895.0,137575,5359062400.0,200065,3904.0,36,3903.0,214,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988242144208896,1597988242693000192,2020-08-21 13:37:22.693000,3903.0,3924.0,3868.0,3897.0,nan,3895.0,137575,5359062400.0,200065,3904.0,37,3903.0,224,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988243164284928,1597988243612000000,2020-08-21 13:37:23.612000,3903.0,3924.0,3868.0,3897.0,nan,3895.0,137576,5359101430.0,200065,3904.0,37,3903.0,224,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988244140836096,1597988244653000192,2020-08-21 13:37:24.653000,3904.0,3924.0,3868.0,3897.0,nan,3895.0,137578,5359179510.0,200067,3904.0,37,3903.0,224,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988244640866048,1597988245172000000,2020-08-21 13:37:25.172000,3903.0,3924.0,3868.0,3897.0,nan,3895.0,137589,5359608930.0,200073,3904.0,39,3903.0,222,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988245135153920,1597988245647000064,2020-08-21 13:37:25.647000,3903.0,3924.0,3868.0,3897.0,nan,3895.0,137695,5363746110.0,200173,3904.0,45,3903.0,116,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988245637801984,1597988246232999936,2020-08-21 13:37:26.233000,3902.0,3924.0,3868.0,3897.0,nan,3895.0,137824,5368780850.0,200195,3903.0,134,3902.0,25,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988246204709120,1597988246602999808,2020-08-21 13:37:26.603000,3902.0,3924.0,3868.0,3897.0,nan,3895.0,137857,5370068510.0,200203,3902.0,8,3901.0,26,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988246683399936,1597988247192000000,2020-08-21 13:37:27.192000,3902.0,3924.0,3868.0,3897.0,nan,3895.0,137874,5370731850.0,200193,3903.0,135,3902.0,24,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988247162703872,1597988247686000128,2020-08-21 13:37:27.686000,3902.0,3924.0,3868.0,3897.0,nan,3895.0,137877,5370848910.0,200193,3903.0,136,3902.0,21,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988247635977984,1597988248221999872,2020-08-21 13:37:28.222000,3902.0,3924.0,3868.0,3897.0,nan,3895.0,137877,5370848910.0,200193,3903.0,136,3902.0,27,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988248184037888,1597988248716000000,2020-08-21 13:37:28.716000,3902.0,3924.0,3868.0,3897.0,nan,3895.0,137881,5371004990.0,200192,3903.0,138,3902.0,23,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988248645305088,1597988249240000000,2020-08-21 13:37:29.240000,3902.0,3924.0,3868.0,3897.0,nan,3895.0,137917,5372409710.0,200198,3903.0,138,3902.0,1,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988249184733952,1597988249728000000,2020-08-21 13:37:29.728000,3901.0,3924.0,3868.0,3897.0,nan,3895.0,137920,5372526750.0,200196,3902.0,9,3901.0,35,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988249629925120,1597988250240000000,2020-08-21 13:37:30.240000,3902.0,3924.0,3868.0,3897.0,nan,3895.0,137933,5373034010.0,200208,3903.0,140,3902.0,33,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988250213470976,1597988250739000064,2020-08-21 13:37:30.739000,3902.0,3924.0,3868.0,3897.0,nan,3895.0,137966,5374321670.0,200239,3902.0,2,3901.0,34,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988250655344128,1597988251240000000,2020-08-21 13:37:31.240000,3902.0,3924.0,3868.0,3897.0,nan,3895.0,137976,5374711870.0,200239,3902.0,2,3901.0,39,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988251143130112,1597988251664000000,2020-08-21 13:37:31.664000,3902.0,3924.0,3868.0,3897.0,nan,3895.0,137979,5374828930.0,200240,3903.0,135,3902.0,9,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988251661788928,1597988252137000192,2020-08-21 13:37:32.137000,3902.0,3924.0,3868.0,3897.0,nan,3895.0,137988,5375180110.0,200240,3902.0,27,3901.0,39,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988252146120960,1597988252742000128,2020-08-21 13:37:32.742000,3901.0,3924.0,3868.0,3897.0,nan,3895.0,137995,5375453240.0,200242,3902.0,27,3901.0,29,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988252667874048,1597988253234999808,2020-08-21 13:37:33.235000,3901.0,3924.0,3868.0,3897.0,nan,3895.0,137995,5375453240.0,200242,3902.0,27,3901.0,30,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988253160812032,1597988253723000064,2020-08-21 13:37:33.723000,3902.0,3924.0,3868.0,3897.0,nan,3895.0,137996,5375492260.0,200243,3902.0,27,3901.0,31,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988253635617024,1597988254224000000,2020-08-21 13:37:34.224000,3901.0,3924.0,3868.0,3897.0,nan,3895.0,137997,5375531270.0,200243,3902.0,27,3901.0,30,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988254136535040,1597988254696000000,2020-08-21 13:37:34.696000,3901.0,3924.0,3868.0,3897.0,nan,3895.0,137999,5375609290.0,200242,3902.0,30,3901.0,28,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988254634616064,1597988255148000000,2020-08-21 13:37:35.148000,3902.0,3924.0,3868.0,3897.0,nan,3895.0,138000,5375648310.0,200243,3902.0,31,3901.0,28,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988255139706880,1597988255696000000,2020-08-21 13:37:35.696000,3902.0,3924.0,3868.0,3897.0,nan,3895.0,138003,5375765370.0,200246,3902.0,28,3901.0,32,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988255630145024,1597988256232999936,2020-08-21 13:37:36.233000,3902.0,3924.0,3868.0,3897.0,nan,3895.0,138006,5375882430.0,200249,3902.0,22,3901.0,37,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988256177363968,1597988256673000192,2020-08-21 13:37:36.673000,3901.0,3924.0,3868.0,3897.0,nan,3895.0,138013,5376155500.0,200251,3902.0,17,3901.0,30,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988256654684928,1597988257223000064,2020-08-21 13:37:37.223000,3901.0,3924.0,3868.0,3897.0,nan,3895.0,138020,5376428570.0,200253,3902.0,29,3901.0,23,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988257131926016,1597988257727000064,2020-08-21 13:37:37.727000,3901.0,3924.0,3868.0,3897.0,nan,3895.0,138020,5376428570.0,200253,3902.0,31,3901.0,22,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988257626816000,1597988258223000064,2020-08-21 13:37:38.223000,3901.0,3924.0,3868.0,3897.0,nan,3895.0,138021,5376467580.0,200252,3902.0,31,3901.0,21,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988258143847936,1597988258616000000,2020-08-21 13:37:38.616000,3901.0,3924.0,3868.0,3897.0,nan,3895.0,138021,5376467580.0,200252,3902.0,32,3901.0,21,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988258623638016,1597988259081000192,2020-08-21 13:37:39.081000,3901.0,3924.0,3868.0,3897.0,nan,3895.0,138021,5376467580.0,200252,3902.0,32,3901.0,22,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988260132157952,1597988260736999936,2020-08-21 13:37:40.737000,3901.0,3924.0,3868.0,3897.0,nan,3895.0,138021,5376467580.0,200252,3902.0,49,3901.0,24,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988260642164992,1597988261233999872,2020-08-21 13:37:41.234000,3901.0,3924.0,3868.0,3897.0,nan,3895.0,138022,5376506590.0,200251,3902.0,49,3901.0,26,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988261147238912,1597988261723000064,2020-08-21 13:37:41.723000,3901.0,3924.0,3868.0,3897.0,nan,3895.0,138023,5376545600.0,200250,3902.0,49,3901.0,30,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988261625584896,1597988262239000064,2020-08-21 13:37:42.239000,3901.0,3924.0,3868.0,3897.0,nan,3895.0,138023,5376545600.0,200250,3902.0,49,3901.0,32,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988262181014016,1597988262732000000,2020-08-21 13:37:42.732000,3901.0,3924.0,3868.0,3897.0,nan,3895.0,138028,5376740650.0,200245,3902.0,50,3901.0,29,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988263128061952,1597988263453000192,2020-08-21 13:37:43.453000,3901.0,3924.0,3868.0,3897.0,nan,3895.0,138028,5376740650.0,200245,3902.0,52,3901.0,29,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988263629893120,1597988264227000064,2020-08-21 13:37:44.227000,3901.0,3924.0,3868.0,3897.0,nan,3895.0,138028,5376740650.0,200245,3902.0,52,3901.0,27,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988264158422016,1597988264724000000,2020-08-21 13:37:44.724000,3901.0,3924.0,3868.0,3897.0,nan,3895.0,138039,5377169760.0,200238,3902.0,52,3901.0,17,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988264632044032,1597988265232000000,2020-08-21 13:37:45.232000,3901.0,3924.0,3868.0,3897.0,nan,3895.0,138039,5377169760.0,200238,3902.0,57,3901.0,16,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988265138715904,1597988265621999872,2020-08-21 13:37:45.622000,3901.0,3924.0,3868.0,3897.0,nan,3895.0,138039,5377169760.0,200238,3902.0,57,3901.0,17,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988265626017024,1597988266206000128,2020-08-21 13:37:46.206000,3901.0,3924.0,3868.0,3897.0,nan,3895.0,138039,5377169760.0,200238,3902.0,58,3901.0,19,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988266179367936,1597988266683000064,2020-08-21 13:37:46.683000,3901.0,3924.0,3868.0,3897.0,nan,3895.0,138039,5377169760.0,200238,3902.0,59,3901.0,19,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988267174153984,1597988267720999936,2020-08-21 13:37:47.721000,3901.0,3924.0,3868.0,3897.0,nan,3895.0,138041,5377247780.0,200239,3902.0,59,3901.0,17,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988268149581056,1597988268652000000,2020-08-21 13:37:48.652000,3901.0,3924.0,3868.0,3897.0,nan,3895.0,138041,5377247780.0,200239,3902.0,60,3901.0,11,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988268637342976,1597988269240000000,2020-08-21 13:37:49.240000,3901.0,3924.0,3868.0,3897.0,nan,3895.0,138055,5377793900.0,200246,3901.0,9,3900.0,74,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988269131412992,1597988269736000000,2020-08-21 13:37:49.736000,3901.0,3924.0,3868.0,3897.0,nan,3895.0,138067,5378262020.0,200255,3901.0,12,3900.0,75,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988269652912896,1597988270220000000,2020-08-21 13:37:50.220000,3901.0,3924.0,3868.0,3897.0,nan,3895.0,138067,5378262020.0,200255,3901.0,12,3900.0,65,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988270147312128,1597988270728000000,2020-08-21 13:37:50.728000,3901.0,3924.0,3868.0,3897.0,nan,3895.0,138071,5378418060.0,200257,3901.0,9,3900.0,65,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988270622192128,1597988271228000000,2020-08-21 13:37:51.228000,3900.0,3924.0,3868.0,3897.0,nan,3895.0,138076,5378613060.0,200255,3901.0,12,3900.0,61,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988271145432064,1597988271693000192,2020-08-21 13:37:51.693000,3901.0,3924.0,3868.0,3897.0,nan,3895.0,138082,5378847120.0,200261,3901.0,5,3900.0,71,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988271631742976,1597988272231000064,2020-08-21 13:37:52.231000,3901.0,3924.0,3868.0,3897.0,nan,3895.0,138089,5379120190.0,200258,3902.0,83,3901.0,3,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988272135715072,1597988272704999936,2020-08-21 13:37:52.705000,3900.0,3924.0,3868.0,3897.0,nan,3895.0,138103,5379666270.0,200246,3901.0,1,3900.0,69,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988272646712064,1597988273233999872,2020-08-21 13:37:53.234000,3900.0,3924.0,3868.0,3897.0,nan,3895.0,138116,5380173280.0,200252,3901.0,2,3900.0,60,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988273144176896,1597988273728000000,2020-08-21 13:37:53.728000,3900.0,3924.0,3868.0,3897.0,nan,3895.0,138118,5380251290.0,200253,3901.0,2,3900.0,65,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988273627636992,1597988274236000000,2020-08-21 13:37:54.236000,3901.0,3924.0,3868.0,3897.0,nan,3895.0,138120,5380329310.0,200253,3902.0,97,3901.0,58,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
