local_nano_time,quote_nano_time,datetime,last_price,highest,lowest,open,close,average,volume,amount,open_interest,ask_price1,ask_volume1,bid_price1,bid_volume1,ask_price2,ask_volume2,bid_price2,bid_volume2,ask_price3,ask_volume3,bid_price3,bid_volume3,ask_price4,ask_volume4,bid_price4,bid_volume4,ask_price5,ask_volume5,bid_price5,bid_volume5
1597988229827382016,1597988230432000000,2020-08-21 13:37:10.432000,3577.0,3602.0,3564.0,3582.0,nan,3584.0,199201,7140730050.0,221434,3577.0,30,3576.0,160,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988230364454912,1597988230888000000,2020-08-21 13:37:10.888000,3578.0,3602.0,3564.0,3582.0,nan,3584.0,199232,7141838930.0,221437,3578.0,100,3577.0,8,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988230826812928,1597988231411000064,2020-08-21 13:37:11.411000,3577.0,3602.0,3564.0,3582.0,nan,3584.0,199233,7141874700.0,221436,3578.0,100,3577.0,9,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988231324828928,1597988231908999936,2020-08-21 13:37:11.909000,3577.0,3602.0,3564.0,3582.0,nan,3584.0,199239,7142089320.0,221430,3578.0,100,3577.0,6,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988231824648960,1597988232423000064,2020-08-21 13:37:12.423000,3578.0,3602.0,3564.0,3582.0,nan,3584.0,199240,7142125100.0,221431,3578.0,99,3577.0,11,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988232326348032,1597988232932000000,2020-08-21 13:37:12.932000,3577.0,3602.0,3564.0,3582.0,nan,3584.0,199252,7142554340.0,221428,3577.0,10,3576.0,165,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988232824353024,1597988233396000000,2020-08-21 13:37:13.396000,3577.0,3602.0,3564.0,3582.0,nan,3584.0,199272,7143269730.0,221417,3578.0,100,3577.0,1,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988233349379072,1597988233912000000,2020-08-21 13:37:13.912000,3577.0,3602.0,3564.0,3582.0,nan,3584.0,199272,7143269730.0,221417,3578.0,100,3577.0,6,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988233826571008,1597988234381999872,2020-08-21 13:37:14.382000,3578.0,3602.0,3564.0,3582.0,nan,3584.0,199273,7143305510.0,221418,3578.0,99,3577.0,7,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988234326640896,1597988234932000000,2020-08-21 13:37:14.932000,3577.0,3602.0,3564.0,3582.0,nan,3584.0,199277,7143448600.0,221421,3578.0,98,3577.0,5,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988234827264000,1597988235413000192,2020-08-21 13:37:15.413000,3577.0,3602.0,3564.0,3582.0,nan,3584.0,199280,7143555920.0,221422,3578.0,97,3577.0,13,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988235339248896,1597988235884999936,2020-08-21 13:37:15.885000,3578.0,3602.0,3564.0,3582.0,nan,3584.0,199281,7143591700.0,221423,3578.0,96,3577.0,23,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988235827748096,1597988236432000000,2020-08-21 13:37:16.432000,3578.0,3602.0,3564.0,3582.0,nan,3584.0,199304,7144414420.0,221435,3578.0,95,3577.0,3,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988236329004032,1597988236918999808,2020-08-21 13:37:16.919000,3578.0,3602.0,3564.0,3582.0,nan,3584.0,199405,7148027790.0,221403,3578.0,35,3577.0,16,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988236829509120,1597988237435000064,2020-08-21 13:37:17.435000,3578.0,3602.0,3564.0,3582.0,nan,3584.0,199470,7150353250.0,221428,3579.0,187,3578.0,161,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988237324201984,1597988237934000128,2020-08-21 13:37:17.934000,3578.0,3602.0,3564.0,3582.0,nan,3584.0,199470,7150353250.0,221428,3579.0,187,3578.0,163,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988238336608000,1597988238932000000,2020-08-21 13:37:18.932000,3579.0,3602.0,3564.0,3582.0,nan,3584.0,199471,7150389040.0,221429,3579.0,186,3578.0,163,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988238824058112,1597988239420999936,2020-08-21 13:37:19.421000,3578.0,3602.0,3564.0,3582.0,nan,3584.0,199477,7150603730.0,221434,3579.0,185,3578.0,158,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988239339345920,1597988239932000000,2020-08-21 13:37:19.932000,3579.0,3602.0,3564.0,3582.0,nan,3584.0,199662,7157224880.0,221526,3580.0,135,3578.0,158,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988239826374912,1597988240416999936,2020-08-21 13:37:20.417000,3579.0,3602.0,3564.0,3582.0,nan,3584.0,199664,7157296460.0,221526,3580.0,127,3579.0,20,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988240326821120,1597988240916000000,2020-08-21 13:37:20.916000,3579.0,3602.0,3564.0,3582.0,nan,3584.0,199664,7157296460.0,221526,3580.0,129,3579.0,20,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988240824641024,1597988241423000064,2020-08-21 13:37:21.423000,3579.0,3602.0,3564.0,3582.0,nan,3584.0,199665,7157332250.0,221525,3580.0,129,3579.0,9,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988241826203904,1597988242423000064,2020-08-21 13:37:22.423000,3579.0,3602.0,3564.0,3582.0,nan,3584.0,199676,7157725940.0,221524,3580.0,128,3578.0,161,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988242347603968,1597988242935000064,2020-08-21 13:37:22.935000,3579.0,3602.0,3564.0,3582.0,nan,3584.0,199680,7157869100.0,221527,3580.0,128,3579.0,2,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988242824976896,1597988243432000000,2020-08-21 13:37:23.432000,3579.0,3602.0,3564.0,3582.0,nan,3584.0,199684,7158012270.0,221527,3580.0,127,3579.0,3,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988243328453120,1597988243872000000,2020-08-21 13:37:23.872000,3579.0,3602.0,3564.0,3582.0,nan,3584.0,199687,7158119640.0,221525,3580.0,127,3578.0,161,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988243827250944,1597988244374000128,2020-08-21 13:37:24.374000,3580.0,3602.0,3564.0,3582.0,nan,3584.0,199693,7158334430.0,221526,3580.0,126,3578.0,161,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988244348513024,1597988244924000000,2020-08-21 13:37:24.924000,3580.0,3602.0,3564.0,3582.0,nan,3584.0,199697,7158477590.0,221525,3580.0,124,3578.0,159,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988244836263936,1597988245427000064,2020-08-21 13:37:25.427000,3580.0,3602.0,3564.0,3582.0,nan,3584.0,199698,7158513390.0,221526,3580.0,124,3578.0,159,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988245342673920,1597988245882999808,2020-08-21 13:37:25.883000,3578.0,3602.0,3564.0,3582.0,nan,3584.0,199870,7164667550.0,221516,3578.0,28,3577.0,64,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988245824559104,1597988246420000000,2020-08-21 13:37:26.420000,3578.0,3602.0,3564.0,3582.0,nan,3584.0,199886,7165240030.0,221506,3578.0,12,3577.0,67,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988246329186048,1597988246932000000,2020-08-21 13:37:26.932000,3580.0,3602.0,3564.0,3582.0,nan,3584.0,199899,7165705190.0,221497,3578.0,1,3577.0,68,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988246824251904,1597988247434000128,2020-08-21 13:37:27.434000,3578.0,3602.0,3564.0,3582.0,nan,3584.0,199901,7165776750.0,221497,3578.0,4,3577.0,70,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
