local_nano_time,quote_nano_time,datetime,last_price,highest,lowest,open,close,average,volume,amount,open_interest,ask_price1,ask_volume1,bid_price1,bid_volume1,ask_price2,ask_volume2,bid_price2,bid_volume2,ask_price3,ask_volume3,bid_price3,bid_volume3,ask_price4,ask_volume4,bid_price4,bid_volume4,ask_price5,ask_volume5,bid_price5,bid_volume5
1597988226353644032,1597988226913000192,2020-08-21 13:37:06.913000,2881.0,2897.0,2863.0,2895.0,nan,2878.0,699902,20147521550.0,1369421,2882.0,266,2881.0,758,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988226834089984,1597988227436000000,2020-08-21 13:37:07.436000,2881.0,2897.0,2863.0,2895.0,nan,2878.0,699902,20147521550.0,1369421,2882.0,268,2881.0,761,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988227336822016,1597988227936000000,2020-08-21 13:37:07.936000,2882.0,2897.0,2863.0,2895.0,nan,2878.0,699913,20147838570.0,1369422,2882.0,258,2881.0,761,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988227835140096,1597988228427000064,2020-08-21 13:37:08.427000,2882.0,2897.0,2863.0,2895.0,nan,2878.0,699941,20148645530.0,1369429,2882.0,160,2881.0,761,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988228332464896,1597988228901999872,2020-08-21 13:37:08.902000,2882.0,2897.0,2863.0,2895.0,nan,2878.0,699944,20148731990.0,1369430,2882.0,158,2881.0,763,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988228838427904,1597988229404000000,2020-08-21 13:37:09.404000,2881.0,2897.0,2863.0,2895.0,nan,2878.0,699946,20148789620.0,1369431,2882.0,158,2881.0,762,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988229330575104,1597988229926000128,2020-08-21 13:37:09.926000,2882.0,2897.0,2863.0,2895.0,nan,2878.0,699947,20148818440.0,1369431,2882.0,158,2881.0,762,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988229835660032,1597988230432000000,2020-08-21 13:37:10.432000,2882.0,2897.0,2863.0,2895.0,nan,2878.0,699978,20149711860.0,1369447,2882.0,127,2881.0,762,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988230335481088,1597988230888000000,2020-08-21 13:37:10.888000,2882.0,2897.0,2863.0,2895.0,nan,2878.0,699991,20150086420.0,1369439,2882.0,146,2881.0,752,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988230837747968,1597988231411000064,2020-08-21 13:37:11.411000,2882.0,2897.0,2863.0,2895.0,nan,2878.0,699991,20150086420.0,1369439,2882.0,147,2881.0,754,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988231331856896,1597988231908999936,2020-08-21 13:37:11.909000,2882.0,2897.0,2863.0,2895.0,nan,2878.0,699994,20150172880.0,1369441,2882.0,147,2881.0,761,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988231832911872,1597988232423000064,2020-08-21 13:37:12.423000,2882.0,2897.0,2863.0,2895.0,nan,2878.0,700000,20150345800.0,1369442,2882.0,146,2881.0,761,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988232331845120,1597988232932000000,2020-08-21 13:37:12.932000,2882.0,2897.0,2863.0,2895.0,nan,2878.0,700000,20150345800.0,1369442,2882.0,147,2881.0,767,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988232844497920,1597988233396000000,2020-08-21 13:37:13.396000,2881.0,2897.0,2863.0,2895.0,nan,2878.0,700004,20150461070.0,1369438,2882.0,260,2881.0,770,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988233335887872,1597988233912000000,2020-08-21 13:37:13.912000,2881.0,2897.0,2863.0,2895.0,nan,2878.0,700007,20150547520.0,1369438,2882.0,204,2881.0,775,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988233832802048,1597988234381999872,2020-08-21 13:37:14.382000,2881.0,2897.0,2863.0,2895.0,nan,2878.0,700007,20150547520.0,1369438,2882.0,206,2881.0,776,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988234333049088,1597988234932000000,2020-08-21 13:37:14.932000,2882.0,2897.0,2863.0,2895.0,nan,2878.0,700010,20150633980.0,1369441,2882.0,203,2881.0,781,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988234842606080,1597988235413000192,2020-08-21 13:37:15.413000,2882.0,2897.0,2863.0,2895.0,nan,2878.0,700014,20150749260.0,1369445,2882.0,199,2881.0,785,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988235340335104,1597988235884999936,2020-08-21 13:37:15.885000,2882.0,2897.0,2863.0,2895.0,nan,2878.0,700017,20150835720.0,1369448,2882.0,203,2881.0,786,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988235940102912,1597988236432000000,2020-08-21 13:37:16.432000,2882.0,2897.0,2863.0,2895.0,nan,2878.0,700017,20150835720.0,1369448,2882.0,145,2881.0,794,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988236835555072,1597988237435000064,2020-08-21 13:37:17.435000,2882.0,2897.0,2863.0,2895.0,nan,2878.0,700019,20150893360.0,1369448,2882.0,143,2881.0,797,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988237332526080,1597988237934000128,2020-08-21 13:37:17.934000,2882.0,2897.0,2863.0,2895.0,nan,2878.0,700019,20150893360.0,1369448,2882.0,143,2881.0,798,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988237833667072,1597988238430000128,2020-08-21 13:37:18.430000,2882.0,2897.0,2863.0,2895.0,nan,2878.0,700019,20150893360.0,1369448,2882.0,143,2881.0,800,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988238341998080,1597988238932000000,2020-08-21 13:37:18.932000,2882.0,2897.0,2863.0,2895.0,nan,2878.0,700021,20150951000.0,1369450,2882.0,152,2881.0,808,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988238833881088,1597988239420999936,2020-08-21 13:37:19.421000,2882.0,2897.0,2863.0,2895.0,nan,2878.0,700024,20151037460.0,1369452,2882.0,150,2881.0,811,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988239336391936,1597988239932000000,2020-08-21 13:37:19.932000,2882.0,2897.0,2863.0,2895.0,nan,2878.0,700024,20151037460.0,1369452,2882.0,152,2881.0,813,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988239833472000,1597988240416999936,2020-08-21 13:37:20.417000,2882.0,2897.0,2863.0,2895.0,nan,2878.0,700034,20151325660.0,1369452,2882.0,142,2881.0,821,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988240335542016,1597988240916000000,2020-08-21 13:37:20.916000,2882.0,2897.0,2863.0,2895.0,nan,2878.0,700035,20151354480.0,1369453,2882.0,141,2881.0,821,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988240837355008,1597988241423000064,2020-08-21 13:37:21.423000,2882.0,2897.0,2863.0,2895.0,nan,2878.0,700038,20151440940.0,1369456,2882.0,138,2881.0,822,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988241334363904,1597988241936000000,2020-08-21 13:37:21.936000,2882.0,2897.0,2863.0,2895.0,nan,2878.0,700041,20151527400.0,1369458,2882.0,157,2881.0,828,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988241836902912,1597988242423000064,2020-08-21 13:37:22.423000,2882.0,2897.0,2863.0,2895.0,nan,2878.0,700043,20151585040.0,1369460,2882.0,155,2881.0,828,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988242340120064,1597988242935000064,2020-08-21 13:37:22.935000,2881.0,2897.0,2863.0,2895.0,nan,2878.0,700048,20151729090.0,1369460,2882.0,155,2881.0,826,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988242834068992,1597988243432000000,2020-08-21 13:37:23.432000,2882.0,2897.0,2863.0,2895.0,nan,2878.0,700058,20152017290.0,1369460,2882.0,221,2881.0,825,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988243336008960,1597988243872000000,2020-08-21 13:37:23.872000,2882.0,2897.0,2863.0,2895.0,nan,2878.0,700059,20152046110.0,1369460,2882.0,220,2881.0,826,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988244343781120,1597988244932000000,2020-08-21 13:37:24.932000,2882.0,2897.0,2863.0,2895.0,nan,2878.0,700063,20152161390.0,1369464,2882.0,216,2881.0,826,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988244848496128,1597988245427000064,2020-08-21 13:37:25.427000,2882.0,2897.0,2863.0,2895.0,nan,2878.0,700064,20152190210.0,1369465,2882.0,216,2881.0,828,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988245335535104,1597988245882999808,2020-08-21 13:37:25.883000,2881.0,2897.0,2863.0,2895.0,nan,2878.0,700065,20152219020.0,1369464,2882.0,216,2881.0,829,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988245831663104,1597988246420000000,2020-08-21 13:37:26.420000,2882.0,2897.0,2863.0,2895.0,nan,2878.0,700067,20152276660.0,1369465,2882.0,214,2881.0,839,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
