local_nano_time,quote_nano_time,datetime,last_price,highest,lowest,open,close,average,volume,amount,open_interest,ask_price1,ask_volume1,bid_price1,bid_volume1,ask_price2,ask_volume2,bid_price2,bid_volume2,ask_price3,ask_volume3,bid_price3,bid_volume3,ask_price4,ask_volume4,bid_price4,bid_volume4,ask_price5,ask_volume5,bid_price5,bid_volume5
1597988229839225088,1597988230432000000,2020-08-21 13:37:10.432000,5622.0,5650.0,5554.0,5610.0,nan,5602.0,624619,35003300780.0,378941,5622.0,76,5620.0,189,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988230365168128,1597988230935000064,2020-08-21 13:37:10.935000,5622.0,5650.0,5554.0,5610.0,nan,5602.0,624626,35003694320.0,378936,5622.0,105,5620.0,184,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988230827493120,1597988231436999936,2020-08-21 13:37:11.437000,5622.0,5650.0,5554.0,5610.0,nan,5602.0,624628,35003806760.0,378936,5622.0,175,5620.0,184,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988231334127104,1597988231910000128,2020-08-21 13:37:11.910000,5622.0,5650.0,5554.0,5610.0,nan,5602.0,624650,35005043600.0,378951,5622.0,161,5620.0,165,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988231834777088,1597988232423000064,2020-08-21 13:37:12.423000,5622.0,5650.0,5554.0,5610.0,nan,5602.0,624652,35005156040.0,378953,5622.0,161,5620.0,166,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988232336158976,1597988232932000000,2020-08-21 13:37:12.932000,5622.0,5650.0,5554.0,5610.0,nan,5602.0,624652,35005156040.0,378953,5622.0,163,5620.0,167,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988233350074880,1597988233912000000,2020-08-21 13:37:13.912000,5620.0,5650.0,5554.0,5610.0,nan,5602.0,624653,35005212240.0,378954,5622.0,167,5620.0,173,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988233837637888,1597988234420999936,2020-08-21 13:37:14.421000,5620.0,5650.0,5554.0,5610.0,nan,5602.0,624813,35014204240.0,378952,5620.0,28,5618.0,220,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988234336198912,1597988234937999872,2020-08-21 13:37:14.938000,5620.0,5650.0,5554.0,5610.0,nan,5602.0,624908,35019543240.0,378950,5622.0,174,5620.0,3,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988234827952896,1597988235413000192,2020-08-21 13:37:15.413000,5622.0,5650.0,5554.0,5610.0,nan,5602.0,624909,35019599460.0,378950,5622.0,170,5620.0,95,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988235352869120,1597988235905999872,2020-08-21 13:37:15.906000,5620.0,5650.0,5554.0,5610.0,nan,5602.0,624910,35019655660.0,378951,5622.0,175,5620.0,101,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988235828442112,1597988236432000000,2020-08-21 13:37:16.432000,5620.0,5650.0,5554.0,5610.0,nan,5602.0,624911,35019711860.0,378952,5622.0,176,5620.0,122,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988236329453056,1597988236918999808,2020-08-21 13:37:16.919000,5620.0,5650.0,5554.0,5610.0,nan,5602.0,624917,35020049140.0,378953,5622.0,173,5620.0,124,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988236830182912,1597988237435000064,2020-08-21 13:37:17.435000,5620.0,5650.0,5554.0,5610.0,nan,5602.0,624927,35020611140.0,378953,5622.0,176,5620.0,116,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988237325424128,1597988237934000128,2020-08-21 13:37:17.934000,5620.0,5650.0,5554.0,5610.0,nan,5602.0,624929,35020723540.0,378955,5622.0,180,5620.0,115,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988237826387968,1597988238430000128,2020-08-21 13:37:18.430000,5620.0,5650.0,5554.0,5610.0,nan,5602.0,624929,35020723540.0,378955,5622.0,191,5620.0,59,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
