local_nano_time,quote_nano_time,datetime,last_price,highest,lowest,open,close,average,volume,amount,open_interest,ask_price1,ask_volume1,bid_price1,bid_volume1,ask_price2,ask_volume2,bid_price2,bid_volume2,ask_price3,ask_volume3,bid_price3,bid_volume3,ask_price4,ask_volume4,bid_price4,bid_volume4,ask_price5,ask_volume5,bid_price5,bid_volume5
1597988229676082944,1597988230227000064,2020-08-21 13:37:10.227000,7594.0,7715.0,7552.0,7710.0,nan,7621.0,336228,12812874860.0,253069,7594.0,34,7593.0,21,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988230230243072,1597988230713999872,2020-08-21 13:37:10.714000,7594.0,7715.0,7552.0,7710.0,nan,7621.0,336228,12812874860.0,253069,7594.0,34,7593.0,27,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988232174955008,1597988232742000128,2020-08-21 13:37:12.742000,7593.0,7715.0,7552.0,7710.0,nan,7621.0,336229,12812912825.0,253069,7594.0,38,7593.0,24,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988232644257024,1597988233224999936,2020-08-21 13:37:13.225000,7593.0,7715.0,7552.0,7710.0,nan,7621.0,336236,12813178605.0,253071,7594.0,38,7593.0,24,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988233141084928,1597988233696999936,2020-08-21 13:37:13.697000,7593.0,7715.0,7552.0,7710.0,nan,7621.0,336238,12813254535.0,253070,7594.0,38,7593.0,22,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988233643141120,1597988234216000000,2020-08-21 13:37:14.216000,7593.0,7715.0,7552.0,7710.0,nan,7621.0,336248,12813634185.0,253078,7594.0,38,7593.0,16,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988234168370944,1597988234720999936,2020-08-21 13:37:14.721000,7593.0,7715.0,7552.0,7710.0,nan,7621.0,336251,12813748080.0,253078,7594.0,38,7593.0,12,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988234641830912,1597988235193000192,2020-08-21 13:37:15.193000,7593.0,7715.0,7552.0,7710.0,nan,7621.0,336252,12813786045.0,253079,7594.0,37,7593.0,13,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988235159411968,1597988235604000000,2020-08-21 13:37:15.604000,7594.0,7715.0,7552.0,7710.0,nan,7621.0,336256,12813937915.0,253077,7594.0,37,7593.0,11,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988235636762112,1597988236221999872,2020-08-21 13:37:16.222000,7593.0,7715.0,7552.0,7710.0,nan,7621.0,336259,12814051810.0,253074,7594.0,37,7593.0,8,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988236161531904,1597988236734999808,2020-08-21 13:37:16.735000,7594.0,7715.0,7552.0,7710.0,nan,7621.0,336269,12814431510.0,253068,7594.0,28,7593.0,8,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988236636278016,1597988237232000000,2020-08-21 13:37:17.232000,7594.0,7715.0,7552.0,7710.0,nan,7621.0,336269,12814431510.0,253068,7594.0,28,7593.0,11,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988237178737920,1597988237740000000,2020-08-21 13:37:17.740000,7593.0,7715.0,7552.0,7710.0,nan,7621.0,336271,12814507440.0,253067,7594.0,28,7593.0,11,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988237645498112,1597988238211000064,2020-08-21 13:37:18.211000,7593.0,7715.0,7552.0,7710.0,nan,7621.0,336271,12814507440.0,253067,7594.0,29,7593.0,21,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988238191431936,1597988238712000000,2020-08-21 13:37:18.712000,7593.0,7715.0,7552.0,7710.0,nan,7621.0,336272,12814545405.0,253067,7594.0,29,7593.0,20,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988238645168896,1597988239240999936,2020-08-21 13:37:19.241000,7593.0,7715.0,7552.0,7710.0,nan,7621.0,336273,12814583370.0,253067,7594.0,29,7593.0,19,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988239143371008,1597988239690000128,2020-08-21 13:37:19.690000,7593.0,7715.0,7552.0,7710.0,nan,7621.0,336283,12814963020.0,253073,7594.0,36,7593.0,14,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988239642344960,1597988240232999936,2020-08-21 13:37:20.233000,7593.0,7715.0,7552.0,7710.0,nan,7621.0,336297,12815494530.0,253082,7593.0,6,7592.0,41,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988240181705984,1597988240720999936,2020-08-21 13:37:20.721000,7593.0,7715.0,7552.0,7710.0,nan,7621.0,336299,12815570460.0,253082,7593.0,18,7592.0,46,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988240643661056,1597988241204000000,2020-08-21 13:37:21.204000,7593.0,7715.0,7552.0,7710.0,nan,7621.0,336301,12815646390.0,253084,7593.0,17,7592.0,46,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988241146827008,1597988241731000064,2020-08-21 13:37:21.731000,7593.0,7715.0,7552.0,7710.0,nan,7621.0,336306,12815836215.0,253089,7593.0,21,7592.0,46,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988241647692032,1597988242229000192,2020-08-21 13:37:22.229000,7593.0,7715.0,7552.0,7710.0,nan,7621.0,336320,12816367725.0,253091,7593.0,7,7592.0,40,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988242143441920,1597988242733999872,2020-08-21 13:37:22.734000,7593.0,7715.0,7552.0,7710.0,nan,7621.0,336328,12816671445.0,253085,7594.0,23,7593.0,3,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988242675771904,1597988243240000000,2020-08-21 13:37:23.240000,7593.0,7715.0,7552.0,7710.0,nan,7621.0,336328,12816671445.0,253085,7594.0,23,7593.0,35,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988243163392000,1597988243736999936,2020-08-21 13:37:23.737000,7594.0,7715.0,7552.0,7710.0,nan,7621.0,336329,12816709415.0,253086,7594.0,19,7593.0,36,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988243643680000,1597988244160000000,2020-08-21 13:37:24.160000,7593.0,7715.0,7552.0,7710.0,nan,7621.0,336330,12816747380.0,253085,7594.0,19,7593.0,36,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988244140328960,1597988244698999808,2020-08-21 13:37:24.699000,7593.0,7715.0,7552.0,7710.0,nan,7621.0,336330,12816747380.0,253085,7594.0,19,7593.0,37,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988244640335104,1597988245219000064,2020-08-21 13:37:25.219000,7594.0,7715.0,7552.0,7710.0,nan,7621.0,336331,12816785350.0,253086,7594.0,18,7593.0,37,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988245134347008,1597988245700000000,2020-08-21 13:37:25.700000,7594.0,7715.0,7552.0,7710.0,nan,7621.0,336332,12816823320.0,253087,7594.0,17,7593.0,36,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988245636968960,1597988246232999936,2020-08-21 13:37:26.233000,7594.0,7715.0,7552.0,7710.0,nan,7621.0,336332,12816823320.0,253087,7594.0,20,7593.0,36,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988246681740032,1597988247234999808,2020-08-21 13:37:27.235000,7594.0,7715.0,7552.0,7710.0,nan,7621.0,336332,12816823320.0,253087,7594.0,24,7593.0,36,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988248182243072,1597988248727000064,2020-08-21 13:37:28.727000,7593.0,7715.0,7552.0,7710.0,nan,7621.0,336333,12816861285.0,253088,7594.0,24,7593.0,35,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988248644841984,1597988249240000000,2020-08-21 13:37:29.240000,7593.0,7715.0,7552.0,7710.0,nan,7621.0,336333,12816861285.0,253088,7594.0,25,7593.0,44,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988249183693056,1597988249731000064,2020-08-21 13:37:29.731000,7594.0,7715.0,7552.0,7710.0,nan,7621.0,336349,12817468805.0,253078,7594.0,8,7593.0,64,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988249644409088,1597988250240000000,2020-08-21 13:37:30.240000,7593.0,7715.0,7552.0,7710.0,nan,7621.0,336377,12818531905.0,253075,7595.0,186,7593.0,52,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988250210697984,1597988250739000064,2020-08-21 13:37:30.739000,7593.0,7715.0,7552.0,7710.0,nan,7621.0,336381,12818683785.0,253075,7595.0,185,7593.0,51,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988251660958976,1597988252190000128,2020-08-21 13:37:32.190000,7593.0,7715.0,7552.0,7710.0,nan,7621.0,336381,12818683785.0,253075,7595.0,186,7593.0,52,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988252145415936,1597988252742000128,2020-08-21 13:37:32.742000,7593.0,7715.0,7552.0,7710.0,nan,7621.0,336385,12818835650.0,253077,7594.0,5,7593.0,51,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988252681437952,1597988253240000000,2020-08-21 13:37:33.240000,7594.0,7715.0,7552.0,7710.0,nan,7621.0,336386,12818873620.0,253078,7594.0,19,7593.0,53,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988253192288000,1597988253730000128,2020-08-21 13:37:33.730000,7593.0,7715.0,7552.0,7710.0,nan,7621.0,336387,12818911585.0,253079,7594.0,18,7593.0,53,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988253676471040,1597988254232000000,2020-08-21 13:37:34.232000,7593.0,7715.0,7552.0,7710.0,nan,7621.0,336449,12821265445.0,253124,7593.0,4,7592.0,37,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988254175503104,1597988254739000064,2020-08-21 13:37:34.739000,7592.0,7715.0,7552.0,7710.0,nan,7621.0,336489,12822783845.0,253148,7593.0,23,7592.0,2,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988254644642048,1597988255228000000,2020-08-21 13:37:35.228000,7592.0,7715.0,7552.0,7710.0,nan,7621.0,336491,12822859765.0,253147,7593.0,23,7592.0,5,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988255176448000,1597988255737999872,2020-08-21 13:37:35.738000,7592.0,7715.0,7552.0,7710.0,nan,7621.0,336494,12822973645.0,253144,7593.0,23,7592.0,2,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988255666398976,1597988256232999936,2020-08-21 13:37:36.233000,7592.0,7715.0,7552.0,7710.0,nan,7621.0,336495,12823011605.0,253143,7593.0,23,7592.0,4,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
