local_nano_time,quote_nano_time,datetime,last_price,highest,lowest,open,close,average,volume,amount,open_interest,ask_price1,ask_volume1,bid_price1,bid_volume1,ask_price2,ask_volume2,bid_price2,bid_volume2,ask_price3,ask_volume3,bid_price3,bid_volume3,ask_price4,ask_volume4,bid_price4,bid_volume4,ask_price5,ask_volume5,bid_price5,bid_volume5
1597988226568752896,1597988226913000192,2020-08-21 13:37:06.913000,6540.0,6605.8,6523.0,6540.0,nan,6563.508,83476,109579077360.0,116065,6539.8,2,6538.6,1,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988227077241088,1597988227436000000,2020-08-21 13:37:07.436000,6540.0,6605.8,6523.0,6540.0,nan,6563.508,83476,109579077360.0,116065,6539.0,1,6538.6,1,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988227562855936,1597988227936000000,2020-08-21 13:37:07.936000,6539.0,6605.8,6523.0,6540.0,nan,6563.507,83479,109583000920.0,116067,6538.8,2,6538.6,1,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988228079693056,1597988228427000064,2020-08-21 13:37:08.427000,6538.8,6605.8,6523.0,6540.0,nan,6563.504,83488,109594770760.0,116072,6538.8,1,6538.6,1,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988228560218112,1597988228901999872,2020-08-21 13:37:08.902000,6538.8,6605.8,6523.0,6540.0,nan,6563.504,83490,109597386280.0,116073,6539.8,2,6539.0,1,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988229081423104,1597988229431000064,2020-08-21 13:37:09.431000,6539.8,6605.8,6523.0,6540.0,nan,6563.504,83491,109598694240.0,116074,6539.8,1,6538.8,3,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988229562113024,1597988229932000000,2020-08-21 13:37:09.932000,6540.0,6605.8,6523.0,6540.0,nan,6563.503,83494,109602618200.0,116075,6540.0,2,6539.0,3,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988230067343104,1597988230432000000,2020-08-21 13:37:10.432000,6540.0,6605.8,6523.0,6540.0,nan,6563.502,83498,109607850200.0,116075,6540.8,2,6540.4,2,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988230551179008,1597988230935000064,2020-08-21 13:37:10.935000,6539.2,6605.8,6523.0,6540.0,nan,6563.501,83500,109610465920.0,116074,6540.2,3,6539.0,3,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988231048416000,1597988231436999936,2020-08-21 13:37:11.437000,6539.8,6605.8,6523.0,6540.0,nan,6563.5,83502,109613081840.0,116075,6540.2,1,6540.0,2,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988231559441920,1597988231910000128,2020-08-21 13:37:11.910000,6540.0,6605.8,6523.0,6540.0,nan,6563.499,83506,109618313680.0,116079,6539.8,1,6539.0,1,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988232043612928,1597988232423000064,2020-08-21 13:37:12.423000,6538.8,6605.8,6523.0,6540.0,nan,6563.499,83507,109619621440.0,116080,6540.0,1,6538.8,2,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988232540983040,1597988232932000000,2020-08-21 13:37:12.932000,6539.0,6605.8,6523.0,6540.0,nan,6563.499,83508,109620929240.0,116081,6539.0,1,6538.8,2,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988233042792960,1597988233405999872,2020-08-21 13:37:13.406000,6539.8,6605.8,6523.0,6540.0,nan,6563.497,83514,109628776280.0,116084,6540.0,1,6539.8,1,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988233545124096,1597988233912000000,2020-08-21 13:37:13.912000,6539.8,6605.8,6523.0,6540.0,nan,6563.497,83515,109630084240.0,116085,6540.0,2,6539.8,2,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988234047983104,1597988234427000064,2020-08-21 13:37:14.427000,6539.8,6605.8,6523.0,6540.0,nan,6563.497,83515,109630084240.0,116085,6540.0,2,6539.8,2,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988234552612096,1597988234937999872,2020-08-21 13:37:14.938000,6540.0,6605.8,6523.0,6540.0,nan,6563.496,83517,109632700240.0,116087,6540.8,1,6540.0,1,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988235035831040,1597988235413000192,2020-08-21 13:37:15.413000,6541.0,6605.8,6523.0,6540.0,nan,6563.495,83520,109636624600.0,116090,6541.0,4,6540.0,1,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
