local_nano_time,quote_nano_time,datetime,last_price,highest,lowest,open,close,average,volume,amount,open_interest,ask_price1,ask_volume1,bid_price1,bid_volume1,ask_price2,ask_volume2,bid_price2,bid_volume2,ask_price3,ask_volume3,bid_price3,bid_volume3,ask_price4,ask_volume4,bid_price4,bid_volume4,ask_price5,ask_volume5,bid_price5,bid_volume5
1597988230115247104,1597988230432000000,2020-08-21 13:37:10.432000,4694.6,4719.6,4680.0,4691.6,nan,4699.5,71060,100184541360.0,112512,4695.0,1,4694.4,2,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988230538938112,1597988230935000064,2020-08-21 13:37:10.935000,4694.6,4719.6,4680.0,4691.6,nan,4699.5,71064,100190175060.0,112513,4695.2,3,4694.4,3,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988231039596032,1597988231436999936,2020-08-21 13:37:11.437000,4694.6,4719.6,4680.0,4691.6,nan,4699.5,71064,100190175060.0,112513,4695.0,1,4694.4,3,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988231533630976,1597988231910000128,2020-08-21 13:37:11.910000,4695.0,4719.6,4680.0,4691.6,nan,4699.5,71065,100191583560.0,112513,4695.2,3,4694.4,3,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988232032313088,1597988232423000064,2020-08-21 13:37:12.423000,4695.0,4719.6,4680.0,4691.6,nan,4699.5,71065,100191583560.0,112513,4695.2,3,4694.4,3,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988232532563968,1597988232932000000,2020-08-21 13:37:12.932000,4694.4,4719.6,4680.0,4691.6,nan,4699.5,71067,100194400380.0,112514,4695.2,3,4694.4,2,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988233032531968,1597988233405999872,2020-08-21 13:37:13.406000,4694.4,4719.6,4680.0,4691.6,nan,4699.5,71068,100195808700.0,112515,4695.2,4,4694.6,1,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988233532643072,1597988233912000000,2020-08-21 13:37:13.912000,4694.4,4719.6,4680.0,4691.6,nan,4699.5,71069,100197217020.0,112515,4695.2,4,4694.4,2,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988234034022912,1597988234427000064,2020-08-21 13:37:14.427000,4694.4,4719.6,4680.0,4691.6,nan,4699.5,71069,100197217020.0,112515,4695.2,4,4694.4,3,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988234536773120,1597988234937999872,2020-08-21 13:37:14.938000,4694.4,4719.6,4680.0,4691.6,nan,4699.5,71070,100198625340.0,112516,4695.0,1,4694.4,3,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988235532080896,1597988235905999872,2020-08-21 13:37:15.906000,4695.0,4719.6,4680.0,4691.6,nan,4699.5,71071,100200033840.0,112517,4695.2,4,4694.6,1,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988236034900992,1597988236432000000,2020-08-21 13:37:16.432000,4695.0,4719.6,4680.0,4691.6,nan,4699.5,71072,100201442340.0,112517,4695.0,4,4694.6,2,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988236553409024,1597988236918999808,2020-08-21 13:37:16.919000,4695.0,4719.6,4680.0,4691.6,nan,4699.5,71074,100204259340.0,112519,4695.0,2,4694.6,1,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988237040083968,1597988237435000064,2020-08-21 13:37:17.435000,4694.2,4719.6,4680.0,4691.6,nan,4699.5,71081,100214117520.0,112519,4694.4,3,4694.0,4,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988237543341056,1597988237934000128,2020-08-21 13:37:17.934000,4694.2,4719.6,4680.0,4691.6,nan,4699.5,71081,100214117520.0,112519,4694.4,1,4694.0,5,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988238042382080,1597988238430000128,2020-08-21 13:37:18.430000,4694.0,4719.6,4680.0,4691.6,nan,4699.5,71083,100216933920.0,112521,4694.4,1,4694.0,2,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988238539717120,1597988238932000000,2020-08-21 13:37:18.932000,4693.4,4719.6,4680.0,4691.6,nan,4699.5,71089,100225382760.0,112521,4694.8,2,4693.4,4,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988239039522048,1597988239420999936,2020-08-21 13:37:19.421000,4693.4,4719.6,4680.0,4691.6,nan,4699.5,71092,100229606820.0,112522,4694.0,1,4693.4,2,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988239551429888,1597988239932000000,2020-08-21 13:37:19.932000,4693.8,4719.6,4680.0,4691.6,nan,4699.5,71094,100232422980.0,112522,4694.0,1,4693.4,1,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988240041577984,1597988240416999936,2020-08-21 13:37:20.417000,4693.8,4719.6,4680.0,4691.6,nan,4699.5,71095,100233831120.0,112523,4694.0,2,4693.4,1,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988240541083904,1597988240916000000,2020-08-21 13:37:20.916000,4693.2,4719.6,4680.0,4691.6,nan,4699.5,71097,100236647100.0,112525,4693.4,1,4693.2,4,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988241077816064,1597988241423000064,2020-08-21 13:37:21.423000,4693.8,4719.6,4680.0,4691.6,nan,4699.5,71101,100242279420.0,112527,4694.0,3,4693.8,1,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988241549654016,1597988241936000000,2020-08-21 13:37:21.936000,4693.8,4719.6,4680.0,4691.6,nan,4699.5,71111,100256359620.0,112536,4693.8,5,4693.0,11,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988242053346048,1597988242423000064,2020-08-21 13:37:22.423000,4693.0,4719.6,4680.0,4691.6,nan,4699.5,71123,100273254420.0,112544,4693.0,1,4692.8,2,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988242556294912,1597988242935000064,2020-08-21 13:37:22.935000,4693.0,4719.6,4680.0,4691.6,nan,4699.5,71128,100280293800.0,112542,4693.4,1,4692.6,12,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988243082736896,1597988243432000000,2020-08-21 13:37:23.432000,4692.8,4719.6,4680.0,4691.6,nan,4699.5,71131,100284517200.0,112545,4692.8,2,4692.6,10,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988243550608896,1597988243917999872,2020-08-21 13:37:23.918000,4692.8,4719.6,4680.0,4691.6,nan,4699.5,71136,100291556160.0,112542,4693.2,3,4692.6,6,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988244077517056,1597988244433000192,2020-08-21 13:37:24.433000,4692.6,4719.6,4680.0,4691.6,nan,4699.5,71139,100295779500.0,112541,4693.2,3,4692.8,1,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988244543316992,1597988244932000000,2020-08-21 13:37:24.932000,4693.0,4719.6,4680.0,4691.6,nan,4699.5,71141,100298595180.0,112543,4692.8,4,4692.6,6,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988245052555008,1597988245427000064,2020-08-21 13:37:25.427000,4692.8,4719.6,4680.0,4691.6,nan,4699.5,71143,100301410860.0,112545,4692.8,3,4692.6,6,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988245542167040,1597988245882999808,2020-08-21 13:37:25.883000,4692.6,4719.6,4680.0,4691.6,nan,4699.5,71146,100305634320.0,112545,4692.8,1,4692.6,5,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988246073587968,1597988246423000064,2020-08-21 13:37:26.423000,4692.6,4719.6,4680.0,4691.6,nan,4699.5,71152,100314081000.0,112549,4692.6,1,4692.2,11,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988246559013120,1597988246932000000,2020-08-21 13:37:26.932000,4692.6,4719.6,4680.0,4691.6,nan,4699.5,71158,100322527320.0,112553,4692.4,2,4692.2,8,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988247079118080,1597988247436999936,2020-08-21 13:37:27.437000,4692.2,4719.6,4680.0,4691.6,nan,4699.5,71167,100335196500.0,112553,4692.6,1,4692.4,2,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988247544601088,1597988247912000000,2020-08-21 13:37:27.912000,4692.2,4719.6,4680.0,4691.6,nan,4699.5,71175,100346458500.0,112557,4693.0,1,4692.0,10,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988248053015040,1597988248420999936,2020-08-21 13:37:28.421000,4692.2,4719.6,4680.0,4691.6,nan,4699.5,71181,100354905120.0,112557,4692.8,1,4692.2,1,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988248558223104,1597988248938999808,2020-08-21 13:37:28.939000,4692.2,4719.6,4680.0,4691.6,nan,4699.5,71181,100354905120.0,112557,4692.8,2,4692.6,2,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988249043535872,1597988249420000000,2020-08-21 13:37:29.420000,4692.6,4719.6,4680.0,4691.6,nan,4699.5,71184,100359128580.0,112559,4693.0,1,4692.6,1,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988249543727104,1597988249930000128,2020-08-21 13:37:29.930000,4692.6,4719.6,4680.0,4691.6,nan,4699.5,71189,100366167600.0,112562,4692.6,22,4692.4,1,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988250052734976,1597988250435000064,2020-08-21 13:37:30.435000,4692.4,4719.6,4680.0,4691.6,nan,4699.5,71192,100370390700.0,112564,4692.4,6,4692.2,1,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988250563005952,1597988250933000192,2020-08-21 13:37:30.933000,4692.2,4719.6,4680.0,4691.6,nan,4699.5,71193,100371798360.0,112565,4692.2,1,4692.0,9,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988251050554880,1597988251436000000,2020-08-21 13:37:31.436000,4692.2,4719.6,4680.0,4691.6,nan,4699.5,71201,100383059400.0,112567,4692.2,1,4692.0,5,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988251545662976,1597988251914000128,2020-08-21 13:37:31.914000,4692.2,4719.6,4680.0,4691.6,nan,4699.5,71206,100390097460.0,112568,4692.4,6,4692.0,1,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988252043561984,1597988252421999872,2020-08-21 13:37:32.422000,4692.0,4719.6,4680.0,4691.6,nan,4699.5,71207,100391505060.0,112569,4692.0,3,4691.8,4,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988252555518976,1597988252933000192,2020-08-21 13:37:32.933000,4691.8,4719.6,4680.0,4691.6,nan,4699.5,71212,100398542880.0,112571,4692.0,1,4691.8,1,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988253080040960,1597988253424000000,2020-08-21 13:37:33.424000,4691.4,4719.6,4680.0,4691.6,nan,4699.5,71215,100402765440.0,112573,4692.2,2,4691.2,4,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988253553690112,1597988253898999808,2020-08-21 13:37:33.899000,4691.2,4719.6,4680.0,4691.6,nan,4699.5,71225,100416839880.0,112569,4692.2,2,4691.8,1,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988254056133888,1597988254438999808,2020-08-21 13:37:34.439000,4692.0,4719.6,4680.0,4691.6,nan,4699.5,71233,100428100320.0,112565,4692.2,2,4692.0,1,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988254553186048,1597988254935000064,2020-08-21 13:37:34.935000,4691.0,4719.6,4680.0,4691.6,nan,4699.5,71239,100436544600.0,112570,4691.8,2,4691.0,14,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988255079567104,1597988255433000192,2020-08-21 13:37:35.433000,4691.8,4719.6,4680.0,4691.6,nan,4699.5,71249,100450618980.0,112574,4692.0,4,4691.4,1,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988255563952128,1597988255931000064,2020-08-21 13:37:35.931000,4691.6,4719.6,4680.0,4691.6,nan,4699.5,71256,100460471880.0,112576,4691.8,1,4691.6,1,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988256080070912,1597988256426000128,2020-08-21 13:37:36.426000,4692.0,4719.6,4680.0,4691.6,nan,4699.5,71263,100470325020.0,112578,4692.2,4,4692.0,5,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988256560168960,1597988256924999936,2020-08-21 13:37:36.925000,4692.2,4719.6,4680.0,4691.6,nan,4699.5,71278,100491440280.0,112589,4692.6,20,4692.2,5,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988257059503104,1597988257427000064,2020-08-21 13:37:37.427000,4692.4,4719.6,4680.0,4691.6,nan,4699.5,71299,100521003600.0,112595,4692.6,1,4692.2,3,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
