local_nano_time,quote_nano_time,datetime,last_price,highest,lowest,open,close,average,volume,amount,open_interest,ask_price1,ask_volume1,bid_price1,bid_volume1,ask_price2,ask_volume2,bid_price2,bid_volume2,ask_price3,ask_volume3,bid_price3,bid_volume3,ask_price4,ask_volume4,bid_price4,bid_volume4,ask_price5,ask_volume5,bid_price5,bid_volume5
1597988231040477952,1597988231436999936,2020-08-21 13:37:11.437000,3279.2,3300.0,3265.6,3282.0,nan,3281.3,27047,26625085380.0,43180,3279.8,1,3279.2,2,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988231534597120,1597988231910000128,2020-08-21 13:37:11.910000,3279.2,3300.0,3265.6,3282.0,nan,3281.3,27047,26625085380.0,43180,3279.8,1,3279.4,1,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988232533051904,1597988232932000000,2020-08-21 13:37:12.932000,3279.2,3300.0,3265.6,3282.0,nan,3281.3,27047,26625085380.0,43180,3279.8,1,3279.4,1,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988233032901120,1597988233405999872,2020-08-21 13:37:13.406000,3279.2,3300.0,3265.6,3282.0,nan,3281.3,27047,26625085380.0,43180,3279.8,1,3279.4,1,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988233532983040,1597988233912000000,2020-08-21 13:37:13.912000,3279.2,3300.0,3265.6,3282.0,nan,3281.3,27047,26625085380.0,43180,3279.8,1,3279.4,2,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988234034365952,1597988234427000064,2020-08-21 13:37:14.427000,3279.8,3300.0,3265.6,3282.0,nan,3281.3,27048,26626069320.0,43181,3280.0,21,3279.4,2,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988234537257984,1597988234937999872,2020-08-21 13:37:14.938000,3279.8,3300.0,3265.6,3282.0,nan,3281.3,27049,26627053260.0,43182,3280.0,17,3279.4,2,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988235030320896,1597988235413000192,2020-08-21 13:37:15.413000,3279.8,3300.0,3265.6,3282.0,nan,3281.3,27049,26627053260.0,43182,3280.0,17,3279.4,2,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988235532421120,1597988235905999872,2020-08-21 13:37:15.906000,3279.8,3300.0,3265.6,3282.0,nan,3281.3,27049,26627053260.0,43182,3279.8,1,3279.4,2,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988236035228928,1597988236432000000,2020-08-21 13:37:16.432000,3279.4,3300.0,3265.6,3282.0,nan,3281.3,27050,26628037080.0,43181,3279.8,1,3279.4,1,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988236553988096,1597988236918999808,2020-08-21 13:37:16.919000,3279.4,3300.0,3265.6,3282.0,nan,3281.3,27051,26629020900.0,43181,3279.8,1,3279.2,5,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
