local_nano_time,quote_nano_time,datetime,last_price,highest,lowest,open,close,average,volume,amount,open_interest,ask_price1,ask_volume1,bid_price1,bid_volume1,ask_price2,ask_volume2,bid_price2,bid_volume2,ask_price3,ask_volume3,bid_price3,bid_volume3,ask_price4,ask_volume4,bid_price4,bid_volume4,ask_price5,ask_volume5,bid_price5,bid_volume5
1597988226568445952,1597988226913000192,2020-08-21 13:37:06.913000,3279.4,3300.0,3265.6,3282.0,nan,3281.336,27039,26617214700.0,43174,3279.4,2,3279.2,3,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988227076911104,1597988227436000000,2020-08-21 13:37:07.436000,3279.2,3300.0,3265.6,3282.0,nan,3281.336,27044,26622133740.0,43178,3279.8,1,3279.2,1,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988227562566912,1597988227936000000,2020-08-21 13:37:07.936000,3279.8,3300.0,3265.6,3282.0,nan,3281.336,27046,26624101620.0,43180,3279.2,1,3279.0,3,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988228079399936,1597988228427000064,2020-08-21 13:37:08.427000,3279.2,3300.0,3265.6,3282.0,nan,3281.336,27047,26625085380.0,43180,3280.0,14,3279.4,1,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988228559836928,1597988228901999872,2020-08-21 13:37:08.902000,3279.2,3300.0,3265.6,3282.0,nan,3281.336,27047,26625085380.0,43180,3279.8,1,3279.2,4,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988231047984128,1597988231436999936,2020-08-21 13:37:11.437000,3279.2,3300.0,3265.6,3282.0,nan,3281.336,27047,26625085380.0,43180,3279.8,1,3279.2,2,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988231558874112,1597988231910000128,2020-08-21 13:37:11.910000,3279.2,3300.0,3265.6,3282.0,nan,3281.336,27047,26625085380.0,43180,3279.8,1,3279.4,1,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988232540549120,1597988232932000000,2020-08-21 13:37:12.932000,3279.2,3300.0,3265.6,3282.0,nan,3281.336,27047,26625085380.0,43180,3279.8,1,3279.4,1,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988233042464000,1597988233405999872,2020-08-21 13:37:13.406000,3279.2,3300.0,3265.6,3282.0,nan,3281.336,27047,26625085380.0,43180,3279.8,1,3279.4,1,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988233544795904,1597988233912000000,2020-08-21 13:37:13.912000,3279.2,3300.0,3265.6,3282.0,nan,3281.336,27047,26625085380.0,43180,3279.8,1,3279.4,2,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988234047649024,1597988234427000064,2020-08-21 13:37:14.427000,3279.8,3300.0,3265.6,3282.0,nan,3281.336,27048,26626069320.0,43181,3280.0,21,3279.4,2,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988234552278016,1597988234937999872,2020-08-21 13:37:14.938000,3279.8,3300.0,3265.6,3282.0,nan,3281.336,27049,26627053260.0,43182,3280.0,17,3279.4,2,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988235035335936,1597988235413000192,2020-08-21 13:37:15.413000,3279.8,3300.0,3265.6,3282.0,nan,3281.336,27049,26627053260.0,43182,3280.0,17,3279.4,2,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988235542412032,1597988235905999872,2020-08-21 13:37:15.906000,3279.8,3300.0,3265.6,3282.0,nan,3281.336,27049,26627053260.0,43182,3279.8,1,3279.4,2,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988236045989888,1597988236432000000,2020-08-21 13:37:16.432000,3279.4,3300.0,3265.6,3282.0,nan,3281.335,27050,26628037080.0,43181,3279.8,1,3279.4,1,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988236546083072,1597988236918999808,2020-08-21 13:37:16.919000,3279.4,3300.0,3265.6,3282.0,nan,3281.335,27051,26629020900.0,43181,3279.8,1,3279.2,5,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988237051389952,1597988237435000064,2020-08-21 13:37:17.435000,3279.4,3300.0,3265.6,3282.0,nan,3281.335,27051,26629020900.0,43181,3279.8,1,3279.2,4,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988237553895936,1597988237934000128,2020-08-21 13:37:17.934000,3279.2,3300.0,3265.6,3282.0,nan,3281.335,27055,26632955940.0,43184,3279.2,6,3279.0,3,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988238060005120,1597988238430000128,2020-08-21 13:37:18.430000,3279.0,3300.0,3265.6,3282.0,nan,3281.335,27057,26634923340.0,43182,3279.2,1,3279.0,1,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988238552614912,1597988238932000000,2020-08-21 13:37:18.932000,3279.2,3300.0,3265.6,3282.0,nan,3281.335,27059,26636890800.0,43184,3279.6,4,3278.4,1,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988239056489984,1597988239420999936,2020-08-21 13:37:19.421000,3279.2,3300.0,3265.6,3282.0,nan,3281.335,27059,26636890800.0,43184,3279.4,2,3278.6,2,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
