local_nano_time,quote_nano_time,datetime,last_price,highest,lowest,open,close,average,volume,amount,open_interest,ask_price1,ask_volume1,bid_price1,bid_volume1,ask_price2,ask_volume2,bid_price2,bid_volume2,ask_price3,ask_volume3,bid_price3,bid_volume3,ask_price4,ask_volume4,bid_price4,bid_volume4,ask_price5,ask_volume5,bid_price5,bid_volume5
1597988233033559040,1597988233405999872,2020-08-21 13:37:13.406000,100.015,100.03,99.885,99.935,nan,99.963,9862,9858344000.0,30627,100.015,22,100.01,10,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988237044389888,1597988237435000064,2020-08-21 13:37:17.435000,100.015,100.03,99.885,99.935,nan,99.963,9863,9859344150.0,30627,100.015,21,100.01,10,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988237544860928,1597988237934000128,2020-08-21 13:37:17.934000,100.015,100.03,99.885,99.935,nan,99.963,9863,9859344150.0,30627,100.015,21,100.01,11,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988238043378944,1597988238430000128,2020-08-21 13:37:18.430000,100.015,100.03,99.885,99.935,nan,99.963,9863,9859344150.0,30627,100.015,21,100.01,11,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988241553368064,1597988241936000000,2020-08-21 13:37:21.936000,100.015,100.03,99.885,99.935,nan,99.963,9863,9859344150.0,30627,100.015,21,100.01,11,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988246077494016,1597988246423000064,2020-08-21 13:37:26.423000,100.015,100.03,99.885,99.935,nan,99.963,9863,9859344150.0,30627,100.015,41,100.01,11,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988246562052096,1597988246932000000,2020-08-21 13:37:26.932000,100.015,100.03,99.885,99.935,nan,99.963,9863,9859344150.0,30627,100.015,41,100.01,11,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988249044544000,1597988249420000000,2020-08-21 13:37:29.420000,100.015,100.03,99.885,99.935,nan,99.963,9863,9859344150.0,30627,100.015,41,100.01,11,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988249545733120,1597988249930000128,2020-08-21 13:37:29.930000,100.015,100.03,99.885,99.935,nan,99.963,9863,9859344150.0,30627,100.015,41,100.01,11,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988250566127104,1597988250933000192,2020-08-21 13:37:30.933000,100.015,100.03,99.885,99.935,nan,99.963,9863,9859344150.0,30627,100.015,41,100.01,11,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988251052837120,1597988251436000000,2020-08-21 13:37:31.436000,100.015,100.03,99.885,99.935,nan,99.963,9863,9859344150.0,30627,100.015,41,100.01,11,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988252557014016,1597988252933000192,2020-08-21 13:37:32.933000,100.01,100.03,99.885,99.935,nan,99.963,9864,9860344250.0,30628,100.015,41,100.01,10,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988253080773120,1597988253424000000,2020-08-21 13:37:33.424000,100.01,100.03,99.885,99.935,nan,99.963,9865,9861344350.0,30629,100.015,42,100.01,10,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988253554850048,1597988253898999808,2020-08-21 13:37:33.899000,100.01,100.03,99.885,99.935,nan,99.963,9866,9862344450.0,30630,100.015,42,100.01,9,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988256562449920,1597988256924999936,2020-08-21 13:37:36.925000,100.01,100.03,99.885,99.935,nan,99.963,9875,9871345350.0,30636,100.015,42,100.01,4,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
