local_nano_time,quote_nano_time,datetime,last_price,highest,lowest,open,close,average,volume,amount,open_interest,ask_price1,ask_volume1,bid_price1,bid_volume1,ask_price2,ask_volume2,bid_price2,bid_volume2,ask_price3,ask_volume3,bid_price3,bid_volume3,ask_price4,ask_volume4,bid_price4,bid_volume4,ask_price5,ask_volume5,bid_price5,bid_volume5
1597988245563862016,1597988245882999808,2020-08-21 13:37:25.883000,100.355,100.375,100.32,100.33,nan,100.343,2431,4878674500.0,11089,100.355,14,100.35,14,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988246107335936,1597988246423000064,2020-08-21 13:37:26.423000,100.355,100.375,100.32,100.33,nan,100.343,2431,4878674500.0,11089,100.355,12,100.35,16,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988246579388928,1597988246932000000,2020-08-21 13:37:26.932000,100.355,100.375,100.32,100.33,nan,100.343,2431,4878674500.0,11089,100.355,11,100.35,17,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988247061875968,1597988247436999936,2020-08-21 13:37:27.437000,100.355,100.375,100.32,100.33,nan,100.343,2431,4878674500.0,11089,100.355,11,100.35,17,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988247572681984,1597988247912000000,2020-08-21 13:37:27.912000,100.355,100.375,100.32,100.33,nan,100.343,2431,4878674500.0,11089,100.355,11,100.35,17,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988248074194944,1597988248420999936,2020-08-21 13:37:28.421000,100.355,100.375,100.32,100.33,nan,100.343,2431,4878674500.0,11089,100.355,11,100.35,17,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988248560108032,1597988248938999808,2020-08-21 13:37:28.939000,100.355,100.375,100.32,100.33,nan,100.343,2431,4878674500.0,11089,100.355,11,100.35,17,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988249059697920,1597988249420000000,2020-08-21 13:37:29.420000,100.355,100.375,100.32,100.33,nan,100.343,2431,4878674500.0,11089,100.355,11,100.35,17,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988249557630976,1597988249930000128,2020-08-21 13:37:29.930000,100.355,100.375,100.32,100.33,nan,100.343,2431,4878674500.0,11089,100.355,11,100.35,17,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988250074755072,1597988250435000064,2020-08-21 13:37:30.435000,100.355,100.375,100.32,100.33,nan,100.343,2431,4878674500.0,11089,100.355,11,100.35,17,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988250576072960,1597988250933000192,2020-08-21 13:37:30.933000,100.355,100.375,100.32,100.33,nan,100.343,2431,4878674500.0,11089,100.355,11,100.35,17,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988251074032896,1597988251436000000,2020-08-21 13:37:31.436000,100.355,100.375,100.32,100.33,nan,100.343,2431,4878674500.0,11089,100.355,11,100.35,17,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
