local_nano_time,quote_nano_time,datetime,last_price,highest,lowest,open,close,average,volume,amount,open_interest,ask_price1,ask_volume1,bid_price1,bid_volume1,ask_price2,ask_volume2,bid_price2,bid_volume2,ask_price3,ask_volume3,bid_price3,bid_volume3,ask_price4,ask_volume4,bid_price4,bid_volume4,ask_price5,ask_volume5,bid_price5,bid_volume5
1597988230116623872,1597988230432000000,2020-08-21 13:37:10.432000,98.395,98.415,98.19,98.195,nan,98.296,29005,28510888100.0,71475,98.4,16,98.395,86,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988230539721984,1597988230935000064,2020-08-21 13:37:10.935000,98.4,98.415,98.19,98.195,nan,98.296,29007,28512856100.0,71477,98.4,24,98.395,86,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988231041605120,1597988231436999936,2020-08-21 13:37:11.437000,98.4,98.415,98.19,98.195,nan,98.296,29007,28512856100.0,71477,98.4,22,98.395,86,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988231535269120,1597988231910000128,2020-08-21 13:37:11.910000,98.4,98.415,98.19,98.195,nan,98.296,29007,28512856100.0,71477,98.4,22,98.395,88,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988232032998912,1597988232423000064,2020-08-21 13:37:12.423000,98.4,98.415,98.19,98.195,nan,98.296,29007,28512856100.0,71477,98.4,22,98.395,88,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988232533746944,1597988232932000000,2020-08-21 13:37:12.932000,98.395,98.415,98.19,98.195,nan,98.296,29008,28513840050.0,71477,98.4,22,98.395,87,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988233033892096,1597988233405999872,2020-08-21 13:37:13.406000,98.4,98.415,98.19,98.195,nan,98.296,29009,28514824050.0,71478,98.4,24,98.395,85,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988233533651968,1597988233912000000,2020-08-21 13:37:13.912000,98.4,98.415,98.19,98.195,nan,98.296,29009,28514824050.0,71478,98.4,24,98.395,87,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988234045049088,1597988234427000064,2020-08-21 13:37:14.427000,98.395,98.415,98.19,98.195,nan,98.296,29010,28515808000.0,71477,98.4,24,98.395,86,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988234537932032,1597988234937999872,2020-08-21 13:37:14.938000,98.395,98.415,98.19,98.195,nan,98.296,29010,28515808000.0,71477,98.4,24,98.395,84,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988235031002112,1597988235413000192,2020-08-21 13:37:15.413000,98.395,98.415,98.19,98.195,nan,98.296,29010,28515808000.0,71477,98.4,26,98.395,84,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988236554712064,1597988236918999808,2020-08-21 13:37:16.919000,98.395,98.415,98.19,98.195,nan,98.296,29010,28515808000.0,71477,98.4,27,98.395,84,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988237545157888,1597988237934000128,2020-08-21 13:37:17.934000,98.395,98.415,98.19,98.195,nan,98.296,29010,28515808000.0,71477,98.4,27,98.395,84,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988239552451072,1597988239932000000,2020-08-21 13:37:19.932000,98.395,98.415,98.19,98.195,nan,98.296,29011,28516791950.0,71477,98.4,27,98.395,83,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
