local_nano_time,quote_nano_time,datetime,last_price,highest,lowest,open,close,average,volume,amount,open_interest,ask_price1,ask_volume1,bid_price1,bid_volume1,ask_price2,ask_volume2,bid_price2,bid_volume2,ask_price3,ask_volume3,bid_price3,bid_volume3,ask_price4,ask_volume4,bid_price4,bid_volume4,ask_price5,ask_volume5,bid_price5,bid_volume5
1597988226569562112,1597988226913000192,2020-08-21 13:37:06.913000,98.4,98.415,98.19,98.195,nan,98.296,28993,28499080200.0,71464,98.4,25,98.395,91,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988227078151936,1597988227436000000,2020-08-21 13:37:07.436000,98.4,98.415,98.19,98.195,nan,98.296,28993,28499080200.0,71464,98.4,25,98.395,91,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988227563886080,1597988227936000000,2020-08-21 13:37:07.936000,98.395,98.415,98.19,98.195,nan,98.296,28994,28500064150.0,71465,98.4,26,98.395,90,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988228080279040,1597988228427000064,2020-08-21 13:37:08.427000,98.395,98.415,98.19,98.195,nan,98.296,28994,28500064150.0,71465,98.4,26,98.395,90,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988228560590080,1597988228901999872,2020-08-21 13:37:08.902000,98.395,98.415,98.19,98.195,nan,98.296,28994,28500064150.0,71465,98.4,26,98.395,90,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988229082019072,1597988229431000064,2020-08-21 13:37:09.431000,98.395,98.415,98.19,98.195,nan,98.296,28994,28500064150.0,71465,98.4,26,98.395,87,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988229562414080,1597988229932000000,2020-08-21 13:37:09.932000,98.4,98.415,98.19,98.195,nan,98.296,29004,28509904150.0,71475,98.4,16,98.395,87,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988230067883008,1597988230432000000,2020-08-21 13:37:10.432000,98.395,98.415,98.19,98.195,nan,98.296,29005,28510888100.0,71475,98.4,16,98.395,86,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988230551644928,1597988230935000064,2020-08-21 13:37:10.935000,98.4,98.415,98.19,98.195,nan,98.296,29007,28512856100.0,71477,98.4,24,98.395,86,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988231048815104,1597988231436999936,2020-08-21 13:37:11.437000,98.4,98.415,98.19,98.195,nan,98.296,29007,28512856100.0,71477,98.4,22,98.395,86,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988231559918080,1597988231910000128,2020-08-21 13:37:11.910000,98.4,98.415,98.19,98.195,nan,98.296,29007,28512856100.0,71477,98.4,22,98.395,88,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988232044016128,1597988232423000064,2020-08-21 13:37:12.423000,98.4,98.415,98.19,98.195,nan,98.296,29007,28512856100.0,71477,98.4,22,98.395,88,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988232541325056,1597988232932000000,2020-08-21 13:37:12.932000,98.395,98.415,98.19,98.195,nan,98.296,29008,28513840050.0,71477,98.4,22,98.395,87,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988233043707904,1597988233405999872,2020-08-21 13:37:13.406000,98.4,98.415,98.19,98.195,nan,98.296,29009,28514824050.0,71478,98.4,24,98.395,85,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988233545458944,1597988233912000000,2020-08-21 13:37:13.912000,98.4,98.415,98.19,98.195,nan,98.296,29009,28514824050.0,71478,98.4,24,98.395,87,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988234048323072,1597988234427000064,2020-08-21 13:37:14.427000,98.395,98.415,98.19,98.195,nan,98.296,29010,28515808000.0,71477,98.4,24,98.395,86,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988234552947968,1597988234937999872,2020-08-21 13:37:14.938000,98.395,98.415,98.19,98.195,nan,98.296,29010,28515808000.0,71477,98.4,24,98.395,84,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988235036174080,1597988235413000192,2020-08-21 13:37:15.413000,98.395,98.415,98.19,98.195,nan,98.296,29010,28515808000.0,71477,98.4,26,98.395,84,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988236546736896,1597988236918999808,2020-08-21 13:37:16.919000,98.395,98.415,98.19,98.195,nan,98.296,29010,28515808000.0,71477,98.4,27,98.395,84,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988237554878976,1597988237934000128,2020-08-21 13:37:17.934000,98.395,98.415,98.19,98.195,nan,98.296,29010,28515808000.0,71477,98.4,27,98.395,84,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988239561366016,1597988239932000000,2020-08-21 13:37:19.932000,98.395,98.415,98.19,98.195,nan,98.296,29011,28516791950.0,71477,98.4,27,98.395,83,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988240068073984,1597988240416999936,2020-08-21 13:37:20.417000,98.395,98.415,98.19,98.195,nan,98.296,29011,28516791950.0,71477,98.4,27,98.395,83,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988240551954944,1597988240916000000,2020-08-21 13:37:20.916000,98.395,98.415,98.19,98.195,nan,98.296,29011,28516791950.0,71477,98.4,47,98.395,84,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988241068878080,1597988241423000064,2020-08-21 13:37:21.423000,98.395,98.415,98.19,98.195,nan,98.297,29063,28567957350.0,71428,98.4,47,98.395,32,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988241574457088,1597988241936000000,2020-08-21 13:37:21.936000,98.395,98.415,98.19,98.195,nan,98.297,29097,28601411650.0,71426,98.4,47,98.395,1,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988242077336064,1597988242423000064,2020-08-21 13:37:22.423000,98.395,98.415,98.19,98.195,nan,98.297,29100,28604363500.0,71426,98.395,5,98.39,93,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988242570530048,1597988242935000064,2020-08-21 13:37:22.935000,98.395,98.415,98.19,98.195,nan,98.297,29105,28609283250.0,71428,98.4,49,98.395,4,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
