local_nano_time,quote_nano_time,datetime,last_price,highest,lowest,open,close,average,volume,amount,open_interest,ask_price1,ask_volume1,bid_price1,bid_volume1,ask_price2,ask_volume2,bid_price2,bid_volume2,ask_price3,ask_volume3,bid_price3,bid_volume3,ask_price4,ask_volume4,bid_price4,bid_volume4,ask_price5,ask_volume5,bid_price5,bid_volume5
1597988229742919936,1597988230227000064,2020-08-21 13:37:10.227000,1781.0,1843.0,1764.0,1840.0,nan,1796.0,1503097,53991244240.0,665403,1782.0,563,1781.0,236,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988230240204032,1597988230713999872,2020-08-21 13:37:10.714000,1782.0,1843.0,1764.0,1840.0,nan,1796.0,1503104,53991495680.0,665399,1782.0,580,1781.0,232,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988230719458048,1597988231226000128,2020-08-21 13:37:11.226000,1781.0,1843.0,1764.0,1840.0,nan,1796.0,1503140,53992788800.0,665396,1782.0,581,1781.0,205,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988231228966912,1597988231734999808,2020-08-21 13:37:11.735000,1782.0,1843.0,1764.0,1840.0,nan,1796.0,1503141,53992824720.0,665395,1782.0,617,1781.0,242,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988231726187008,1597988232226000128,2020-08-21 13:37:12.226000,1782.0,1843.0,1764.0,1840.0,nan,1796.0,1503141,53992824720.0,665395,1782.0,619,1781.0,242,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988232229494016,1597988232742000128,2020-08-21 13:37:12.742000,1781.0,1843.0,1764.0,1840.0,nan,1796.0,1503148,53993076160.0,665393,1782.0,619,1781.0,251,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988232723399936,1597988233224999936,2020-08-21 13:37:13.225000,1782.0,1843.0,1764.0,1840.0,nan,1796.0,1503151,53993183920.0,665394,1782.0,617,1781.0,251,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988233190309888,1597988233696999936,2020-08-21 13:37:13.697000,1782.0,1843.0,1764.0,1840.0,nan,1796.0,1503155,53993327600.0,665394,1782.0,614,1781.0,272,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988233719794944,1597988234216000000,2020-08-21 13:37:14.216000,1781.0,1843.0,1764.0,1840.0,nan,1796.0,1503163,53993614960.0,665390,1782.0,608,1781.0,271,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988234214316032,1597988234720999936,2020-08-21 13:37:14.721000,1781.0,1843.0,1764.0,1840.0,nan,1796.0,1503214,53995446880.0,665413,1782.0,614,1781.0,227,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
