local_nano_time,quote_nano_time,datetime,last_price,highest,lowest,open,close,average,volume,amount,open_interest,ask_price1,ask_volume1,bid_price1,bid_volume1,ask_price2,ask_volume2,bid_price2,bid_volume2,ask_price3,ask_volume3,bid_price3,bid_volume3,ask_price4,ask_volume4,bid_price4,bid_volume4,ask_price5,ask_volume5,bid_price5,bid_volume5
1597988226230064896,1597988226727000064,2020-08-21 13:37:06.727000,1782.0,1843.0,1764.0,1840.0,nan,1796.0,1502856,53982587520.0,665510,1782.0,708,1781.0,231,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988226685890048,1597988227224000000,2020-08-21 13:37:07.224000,1781.0,1843.0,1764.0,1840.0,nan,1796.0,1502869,53983054480.0,665510,1782.0,708,1781.0,202,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988227191868928,1597988227728000000,2020-08-21 13:37:07.728000,1781.0,1843.0,1764.0,1840.0,nan,1796.0,1502871,53983126320.0,665510,1782.0,706,1781.0,220,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988227691150080,1597988228239000064,2020-08-21 13:37:08.239000,1782.0,1843.0,1764.0,1840.0,nan,1796.0,1503070,53990274400.0,665409,1782.0,552,1781.0,238,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988228189370880,1597988228728000000,2020-08-21 13:37:08.728000,1782.0,1843.0,1764.0,1840.0,nan,1796.0,1503080,53990633600.0,665409,1782.0,544,1781.0,250,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988228689331968,1597988229198999808,2020-08-21 13:37:09.199000,1782.0,1843.0,1764.0,1840.0,nan,1796.0,1503091,53991028720.0,665408,1782.0,563,1781.0,241,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988229191316992,1597988229670000128,2020-08-21 13:37:09.670000,1782.0,1843.0,1764.0,1840.0,nan,1796.0,1503091,53991028720.0,665408,1782.0,568,1781.0,233,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988229695024128,1597988230227000064,2020-08-21 13:37:10.227000,1781.0,1843.0,1764.0,1840.0,nan,1796.0,1503097,53991244240.0,665403,1782.0,563,1781.0,236,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988230247991040,1597988230713999872,2020-08-21 13:37:10.714000,1782.0,1843.0,1764.0,1840.0,nan,1796.0,1503104,53991495680.0,665399,1782.0,580,1781.0,232,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988230696896000,1597988231226000128,2020-08-21 13:37:11.226000,1781.0,1843.0,1764.0,1840.0,nan,1796.0,1503140,53992788800.0,665396,1782.0,581,1781.0,205,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988231193348096,1597988231734999808,2020-08-21 13:37:11.735000,1782.0,1843.0,1764.0,1840.0,nan,1796.0,1503141,53992824720.0,665395,1782.0,617,1781.0,242,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988231697391104,1597988232226000128,2020-08-21 13:37:12.226000,1782.0,1843.0,1764.0,1840.0,nan,1796.0,1503141,53992824720.0,665395,1782.0,619,1781.0,242,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988232201714944,1597988232742000128,2020-08-21 13:37:12.742000,1781.0,1843.0,1764.0,1840.0,nan,1796.0,1503148,53993076160.0,665393,1782.0,619,1781.0,251,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988232690925056,1597988233224999936,2020-08-21 13:37:13.225000,1782.0,1843.0,1764.0,1840.0,nan,1796.0,1503151,53993183920.0,665394,1782.0,617,1781.0,251,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988233190424064,1597988233696999936,2020-08-21 13:37:13.697000,1782.0,1843.0,1764.0,1840.0,nan,1796.0,1503155,53993327600.0,665394,1782.0,614,1781.0,272,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988233698298880,1597988234216000000,2020-08-21 13:37:14.216000,1781.0,1843.0,1764.0,1840.0,nan,1796.0,1503163,53993614960.0,665390,1782.0,608,1781.0,271,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988234191540992,1597988234720999936,2020-08-21 13:37:14.721000,1781.0,1843.0,1764.0,1840.0,nan,1796.0,1503214,53995446880.0,665413,1782.0,614,1781.0,227,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988234698512896,1597988235193000192,2020-08-21 13:37:15.193000,1782.0,1843.0,1764.0,1840.0,nan,1796.0,1503222,53995734240.0,665413,1782.0,609,1781.0,227,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988235201016064,1597988235608000000,2020-08-21 13:37:15.608000,1782.0,1843.0,1764.0,1840.0,nan,1796.0,1503223,53995770160.0,665412,1782.0,610,1781.0,228,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988235862584064,1597988236221999872,2020-08-21 13:37:16.222000,1781.0,1843.0,1764.0,1840.0,nan,1796.0,1503224,53995806080.0,665412,1782.0,611,1781.0,228,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988236218372096,1597988236734999808,2020-08-21 13:37:16.735000,1781.0,1843.0,1764.0,1840.0,nan,1796.0,1503398,54002056160.0,665356,1782.0,610,1781.0,64,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988236694479872,1597988237232000000,2020-08-21 13:37:17.232000,1782.0,1843.0,1764.0,1840.0,nan,1796.0,1503489,54005324880.0,665412,1781.0,1,1780.0,705,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988237203013120,1597988237740000000,2020-08-21 13:37:17.740000,1781.0,1843.0,1764.0,1840.0,nan,1796.0,1503493,54005468560.0,665411,1781.0,48,1780.0,706,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988237702053888,1597988238211000064,2020-08-21 13:37:18.211000,1780.0,1843.0,1764.0,1840.0,nan,1796.0,1503511,54006115120.0,665427,1781.0,111,1780.0,696,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988238213721088,1597988238712000000,2020-08-21 13:37:18.712000,1781.0,1843.0,1764.0,1840.0,nan,1796.0,1503534,54006941280.0,665423,1781.0,104,1780.0,691,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988238697081088,1597988239240999936,2020-08-21 13:37:19.241000,1781.0,1843.0,1764.0,1840.0,nan,1796.0,1503614,54009814880.0,665487,1781.0,70,1780.0,637,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
