local_nano_time,quote_nano_time,datetime,last_price,highest,lowest,open,close,average,volume,amount,open_interest,ask_price1,ask_volume1,bid_price1,bid_volume1,ask_price2,ask_volume2,bid_price2,bid_volume2,ask_price3,ask_volume3,bid_price3,bid_volume3,ask_price4,ask_volume4,bid_price4,bid_volume4,ask_price5,ask_volume5,bid_price5,bid_volume5
1597988255225666048,1597988255737999872,2020-08-21 13:37:35.738000,2506.0,2517.0,2506.0,2517.0,nan,2513.0,11,552860.0,102,2521.0,1,2507.0,1,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988259760226048,1597988260211000064,2020-08-21 13:37:40.211000,2506.0,2517.0,2506.0,2517.0,nan,2513.0,11,552860.0,102,2520.0,1,2507.0,1,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988268230746880,1597988268732999936,2020-08-21 13:37:48.733000,2506.0,2517.0,2506.0,2517.0,nan,2513.0,11,552860.0,102,2519.0,1,2507.0,1,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988271235329024,1597988271740000000,2020-08-21 13:37:51.740000,2506.0,2517.0,2506.0,2517.0,nan,2513.0,11,552860.0,102,2518.0,1,2507.0,1,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988276820250112,1597988277226000128,2020-08-21 13:37:57.226000,2506.0,2517.0,2506.0,2517.0,nan,2513.0,11,552860.0,102,2517.0,1,2507.0,1,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988279744104960,1597988280161999872,2020-08-21 13:38:00.162000,2506.0,2517.0,2506.0,2517.0,nan,2513.0,11,552860.0,102,2516.0,1,2507.0,1,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988285229100032,1597988285714999808,2020-08-21 13:38:05.715000,2506.0,2517.0,2506.0,2517.0,nan,2513.0,11,552860.0,102,2515.0,1,2507.0,1,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988288256115968,1597988288730000128,2020-08-21 13:38:08.730000,2506.0,2517.0,2506.0,2517.0,nan,2513.0,11,552860.0,102,2514.0,1,2507.0,1,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988292754402048,1597988293236999936,2020-08-21 13:38:13.237000,2506.0,2517.0,2506.0,2517.0,nan,2513.0,11,552860.0,102,2513.0,1,2507.0,1,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988295260054016,1597988295724999936,2020-08-21 13:38:15.725000,2506.0,2517.0,2506.0,2517.0,nan,2513.0,11,552860.0,102,2512.0,1,2507.0,1,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988300789012992,1597988301226000128,2020-08-21 13:38:21.226000,2506.0,2517.0,2506.0,2517.0,nan,2513.0,11,552860.0,102,2511.0,1,2507.0,1,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988309256933120,1597988309736000000,2020-08-21 13:38:29.736000,2506.0,2517.0,2506.0,2517.0,nan,2513.0,11,552860.0,102,2530.0,3,2507.0,1,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988309949555968,1597988310227000064,2020-08-21 13:38:30.227000,2506.0,2517.0,2506.0,2517.0,nan,2513.0,11,552860.0,102,2524.0,1,2507.0,1,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988340288471040,1597988340736999936,2020-08-21 13:39:00.737000,2506.0,2517.0,2506.0,2517.0,nan,2513.0,11,552860.0,102,2523.0,1,2507.0,1,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988344781681920,1597988345236999936,2020-08-21 13:39:05.237000,2506.0,2517.0,2506.0,2517.0,nan,2513.0,11,552860.0,102,2522.0,1,2507.0,1,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
