local_nano_time,quote_nano_time,datetime,last_price,highest,lowest,open,close,average,volume,amount,open_interest,ask_price1,ask_volume1,bid_price1,bid_volume1,ask_price2,ask_volume2,bid_price2,bid_volume2,ask_price3,ask_volume3,bid_price3,bid_volume3,ask_price4,ask_volume4,bid_price4,bid_volume4,ask_price5,ask_volume5,bid_price5,bid_volume5
1597988229741899008,1597988230227000064,2020-08-21 13:37:10.227000,8625.0,8654.0,8490.0,8590.0,nan,8571.0,353531,30301142010.0,152741,8627.0,18,8626.0,4,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988230239026944,1597988230713999872,2020-08-21 13:37:10.714000,8625.0,8654.0,8490.0,8590.0,nan,8571.0,353536,30301570560.0,152740,8626.0,16,8625.0,28,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988231228292096,1597988231734999808,2020-08-21 13:37:11.735000,8625.0,8654.0,8490.0,8590.0,nan,8571.0,353536,30301570560.0,152740,8626.0,21,8625.0,23,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988231725600000,1597988232226000128,2020-08-21 13:37:12.226000,8625.0,8654.0,8490.0,8590.0,nan,8571.0,353539,30301827690.0,152740,8626.0,21,8625.0,22,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988232228930048,1597988232742000128,2020-08-21 13:37:12.742000,8626.0,8654.0,8490.0,8590.0,nan,8571.0,353540,30301913400.0,152740,8626.0,20,8625.0,22,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988232722836992,1597988233224999936,2020-08-21 13:37:13.225000,8625.0,8654.0,8490.0,8590.0,nan,8571.0,353543,30302170530.0,152738,8626.0,18,8625.0,21,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988233204855040,1597988233696999936,2020-08-21 13:37:13.697000,8626.0,8654.0,8490.0,8590.0,nan,8571.0,353545,30302341950.0,152739,8626.0,18,8625.0,20,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988233719162880,1597988234216000000,2020-08-21 13:37:14.216000,8626.0,8654.0,8490.0,8590.0,nan,8571.0,353545,30302341950.0,152739,8626.0,19,8625.0,20,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988234213731072,1597988234720999936,2020-08-21 13:37:14.721000,8625.0,8654.0,8490.0,8590.0,nan,8571.0,353565,30304056150.0,152728,8625.0,1,8624.0,18,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988234725908992,1597988235193000192,2020-08-21 13:37:15.193000,8625.0,8654.0,8490.0,8590.0,nan,8571.0,353576,30304998960.0,152722,8626.0,18,8625.0,7,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988235219272960,1597988235608000000,2020-08-21 13:37:15.608000,8625.0,8654.0,8490.0,8590.0,nan,8571.0,353579,30305256090.0,152721,8626.0,19,8625.0,6,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988235742818048,1597988236221999872,2020-08-21 13:37:16.222000,8625.0,8654.0,8490.0,8590.0,nan,8571.0,353583,30305598930.0,152721,8626.0,19,8625.0,10,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988236215083008,1597988236734999808,2020-08-21 13:37:16.735000,8626.0,8654.0,8490.0,8590.0,nan,8571.0,353585,30305770350.0,152722,8626.0,18,8625.0,9,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988236705537024,1597988237232000000,2020-08-21 13:37:17.232000,8625.0,8654.0,8490.0,8590.0,nan,8571.0,353599,30306970290.0,152732,8625.0,17,8624.0,28,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988237227283968,1597988237740000000,2020-08-21 13:37:17.740000,8625.0,8654.0,8490.0,8590.0,nan,8571.0,353599,30306970290.0,152732,8625.0,27,8624.0,31,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988237729698048,1597988238211000064,2020-08-21 13:37:18.211000,8625.0,8654.0,8490.0,8590.0,nan,8571.0,353599,30306970290.0,152732,8625.0,29,8624.0,30,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988238255475968,1597988238712000000,2020-08-21 13:37:18.712000,8625.0,8654.0,8490.0,8590.0,nan,8571.0,353600,30307056000.0,152733,8625.0,38,8624.0,30,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988238738038016,1597988239240999936,2020-08-21 13:37:19.241000,8625.0,8654.0,8490.0,8590.0,nan,8571.0,353601,30307141710.0,152734,8625.0,37,8624.0,30,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988239200794112,1597988239690000128,2020-08-21 13:37:19.690000,8624.0,8654.0,8490.0,8590.0,nan,8571.0,353607,30307655970.0,152730,8625.0,36,8624.0,25,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988239722145024,1597988240232999936,2020-08-21 13:37:20.233000,8624.0,8654.0,8490.0,8590.0,nan,8571.0,353640,30310484400.0,152750,8625.0,24,8624.0,17,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988240224442880,1597988240720999936,2020-08-21 13:37:20.721000,8624.0,8654.0,8490.0,8590.0,nan,8571.0,353642,30310655820.0,152751,8625.0,24,8624.0,15,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988240718477056,1597988241204000000,2020-08-21 13:37:21.204000,8624.0,8654.0,8490.0,8590.0,nan,8571.0,353642,30310655820.0,152751,8625.0,24,8624.0,16,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988241198607872,1597988241731000064,2020-08-21 13:37:21.731000,8624.0,8654.0,8490.0,8590.0,nan,8571.0,353649,30311255790.0,152751,8625.0,21,8624.0,15,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988241726674944,1597988242229000192,2020-08-21 13:37:22.229000,8624.0,8654.0,8490.0,8590.0,nan,8571.0,353649,30311255790.0,152751,8625.0,21,8624.0,20,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988242191265024,1597988242733999872,2020-08-21 13:37:22.734000,8625.0,8654.0,8490.0,8590.0,nan,8571.0,353654,30311684340.0,152751,8625.0,18,8624.0,22,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988242732430080,1597988243240000000,2020-08-21 13:37:23.240000,8625.0,8654.0,8490.0,8590.0,nan,8571.0,353664,30312541440.0,152754,8625.0,10,8624.0,22,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988243198684928,1597988243736999936,2020-08-21 13:37:23.737000,8624.0,8654.0,8490.0,8590.0,nan,8571.0,353665,30312627150.0,152754,8625.0,9,8624.0,21,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988243715328000,1597988244160000000,2020-08-21 13:37:24.160000,8624.0,8654.0,8490.0,8590.0,nan,8571.0,353676,30313569960.0,152753,8625.0,8,8624.0,11,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988244213947904,1597988244698999808,2020-08-21 13:37:24.699000,8624.0,8654.0,8490.0,8590.0,nan,8571.0,353690,30314769900.0,152757,8624.0,2,8623.0,26,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988244739008000,1597988245219000064,2020-08-21 13:37:25.219000,8624.0,8654.0,8490.0,8590.0,nan,8571.0,353697,30315369870.0,152759,8624.0,13,8623.0,25,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988245202834944,1597988245700000000,2020-08-21 13:37:25.700000,8623.0,8654.0,8490.0,8590.0,nan,8571.0,353707,30316226970.0,152759,8624.0,14,8623.0,15,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988245722023936,1597988246232999936,2020-08-21 13:37:26.233000,8623.0,8654.0,8490.0,8590.0,nan,8571.0,353710,30316484100.0,152759,8624.0,15,8623.0,23,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988246271526912,1597988246723000064,2020-08-21 13:37:26.723000,8624.0,8654.0,8490.0,8590.0,nan,8571.0,353730,30318198300.0,152750,8624.0,15,8623.0,4,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988246755491072,1597988247234999808,2020-08-21 13:37:27.235000,8623.0,8654.0,8490.0,8590.0,nan,8571.0,353734,30318541140.0,152753,8624.0,20,8622.0,16,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988247226091008,1597988247742000128,2020-08-21 13:37:27.742000,8624.0,8654.0,8490.0,8590.0,nan,8571.0,353752,30320083920.0,152761,8624.0,10,8622.0,24,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988247732472064,1597988248221999872,2020-08-21 13:37:28.222000,8623.0,8654.0,8490.0,8590.0,nan,8571.0,353754,30320255340.0,152763,8624.0,20,8623.0,9,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988248243362048,1597988248727000064,2020-08-21 13:37:28.727000,8623.0,8654.0,8490.0,8590.0,nan,8571.0,353758,30320598180.0,152765,8624.0,20,8623.0,10,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988248697869056,1597988249240000000,2020-08-21 13:37:29.240000,8623.0,8654.0,8490.0,8590.0,nan,8571.0,353758,30320598180.0,152765,8624.0,21,8623.0,10,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988249242323968,1597988249731000064,2020-08-21 13:37:29.731000,8623.0,8654.0,8490.0,8590.0,nan,8571.0,353760,30320769600.0,152763,8624.0,23,8623.0,9,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988249704097024,1597988250240000000,2020-08-21 13:37:30.240000,8623.0,8654.0,8490.0,8590.0,nan,8571.0,353765,30321198150.0,152761,8624.0,25,8623.0,7,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988250250066944,1597988250739000064,2020-08-21 13:37:30.739000,8623.0,8654.0,8490.0,8590.0,nan,8571.0,353765,30321198150.0,152761,8624.0,26,8623.0,7,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988250743001088,1597988251240000000,2020-08-21 13:37:31.240000,8623.0,8654.0,8490.0,8590.0,nan,8571.0,353780,30322483800.0,152774,8623.0,12,8622.0,35,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988251197502976,1597988251737999872,2020-08-21 13:37:31.738000,8622.0,8654.0,8490.0,8590.0,nan,8571.0,353786,30322998060.0,152777,8623.0,17,8622.0,32,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988251709076992,1597988252190000128,2020-08-21 13:37:32.190000,8623.0,8654.0,8490.0,8590.0,nan,8571.0,353789,30323255190.0,152777,8623.0,15,8622.0,34,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988252230745088,1597988252742000128,2020-08-21 13:37:32.742000,8623.0,8654.0,8490.0,8590.0,nan,8571.0,353790,30323340900.0,152777,8623.0,20,8622.0,34,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988252736222976,1597988253240000000,2020-08-21 13:37:33.240000,8622.0,8654.0,8490.0,8590.0,nan,8571.0,353791,30323426610.0,152778,8623.0,20,8622.0,33,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988253242927104,1597988253730000128,2020-08-21 13:37:33.730000,8622.0,8654.0,8490.0,8590.0,nan,8571.0,353794,30323683740.0,152781,8623.0,20,8622.0,38,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988253729956096,1597988254240999936,2020-08-21 13:37:34.241000,8622.0,8654.0,8490.0,8590.0,nan,8571.0,353803,30324455130.0,152777,8623.0,18,8622.0,32,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988254215217920,1597988254739000064,2020-08-21 13:37:34.739000,8622.0,8654.0,8490.0,8590.0,nan,8571.0,353811,30325140810.0,152777,8623.0,18,8622.0,24,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988254759141888,1597988255228000000,2020-08-21 13:37:35.228000,8622.0,8654.0,8490.0,8590.0,nan,8571.0,353816,30325569360.0,152778,8623.0,17,8622.0,19,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988255224094976,1597988255737999872,2020-08-21 13:37:35.738000,8622.0,8654.0,8490.0,8590.0,nan,8571.0,353816,30325569360.0,152778,8623.0,17,8622.0,27,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988255729682944,1597988256232999936,2020-08-21 13:37:36.233000,8623.0,8654.0,8490.0,8590.0,nan,8571.0,353833,30327026430.0,152786,8624.0,26,8623.0,4,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988256229069056,1597988256740999936,2020-08-21 13:37:36.741000,8623.0,8654.0,8490.0,8590.0,nan,8571.0,353837,30327369270.0,152785,8624.0,26,8623.0,8,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988256741294080,1597988257223000064,2020-08-21 13:37:37.223000,8622.0,8654.0,8490.0,8590.0,nan,8571.0,353880,30331054800.0,152798,8622.0,8,8621.0,13,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988257208995072,1597988257727000064,2020-08-21 13:37:37.727000,8622.0,8654.0,8490.0,8590.0,nan,8571.0,353899,30332683290.0,152799,8623.0,3,8622.0,1,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988257731675904,1597988258237999872,2020-08-21 13:37:38.238000,8623.0,8654.0,8490.0,8590.0,nan,8571.0,353900,30332769000.0,152799,8623.0,13,8622.0,5,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988258737416960,1597988259240000000,2020-08-21 13:37:39.240000,8622.0,8654.0,8490.0,8590.0,nan,8571.0,353907,30333368970.0,152794,8622.0,3,8621.0,15,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988259235959040,1597988259724000000,2020-08-21 13:37:39.724000,8622.0,8654.0,8490.0,8590.0,nan,8571.0,353914,30333968940.0,152794,8623.0,15,8622.0,4,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988259757189120,1597988260211000064,2020-08-21 13:37:40.211000,8622.0,8654.0,8490.0,8590.0,nan,8571.0,353917,30334226070.0,152794,8623.0,14,8622.0,2,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988260217117952,1597988260736999936,2020-08-21 13:37:40.737000,8622.0,8654.0,8490.0,8590.0,nan,8571.0,353917,30334226070.0,152794,8623.0,14,8622.0,4,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988260737841920,1597988261242000128,2020-08-21 13:37:41.242000,8622.0,8654.0,8490.0,8590.0,nan,8571.0,353922,30334654620.0,152790,8622.0,7,8621.0,16,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
