local_nano_time,quote_nano_time,datetime,last_price,highest,lowest,open,close,average,volume,amount,open_interest,ask_price1,ask_volume1,bid_price1,bid_volume1,ask_price2,ask_volume2,bid_price2,bid_volume2,ask_price3,ask_volume3,bid_price3,bid_volume3,ask_price4,ask_volume4,bid_price4,bid_volume4,ask_price5,ask_volume5,bid_price5,bid_volume5
1597988226231666944,1597988226727000064,2020-08-21 13:37:06.727000,1639.0,1640.0,1596.0,1596.0,nan,1622.0,446579,14487022760.0,111115,1640.0,670,1639.0,66,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988226698315008,1597988227224000000,2020-08-21 13:37:07.224000,1639.0,1640.0,1596.0,1596.0,nan,1622.0,446643,14489098920.0,111109,1640.0,608,1639.0,79,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988227192866048,1597988227728000000,2020-08-21 13:37:07.728000,1640.0,1640.0,1596.0,1596.0,nan,1622.0,446733,14492018520.0,111098,1640.0,564,1639.0,41,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988227704601088,1597988228239000064,2020-08-21 13:37:08.239000,1639.0,1640.0,1596.0,1596.0,nan,1622.0,446951,14499090440.0,111024,1639.0,217,1638.0,430,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988228190586880,1597988228728000000,2020-08-21 13:37:08.728000,1639.0,1640.0,1596.0,1596.0,nan,1622.0,446990,14500355600.0,111022,1639.0,387,1638.0,349,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988228703238912,1597988229198999808,2020-08-21 13:37:09.199000,1639.0,1640.0,1596.0,1596.0,nan,1622.0,447068,14502885920.0,111018,1639.0,501,1638.0,324,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988229209553920,1597988229670000128,2020-08-21 13:37:09.670000,1639.0,1640.0,1596.0,1596.0,nan,1622.0,447475,14516089000.0,110890,1639.0,511,1638.0,1,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988229712883968,1597988230227000064,2020-08-21 13:37:10.227000,1639.0,1640.0,1596.0,1596.0,nan,1622.0,447488,14516510720.0,110888,1639.0,507,1638.0,17,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988230250589952,1597988230713999872,2020-08-21 13:37:10.714000,1639.0,1640.0,1596.0,1596.0,nan,1622.0,447585,14519657400.0,110892,1639.0,458,1638.0,98,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988230699081984,1597988231226000128,2020-08-21 13:37:11.226000,1639.0,1640.0,1596.0,1596.0,nan,1622.0,447636,14521311840.0,110887,1639.0,352,1638.0,117,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
