local_nano_time,quote_nano_time,datetime,last_price,highest,lowest,open,close,average,volume,amount,open_interest,ask_price1,ask_volume1,bid_price1,bid_volume1,ask_price2,ask_volume2,bid_price2,bid_volume2,ask_price3,ask_volume3,bid_price3,bid_volume3,ask_price4,ask_volume4,bid_price4,bid_volume4,ask_price5,ask_volume5,bid_price5,bid_volume5
1597988229744050944,1597988230227000064,2020-08-21 13:37:10.227000,5846.0,5846.0,5766.0,5778.0,nan,5802.0,57414,1665580140.0,64128,5846.0,186,5844.0,20,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988230241580032,1597988230713999872,2020-08-21 13:37:10.714000,5844.0,5846.0,5766.0,5778.0,nan,5802.0,57417,1665667170.0,64128,5846.0,194,5844.0,20,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988231229611008,1597988231734999808,2020-08-21 13:37:11.735000,5844.0,5846.0,5766.0,5778.0,nan,5802.0,57417,1665667170.0,64128,5846.0,195,5844.0,22,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988231727153920,1597988232226000128,2020-08-21 13:37:12.226000,5844.0,5846.0,5766.0,5778.0,nan,5802.0,57417,1665667170.0,64128,5846.0,195,5844.0,30,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988234214915072,1597988234720999936,2020-08-21 13:37:14.721000,5844.0,5846.0,5766.0,5778.0,nan,5802.0,57418,1665696180.0,64127,5846.0,195,5844.0,28,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988235220855040,1597988235608000000,2020-08-21 13:37:15.608000,5846.0,5846.0,5766.0,5778.0,nan,5802.0,57419,1665725190.0,64128,5846.0,194,5844.0,29,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988235744314880,1597988236221999872,2020-08-21 13:37:16.222000,5844.0,5846.0,5766.0,5778.0,nan,5802.0,57449,1666595490.0,64146,5844.0,20,5842.0,47,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988236237658112,1597988236734999808,2020-08-21 13:37:16.735000,5844.0,5846.0,5766.0,5778.0,nan,5802.0,57449,1666595490.0,64146,5844.0,23,5842.0,35,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988236706620928,1597988237232000000,2020-08-21 13:37:17.232000,5844.0,5846.0,5766.0,5778.0,nan,5802.0,57449,1666595490.0,64146,5844.0,28,5842.0,33,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988237730724096,1597988238211000064,2020-08-21 13:37:18.211000,5844.0,5846.0,5766.0,5778.0,nan,5802.0,57464,1667030640.0,64161,5844.0,13,5842.0,33,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988238259604992,1597988238712000000,2020-08-21 13:37:18.712000,5844.0,5846.0,5766.0,5778.0,nan,5802.0,57465,1667059650.0,64162,5844.0,12,5842.0,33,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988238739389952,1597988239240999936,2020-08-21 13:37:19.241000,5844.0,5846.0,5766.0,5778.0,nan,5802.0,57465,1667059650.0,64162,5844.0,9,5842.0,40,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988240258600960,1597988240720999936,2020-08-21 13:37:20.721000,5844.0,5846.0,5766.0,5778.0,nan,5802.0,57465,1667059650.0,64162,5844.0,10,5842.0,40,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988240720005888,1597988241204000000,2020-08-21 13:37:21.204000,5844.0,5846.0,5766.0,5778.0,nan,5802.0,57475,1667349750.0,64165,5846.0,194,5844.0,9,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988242215421952,1597988242733999872,2020-08-21 13:37:22.734000,5844.0,5846.0,5766.0,5778.0,nan,5802.0,57476,1667378760.0,64165,5846.0,195,5844.0,10,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988243233921024,1597988243736999936,2020-08-21 13:37:23.737000,5844.0,5846.0,5766.0,5778.0,nan,5802.0,57476,1667378760.0,64165,5846.0,195,5844.0,17,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988244215261952,1597988244698999808,2020-08-21 13:37:24.699000,5844.0,5846.0,5766.0,5778.0,nan,5802.0,57476,1667378760.0,64165,5846.0,195,5844.0,32,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988244745858048,1597988245219000064,2020-08-21 13:37:25.219000,5844.0,5846.0,5766.0,5778.0,nan,5802.0,57478,1667436780.0,64165,5846.0,195,5844.0,32,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988245204805120,1597988245700000000,2020-08-21 13:37:25.700000,5844.0,5846.0,5766.0,5778.0,nan,5802.0,57478,1667436780.0,64165,5846.0,196,5844.0,32,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988246756672000,1597988247234999808,2020-08-21 13:37:27.235000,5846.0,5846.0,5766.0,5778.0,nan,5802.0,57479,1667465790.0,64166,5846.0,196,5844.0,32,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988247227397120,1597988247742000128,2020-08-21 13:37:27.742000,5844.0,5846.0,5766.0,5778.0,nan,5804.0,57484,1668185680.0,64164,5846.0,196,5844.0,35,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988247733658112,1597988248221999872,2020-08-21 13:37:28.222000,5844.0,5846.0,5766.0,5778.0,nan,5804.0,57484,1668185680.0,64164,5846.0,196,5844.0,34,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988248246983936,1597988248727000064,2020-08-21 13:37:28.727000,5844.0,5846.0,5766.0,5778.0,nan,5804.0,57485,1668214700.0,64164,5846.0,196,5844.0,33,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988249244169984,1597988249731000064,2020-08-21 13:37:29.731000,5844.0,5846.0,5766.0,5778.0,nan,5804.0,57519,1669201380.0,64181,5844.0,9,5842.0,116,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988249740004096,1597988250240000000,2020-08-21 13:37:30.240000,5842.0,5846.0,5766.0,5778.0,nan,5804.0,57520,1669230400.0,64182,5844.0,9,5842.0,108,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988250254365952,1597988250739000064,2020-08-21 13:37:30.739000,5842.0,5846.0,5766.0,5778.0,nan,5804.0,57526,1669404520.0,64182,5844.0,20,5842.0,86,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988250745841920,1597988251240000000,2020-08-21 13:37:31.240000,5842.0,5846.0,5766.0,5778.0,nan,5804.0,57526,1669404520.0,64182,5844.0,20,5842.0,88,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988251214178048,1597988251737999872,2020-08-21 13:37:31.738000,5844.0,5846.0,5766.0,5778.0,nan,5804.0,57534,1669636680.0,64189,5844.0,15,5842.0,88,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988251743973888,1597988252190000128,2020-08-21 13:37:32.190000,5844.0,5846.0,5766.0,5778.0,nan,5804.0,57534,1669636680.0,64189,5844.0,12,5842.0,89,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988253244162048,1597988253730000128,2020-08-21 13:37:33.730000,5844.0,5846.0,5766.0,5778.0,nan,5804.0,57534,1669636680.0,64189,5844.0,14,5842.0,89,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988256230871040,1597988256740999936,2020-08-21 13:37:36.741000,5844.0,5846.0,5766.0,5778.0,nan,5804.0,57534,1669636680.0,64189,5844.0,15,5842.0,89,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988256742002944,1597988257223000064,2020-08-21 13:37:37.223000,5844.0,5846.0,5766.0,5778.0,nan,5804.0,57534,1669636680.0,64189,5844.0,16,5842.0,89,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988257222251008,1597988257727000064,2020-08-21 13:37:37.727000,5844.0,5846.0,5766.0,5778.0,nan,5804.0,57535,1669665700.0,64190,5844.0,15,5842.0,89,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988258738767104,1597988259240000000,2020-08-21 13:37:39.240000,5844.0,5846.0,5766.0,5778.0,nan,5804.0,57535,1669665700.0,64190,5844.0,17,5842.0,89,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988260218616064,1597988260736999936,2020-08-21 13:37:40.737000,5844.0,5846.0,5766.0,5778.0,nan,5804.0,57537,1669723740.0,64192,5844.0,15,5842.0,88,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988260739216896,1597988261242000128,2020-08-21 13:37:41.242000,5844.0,5846.0,5766.0,5778.0,nan,5804.0,57538,1669752760.0,64193,5844.0,14,5842.0,88,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988261726820096,1597988262239000064,2020-08-21 13:37:42.239000,5844.0,5846.0,5766.0,5778.0,nan,5804.0,57544,1669926880.0,64190,5844.0,5,5842.0,90,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988262741256960,1597988263232999936,2020-08-21 13:37:43.233000,5842.0,5846.0,5766.0,5778.0,nan,5804.0,57598,1671493960.0,64194,5844.0,4,5842.0,37,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988263215833088,1597988263740999936,2020-08-21 13:37:43.741000,5842.0,5846.0,5766.0,5778.0,nan,5804.0,57603,1671639060.0,64194,5844.0,30,5842.0,32,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988264251721984,1597988264740999936,2020-08-21 13:37:44.741000,5844.0,5846.0,5766.0,5778.0,nan,5804.0,57608,1671784160.0,64197,5844.0,25,5842.0,32,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988266740933120,1597988267224000000,2020-08-21 13:37:47.224000,5844.0,5846.0,5766.0,5778.0,nan,5804.0,57608,1671784160.0,64197,5844.0,27,5842.0,32,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988267237699072,1597988267736999936,2020-08-21 13:37:47.737000,5842.0,5846.0,5766.0,5778.0,nan,5804.0,57609,1671813180.0,64197,5844.0,27,5842.0,31,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988267737178112,1597988268177999872,2020-08-21 13:37:48.178000,5842.0,5846.0,5766.0,5778.0,nan,5804.0,57640,1672712800.0,64199,5842.0,19,5840.0,62,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988268231122944,1597988268732999936,2020-08-21 13:37:48.733000,5842.0,5846.0,5766.0,5778.0,nan,5804.0,57640,1672712800.0,64199,5842.0,22,5840.0,43,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988271743495936,1597988272233999872,2020-08-21 13:37:52.234000,5842.0,5846.0,5766.0,5778.0,nan,5804.0,57640,1672712800.0,64199,5842.0,22,5840.0,64,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988272232929024,1597988272740000000,2020-08-21 13:37:52.740000,5842.0,5846.0,5766.0,5778.0,nan,5804.0,57641,1672741820.0,64200,5842.0,23,5840.0,64,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988273224514048,1597988273732000000,2020-08-21 13:37:53.732000,5842.0,5846.0,5766.0,5778.0,nan,5804.0,57641,1672741820.0,64200,5842.0,23,5840.0,64,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988274232494080,1597988274724999936,2020-08-21 13:37:54.725000,5842.0,5846.0,5766.0,5778.0,nan,5804.0,57641,1672741820.0,64200,5842.0,25,5840.0,64,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988274747958016,1597988275239000064,2020-08-21 13:37:55.239000,5840.0,5846.0,5766.0,5778.0,nan,5804.0,57644,1672828880.0,64198,5842.0,25,5840.0,61,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988275761228032,1597988276240999936,2020-08-21 13:37:56.241000,5840.0,5846.0,5766.0,5778.0,nan,5804.0,57644,1672828880.0,64198,5842.0,27,5840.0,61,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988277754673920,1597988278236999936,2020-08-21 13:37:58.237000,5840.0,5846.0,5766.0,5778.0,nan,5804.0,57645,1672857900.0,64198,5842.0,27,5840.0,60,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988278222844928,1597988278736000000,2020-08-21 13:37:58.736000,5840.0,5846.0,5766.0,5778.0,nan,5804.0,57646,1672886920.0,64199,5842.0,27,5840.0,59,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988279254012928,1597988279720000000,2020-08-21 13:37:59.720000,5840.0,5846.0,5766.0,5778.0,nan,5804.0,57647,1672915940.0,64199,5842.0,27,5840.0,58,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988279744438016,1597988280161999872,2020-08-21 13:38:00.162000,5840.0,5846.0,5766.0,5778.0,nan,5804.0,57648,1672944960.0,64198,5842.0,27,5840.0,57,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988280248507904,1597988280742000128,2020-08-21 13:38:00.742000,5840.0,5846.0,5766.0,5778.0,nan,5804.0,57648,1672944960.0,64198,5842.0,27,5840.0,59,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988280742809088,1597988281236999936,2020-08-21 13:38:01.237000,5840.0,5846.0,5766.0,5778.0,nan,5804.0,57649,1672973980.0,64198,5842.0,27,5840.0,58,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988281222856960,1597988281742000128,2020-08-21 13:38:01.742000,5840.0,5846.0,5766.0,5778.0,nan,5804.0,57649,1672973980.0,64198,5842.0,27,5840.0,60,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988281746746112,1597988282193000192,2020-08-21 13:38:02.193000,5840.0,5846.0,5766.0,5778.0,nan,5804.0,57665,1673438300.0,64189,5842.0,32,5840.0,44,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988282237414912,1597988282712999936,2020-08-21 13:38:02.713000,5840.0,5846.0,5766.0,5778.0,nan,5804.0,57665,1673438300.0,64189,5842.0,40,5840.0,40,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988283757639936,1597988284237999872,2020-08-21 13:38:04.238000,5840.0,5846.0,5766.0,5778.0,nan,5804.0,57665,1673438300.0,64189,5842.0,40,5840.0,41,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988284741512960,1597988285234999808,2020-08-21 13:38:05.235000,5842.0,5846.0,5766.0,5778.0,nan,5804.0,57695,1674308900.0,64213,5842.0,10,5840.0,44,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988285229422080,1597988285714999808,2020-08-21 13:38:05.715000,5842.0,5846.0,5766.0,5778.0,nan,5804.0,57695,1674308900.0,64213,5842.0,10,5840.0,46,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988285747891968,1597988286236999936,2020-08-21 13:38:06.237000,5840.0,5846.0,5766.0,5778.0,nan,5804.0,57696,1674337920.0,64214,5842.0,10,5840.0,47,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988286741146112,1597988287240000000,2020-08-21 13:38:07.240000,5842.0,5846.0,5766.0,5778.0,nan,5804.0,57697,1674366940.0,64215,5842.0,9,5840.0,47,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988287225221120,1597988287739000064,2020-08-21 13:38:07.739000,5842.0,5846.0,5766.0,5778.0,nan,5804.0,57697,1674366940.0,64215,5842.0,10,5840.0,49,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
