local_nano_time,quote_nano_time,datetime,last_price,highest,lowest,open,close,average,volume,amount,open_interest,ask_price1,ask_volume1,bid_price1,bid_volume1,ask_price2,ask_volume2,bid_price2,bid_volume2,ask_price3,ask_volume3,bid_price3,bid_volume3,ask_price4,ask_volume4,bid_price4,bid_volume4,ask_price5,ask_volume5,bid_price5,bid_volume5
1597988227703186944,1597988228239000064,2020-08-21 13:37:08.239000,5844.0,5846.0,5766.0,5778.0,nan,5802.0,57389,1664854890.0,64121,5846.0,204,5844.0,30,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988228204686080,1597988228728000000,2020-08-21 13:37:08.728000,5844.0,5846.0,5766.0,5778.0,nan,5802.0,57390,1664883900.0,64121,5846.0,205,5844.0,30,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988228702420992,1597988229198999808,2020-08-21 13:37:09.199000,5844.0,5846.0,5766.0,5778.0,nan,5802.0,57395,1665028950.0,64121,5846.0,205,5844.0,17,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988229208257024,1597988229670000128,2020-08-21 13:37:09.670000,5846.0,5846.0,5766.0,5778.0,nan,5802.0,57402,1665232020.0,64128,5846.0,198,5844.0,20,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988229712082944,1597988230227000064,2020-08-21 13:37:10.227000,5846.0,5846.0,5766.0,5778.0,nan,5802.0,57414,1665580140.0,64128,5846.0,186,5844.0,20,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988230249047040,1597988230713999872,2020-08-21 13:37:10.714000,5844.0,5846.0,5766.0,5778.0,nan,5802.0,57417,1665667170.0,64128,5846.0,194,5844.0,20,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988231207695104,1597988231734999808,2020-08-21 13:37:11.735000,5844.0,5846.0,5766.0,5778.0,nan,5802.0,57417,1665667170.0,64128,5846.0,195,5844.0,22,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988231715866880,1597988232226000128,2020-08-21 13:37:12.226000,5844.0,5846.0,5766.0,5778.0,nan,5802.0,57417,1665667170.0,64128,5846.0,195,5844.0,30,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988234206831104,1597988234720999936,2020-08-21 13:37:14.721000,5844.0,5846.0,5766.0,5778.0,nan,5802.0,57418,1665696180.0,64127,5846.0,195,5844.0,28,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988235201701888,1597988235608000000,2020-08-21 13:37:15.608000,5846.0,5846.0,5766.0,5778.0,nan,5802.0,57419,1665725190.0,64128,5846.0,194,5844.0,29,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
