local_nano_time,quote_nano_time,datetime,last_price,highest,lowest,open,close,average,volume,amount,open_interest,ask_price1,ask_volume1,bid_price1,bid_volume1,ask_price2,ask_volume2,bid_price2,bid_volume2,ask_price3,ask_volume3,bid_price3,bid_volume3,ask_price4,ask_volume4,bid_price4,bid_volume4,ask_price5,ask_volume5,bid_price5,bid_volume5
1597988229741104128,1597988230227000064,2020-08-21 13:37:10.227000,5043.0,5057.0,5009.0,5051.0,nan,5032.0,410054,20633917280.0,515490,5044.0,162,5043.0,25,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988230236855040,1597988230713999872,2020-08-21 13:37:10.714000,5044.0,5057.0,5009.0,5051.0,nan,5032.0,410060,20634219200.0,515487,5044.0,153,5043.0,242,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988230718555904,1597988231226000128,2020-08-21 13:37:11.226000,5044.0,5057.0,5009.0,5051.0,nan,5032.0,410062,20634319840.0,515486,5044.0,150,5043.0,248,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988231227537920,1597988231734999808,2020-08-21 13:37:11.735000,5044.0,5057.0,5009.0,5051.0,nan,5032.0,410067,20634571440.0,515488,5044.0,145,5043.0,251,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988231724966912,1597988232226000128,2020-08-21 13:37:12.226000,5044.0,5057.0,5009.0,5051.0,nan,5032.0,410212,20641867840.0,515511,5045.0,112,5044.0,32,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988232228343040,1597988232742000128,2020-08-21 13:37:12.742000,5044.0,5057.0,5009.0,5051.0,nan,5032.0,410213,20641918160.0,515511,5045.0,108,5044.0,63,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988232722216960,1597988233224999936,2020-08-21 13:37:13.225000,5044.0,5057.0,5009.0,5051.0,nan,5032.0,410223,20642421360.0,515521,5045.0,109,5044.0,57,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988233204160000,1597988233696999936,2020-08-21 13:37:13.697000,5043.0,5057.0,5009.0,5051.0,nan,5032.0,410284,20645490880.0,515555,5044.0,40,5043.0,271,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988233718818048,1597988234216000000,2020-08-21 13:37:14.216000,5044.0,5057.0,5009.0,5051.0,nan,5032.0,410286,20645591520.0,515555,5044.0,48,5043.0,275,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988234213433088,1597988234720999936,2020-08-21 13:37:14.721000,5044.0,5057.0,5009.0,5051.0,nan,5032.0,410310,20646799200.0,515545,5044.0,24,5043.0,279,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988234725244928,1597988235193000192,2020-08-21 13:37:15.193000,5044.0,5057.0,5009.0,5051.0,nan,5032.0,410330,20647805600.0,515546,5044.0,39,5043.0,280,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988235218638080,1597988235608000000,2020-08-21 13:37:15.608000,5043.0,5057.0,5009.0,5051.0,nan,5032.0,410364,20649516480.0,515512,5044.0,10,5043.0,281,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988235742045952,1597988236221999872,2020-08-21 13:37:16.222000,5044.0,5057.0,5009.0,5051.0,nan,5032.0,410377,20650170640.0,515517,5045.0,115,5044.0,1,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988236237273088,1597988236734999808,2020-08-21 13:37:16.735000,5044.0,5057.0,5009.0,5051.0,nan,5032.0,410388,20650724160.0,515518,5045.0,117,5043.0,286,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988236718256896,1597988237232000000,2020-08-21 13:37:17.232000,5044.0,5057.0,5009.0,5051.0,nan,5032.0,410400,20651328000.0,515511,5044.0,127,5043.0,282,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988237225964032,1597988237740000000,2020-08-21 13:37:17.740000,5044.0,5057.0,5009.0,5051.0,nan,5032.0,410400,20651328000.0,515511,5044.0,127,5043.0,289,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988237729026048,1597988238211000064,2020-08-21 13:37:18.211000,5044.0,5057.0,5009.0,5051.0,nan,5032.0,410402,20651428640.0,515511,5044.0,125,5043.0,289,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988238251523072,1597988238712000000,2020-08-21 13:37:18.712000,5044.0,5057.0,5009.0,5051.0,nan,5032.0,410403,20651478960.0,515511,5044.0,125,5043.0,347,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988238737231104,1597988239240999936,2020-08-21 13:37:19.241000,5044.0,5057.0,5009.0,5051.0,nan,5032.0,410403,20651478960.0,515511,5044.0,126,5043.0,347,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988239200075008,1597988239690000128,2020-08-21 13:37:19.690000,5044.0,5057.0,5009.0,5051.0,nan,5032.0,410414,20652032480.0,515511,5044.0,115,5043.0,348,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988239721468928,1597988240232999936,2020-08-21 13:37:20.233000,5044.0,5057.0,5009.0,5051.0,nan,5032.0,410414,20652032480.0,515511,5044.0,116,5043.0,350,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988240257778944,1597988240720999936,2020-08-21 13:37:20.721000,5044.0,5057.0,5009.0,5051.0,nan,5032.0,410415,20652082800.0,515510,5044.0,115,5043.0,351,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988240717860096,1597988241204000000,2020-08-21 13:37:21.204000,5044.0,5057.0,5009.0,5051.0,nan,5032.0,410416,20652133120.0,515510,5044.0,114,5043.0,353,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988241228813056,1597988241731000064,2020-08-21 13:37:21.731000,5044.0,5057.0,5009.0,5051.0,nan,5032.0,410417,20652183440.0,515510,5044.0,114,5043.0,354,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988241726326016,1597988242229000192,2020-08-21 13:37:22.229000,5044.0,5057.0,5009.0,5051.0,nan,5032.0,410417,20652183440.0,515510,5044.0,116,5043.0,354,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988242213699072,1597988242733999872,2020-08-21 13:37:22.734000,5044.0,5057.0,5009.0,5051.0,nan,5032.0,410417,20652183440.0,515510,5044.0,129,5043.0,354,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988242731063040,1597988243240000000,2020-08-21 13:37:23.240000,5044.0,5057.0,5009.0,5051.0,nan,5032.0,410417,20652183440.0,515510,5044.0,134,5043.0,354,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
