local_nano_time,quote_nano_time,datetime,last_price,highest,lowest,open,close,average,volume,amount,open_interest,ask_price1,ask_volume1,bid_price1,bid_volume1,ask_price2,ask_volume2,bid_price2,bid_volume2,ask_price3,ask_volume3,bid_price3,bid_volume3,ask_price4,ask_volume4,bid_price4,bid_volume4,ask_price5,ask_volume5,bid_price5,bid_volume5
1597988232724615936,1597988233224999936,2020-08-21 13:37:13.225000,1650.0,1674.0,1640.0,1656.0,nan,1656.0,66972,2218112640.0,50349,1650.0,57,1649.0,49,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988233206693120,1597988233696999936,2020-08-21 13:37:13.697000,1649.0,1674.0,1640.0,1656.0,nan,1656.0,66974,2218178880.0,50349,1650.0,57,1649.0,47,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988233720494080,1597988234216000000,2020-08-21 13:37:14.216000,1650.0,1674.0,1640.0,1656.0,nan,1656.0,66975,2218212000.0,50349,1650.0,56,1649.0,47,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988236238025984,1597988236734999808,2020-08-21 13:37:16.735000,1650.0,1674.0,1640.0,1656.0,nan,1656.0,66975,2218212000.0,50349,1650.0,54,1649.0,47,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988237731428096,1597988238211000064,2020-08-21 13:37:18.211000,1649.0,1674.0,1640.0,1656.0,nan,1656.0,66976,2218245120.0,50348,1650.0,53,1649.0,46,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988238263653120,1597988238712000000,2020-08-21 13:37:18.712000,1650.0,1674.0,1640.0,1656.0,nan,1656.0,66983,2218476960.0,50347,1650.0,46,1649.0,47,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988238739773952,1597988239240999936,2020-08-21 13:37:19.241000,1650.0,1674.0,1640.0,1656.0,nan,1656.0,66984,2218510080.0,50348,1650.0,47,1649.0,47,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988239723556096,1597988240232999936,2020-08-21 13:37:20.233000,1649.0,1674.0,1640.0,1656.0,nan,1656.0,66986,2218576320.0,50347,1650.0,47,1649.0,45,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988240258995968,1597988240720999936,2020-08-21 13:37:20.721000,1649.0,1674.0,1640.0,1656.0,nan,1656.0,66986,2218576320.0,50347,1650.0,50,1649.0,45,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988240720625920,1597988241204000000,2020-08-21 13:37:21.204000,1649.0,1674.0,1640.0,1656.0,nan,1656.0,66986,2218576320.0,50347,1650.0,50,1649.0,39,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988241230285056,1597988241731000064,2020-08-21 13:37:21.731000,1649.0,1674.0,1640.0,1656.0,nan,1656.0,66986,2218576320.0,50347,1650.0,51,1649.0,39,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988242735358976,1597988243240000000,2020-08-21 13:37:23.240000,1650.0,1674.0,1640.0,1656.0,nan,1656.0,66987,2218609440.0,50347,1650.0,50,1649.0,39,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988244748923904,1597988245219000064,2020-08-21 13:37:25.219000,1649.0,1674.0,1640.0,1656.0,nan,1656.0,66988,2218642560.0,50347,1650.0,50,1649.0,38,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988245244651008,1597988245700000000,2020-08-21 13:37:25.700000,1650.0,1674.0,1640.0,1656.0,nan,1656.0,66989,2218675680.0,50348,1650.0,49,1649.0,48,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988246273722880,1597988246723000064,2020-08-21 13:37:26.723000,1650.0,1674.0,1640.0,1656.0,nan,1656.0,66989,2218675680.0,50348,1650.0,51,1649.0,48,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988246757182976,1597988247234999808,2020-08-21 13:37:27.235000,1650.0,1674.0,1640.0,1656.0,nan,1656.0,66992,2218775040.0,50348,1650.0,48,1649.0,48,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988247228271104,1597988247742000128,2020-08-21 13:37:27.742000,1649.0,1674.0,1640.0,1656.0,nan,1656.0,66993,2218808160.0,50348,1650.0,48,1649.0,47,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988247734556928,1597988248221999872,2020-08-21 13:37:28.222000,1649.0,1674.0,1640.0,1656.0,nan,1656.0,66993,2218808160.0,50348,1650.0,53,1649.0,47,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988248254822912,1597988248727000064,2020-08-21 13:37:28.727000,1650.0,1674.0,1640.0,1656.0,nan,1656.0,66994,2218841280.0,50348,1650.0,52,1649.0,47,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988250747909120,1597988251240000000,2020-08-21 13:37:31.240000,1650.0,1674.0,1640.0,1656.0,nan,1656.0,67031,2220066720.0,50358,1650.0,15,1649.0,47,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988251215100928,1597988251737999872,2020-08-21 13:37:31.738000,1649.0,1674.0,1640.0,1656.0,nan,1656.0,67033,2220132960.0,50359,1650.0,14,1649.0,46,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988251744324096,1597988252190000128,2020-08-21 13:37:32.190000,1650.0,1674.0,1640.0,1656.0,nan,1656.0,67034,2220166080.0,50359,1650.0,13,1649.0,46,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988252232713984,1597988252742000128,2020-08-21 13:37:32.742000,1650.0,1674.0,1640.0,1656.0,nan,1656.0,67034,2220166080.0,50359,1650.0,14,1649.0,46,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988256742775040,1597988257223000064,2020-08-21 13:37:37.223000,1649.0,1674.0,1640.0,1656.0,nan,1656.0,67036,2220232320.0,50359,1650.0,14,1649.0,45,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988258230764032,1597988258734999808,2020-08-21 13:37:38.735000,1649.0,1674.0,1640.0,1656.0,nan,1656.0,67036,2220232320.0,50359,1650.0,15,1649.0,45,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988258739140096,1597988259240000000,2020-08-21 13:37:39.240000,1650.0,1674.0,1640.0,1656.0,nan,1656.0,67050,2220696000.0,50364,1650.0,1,1649.0,45,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988259238183936,1597988259724000000,2020-08-21 13:37:39.724000,1650.0,1674.0,1640.0,1656.0,nan,1656.0,67053,2220795360.0,50361,1651.0,110,1650.0,15,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988259760872960,1597988260211000064,2020-08-21 13:37:40.211000,1651.0,1674.0,1640.0,1656.0,nan,1656.0,67058,2220960960.0,50361,1651.0,105,1650.0,16,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988260739920896,1597988261242000128,2020-08-21 13:37:41.242000,1651.0,1674.0,1640.0,1656.0,nan,1656.0,67058,2220960960.0,50361,1651.0,105,1650.0,18,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988261253675008,1597988261736000000,2020-08-21 13:37:41.736000,1651.0,1674.0,1640.0,1656.0,nan,1656.0,67058,2220960960.0,50361,1651.0,105,1650.0,19,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988261727585024,1597988262239000064,2020-08-21 13:37:42.239000,1651.0,1674.0,1640.0,1656.0,nan,1656.0,67058,2220960960.0,50361,1651.0,105,1650.0,20,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988263216218112,1597988263740999936,2020-08-21 13:37:43.741000,1651.0,1674.0,1640.0,1656.0,nan,1656.0,67058,2220960960.0,50361,1651.0,105,1650.0,21,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988263728623104,1597988264236999936,2020-08-21 13:37:44.237000,1651.0,1674.0,1640.0,1656.0,nan,1656.0,67058,2220960960.0,50361,1651.0,105,1650.0,26,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
