local_nano_time,quote_nano_time,datetime,last_price,highest,lowest,open,close,average,volume,amount,open_interest,ask_price1,ask_volume1,bid_price1,bid_volume1,ask_price2,ask_volume2,bid_price2,bid_volume2,ask_price3,ask_volume3,bid_price3,bid_volume3,ask_price4,ask_volume4,bid_price4,bid_volume4,ask_price5,ask_volume5,bid_price5,bid_volume5
1597988227202910976,1597988227728000000,2020-08-21 13:37:07.728000,1650.0,1674.0,1640.0,1656.0,nan,1656.0,66968,2217980160.0,50350,1650.0,66,1649.0,43,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988227704045056,1597988228239000064,2020-08-21 13:37:08.239000,1649.0,1674.0,1640.0,1656.0,nan,1656.0,66969,2218013280.0,50351,1650.0,66,1649.0,48,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988228205308928,1597988228728000000,2020-08-21 13:37:08.728000,1650.0,1674.0,1640.0,1656.0,nan,1656.0,66971,2218079520.0,50349,1650.0,65,1649.0,49,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988232707824896,1597988233224999936,2020-08-21 13:37:13.225000,1650.0,1674.0,1640.0,1656.0,nan,1656.0,66972,2218112640.0,50349,1650.0,57,1649.0,49,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988233206951936,1597988233696999936,2020-08-21 13:37:13.697000,1649.0,1674.0,1640.0,1656.0,nan,1656.0,66974,2218178880.0,50349,1650.0,57,1649.0,47,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988233710799104,1597988234216000000,2020-08-21 13:37:14.216000,1650.0,1674.0,1640.0,1656.0,nan,1656.0,66975,2218212000.0,50349,1650.0,56,1649.0,47,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988236238088960,1597988236734999808,2020-08-21 13:37:16.735000,1650.0,1674.0,1640.0,1656.0,nan,1656.0,66975,2218212000.0,50349,1650.0,54,1649.0,47,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988237717980928,1597988238211000064,2020-08-21 13:37:18.211000,1649.0,1674.0,1640.0,1656.0,nan,1656.0,66976,2218245120.0,50348,1650.0,53,1649.0,46,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988238245918976,1597988238712000000,2020-08-21 13:37:18.712000,1650.0,1674.0,1640.0,1656.0,nan,1656.0,66983,2218476960.0,50347,1650.0,46,1649.0,47,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988238712193024,1597988239240999936,2020-08-21 13:37:19.241000,1650.0,1674.0,1640.0,1656.0,nan,1656.0,66984,2218510080.0,50348,1650.0,47,1649.0,47,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988239706341120,1597988240232999936,2020-08-21 13:37:20.233000,1649.0,1674.0,1640.0,1656.0,nan,1656.0,66986,2218576320.0,50347,1650.0,47,1649.0,45,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988240205108992,1597988240720999936,2020-08-21 13:37:20.721000,1649.0,1674.0,1640.0,1656.0,nan,1656.0,66986,2218576320.0,50347,1650.0,50,1649.0,45,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988240709672960,1597988241204000000,2020-08-21 13:37:21.204000,1649.0,1674.0,1640.0,1656.0,nan,1656.0,66986,2218576320.0,50347,1650.0,50,1649.0,39,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988241207079936,1597988241731000064,2020-08-21 13:37:21.731000,1649.0,1674.0,1640.0,1656.0,nan,1656.0,66986,2218576320.0,50347,1650.0,51,1649.0,39,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988242706619904,1597988243240000000,2020-08-21 13:37:23.240000,1650.0,1674.0,1640.0,1656.0,nan,1656.0,66987,2218609440.0,50347,1650.0,50,1649.0,39,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988244733044992,1597988245219000064,2020-08-21 13:37:25.219000,1649.0,1674.0,1640.0,1656.0,nan,1656.0,66988,2218642560.0,50347,1650.0,50,1649.0,38,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988245244861952,1597988245700000000,2020-08-21 13:37:25.700000,1650.0,1674.0,1640.0,1656.0,nan,1656.0,66989,2218675680.0,50348,1650.0,49,1649.0,48,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988246247670016,1597988246723000064,2020-08-21 13:37:26.723000,1650.0,1674.0,1640.0,1656.0,nan,1656.0,66989,2218675680.0,50348,1650.0,51,1649.0,48,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
