local_nano_time,quote_nano_time,datetime,last_price,highest,lowest,open,close,average,volume,amount,open_interest,ask_price1,ask_volume1,bid_price1,bid_volume1,ask_price2,ask_volume2,bid_price2,bid_volume2,ask_price3,ask_volume3,bid_price3,bid_volume3,ask_price4,ask_volume4,bid_price4,bid_volume4,ask_price5,ask_volume5,bid_price5,bid_volume5
1597988229828433920,1597988230368000000,2020-08-21 13:37:10.368000,4514.0,4538.0,4466.0,4505.0,nan,4504.0,168674,7598436350.0,143271,4515.0,78,4514.0,21,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988230366490112,1597988230868999936,2020-08-21 13:37:10.869000,4514.0,4538.0,4466.0,4505.0,nan,4504.0,168703,7599745430.0,143272,4515.0,72,4514.0,4,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988230828520960,1597988231385999872,2020-08-21 13:37:11.386000,4515.0,4538.0,4466.0,4505.0,nan,4504.0,168705,7599835720.0,143273,4515.0,71,4514.0,8,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988231326084096,1597988231885999872,2020-08-21 13:37:11.886000,4515.0,4538.0,4466.0,4505.0,nan,4504.0,168706,7599880870.0,143274,4515.0,68,4514.0,8,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988231825712896,1597988232336999936,2020-08-21 13:37:12.337000,4515.0,4538.0,4466.0,4505.0,nan,4504.0,168707,7599926020.0,143275,4515.0,71,4514.0,10,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988232327356928,1597988232928000000,2020-08-21 13:37:12.928000,4514.0,4538.0,4466.0,4505.0,nan,4504.0,168719,7600467700.0,143276,4514.0,41,4513.0,23,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988232825073920,1597988233396000000,2020-08-21 13:37:13.396000,4514.0,4538.0,4466.0,4505.0,nan,4504.0,168730,7600964240.0,143266,4514.0,30,4513.0,25,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988233351557888,1597988233885999872,2020-08-21 13:37:13.886000,4514.0,4538.0,4466.0,4505.0,nan,4504.0,168730,7600964240.0,143266,4514.0,30,4513.0,26,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988233828064000,1597988234381999872,2020-08-21 13:37:14.382000,4514.0,4538.0,4466.0,4505.0,nan,4504.0,168731,7601009380.0,143266,4514.0,30,4513.0,27,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988234337519104,1597988234932000000,2020-08-21 13:37:14.932000,4514.0,4538.0,4466.0,4505.0,nan,4504.0,168734,7601144800.0,143266,4514.0,27,4513.0,27,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988234828993024,1597988235413000192,2020-08-21 13:37:15.413000,4514.0,4538.0,4466.0,4505.0,nan,4504.0,168736,7601235080.0,143264,4514.0,25,4513.0,27,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988235341014016,1597988235884999936,2020-08-21 13:37:15.885000,4514.0,4538.0,4466.0,4505.0,nan,4504.0,168736,7601235080.0,143264,4514.0,25,4513.0,28,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988235839559936,1597988236377000192,2020-08-21 13:37:16.377000,4514.0,4538.0,4466.0,4505.0,nan,4504.0,168737,7601280220.0,143264,4514.0,24,4513.0,28,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
