local_nano_time,quote_nano_time,datetime,last_price,highest,lowest,open,close,average,volume,amount,open_interest,ask_price1,ask_volume1,bid_price1,bid_volume1,ask_price2,ask_volume2,bid_price2,bid_volume2,ask_price3,ask_volume3,bid_price3,bid_volume3,ask_price4,ask_volume4,bid_price4,bid_volume4,ask_price5,ask_volume5,bid_price5,bid_volume5
1597988231158273024,1597988231620999936,2020-08-21 13:37:11.621000,5264.0,5304.0,5141.0,5195.0,nan,5228.0,48009,1254993630.0,40466,5264.0,13,5263.0,1,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988233645957120,1597988234073999872,2020-08-21 13:37:14.074000,5264.0,5304.0,5141.0,5195.0,nan,5228.0,48022,1255335790.0,40465,5265.0,68,5263.0,1,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988234173488896,1597988234427000064,2020-08-21 13:37:14.427000,5263.0,5304.0,5141.0,5195.0,nan,5228.0,48023,1255362105.0,40466,5265.0,68,5262.0,1,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988235162513920,1597988235463000064,2020-08-21 13:37:15.463000,5263.0,5304.0,5141.0,5195.0,nan,5228.0,48023,1255362105.0,40466,5264.0,2,5262.0,1,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988235639077120,1597988236095000064,2020-08-21 13:37:16.095000,5264.0,5304.0,5141.0,5195.0,nan,5228.0,48025,1255414745.0,40466,5265.0,70,5262.0,2,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988236639648000,1597988237207000064,2020-08-21 13:37:17.207000,5265.0,5304.0,5141.0,5195.0,nan,5228.0,48028,1255493720.0,40464,5265.0,67,5262.0,2,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988239147083008,1597988239639000064,2020-08-21 13:37:19.639000,5262.0,5304.0,5141.0,5195.0,nan,5228.0,48033,1255625270.0,40460,5265.0,67,5262.0,1,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988240160591872,1597988240568000000,2020-08-21 13:37:20.568000,5262.0,5304.0,5141.0,5195.0,nan,5228.0,48033,1255625270.0,40460,5264.0,2,5262.0,1,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988241156050944,1597988241573999872,2020-08-21 13:37:21.574000,5262.0,5304.0,5141.0,5195.0,nan,5228.0,48033,1255625270.0,40460,5264.0,2,5261.0,1,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988241664835072,1597988242040000000,2020-08-21 13:37:22.040000,5262.0,5304.0,5141.0,5195.0,nan,5228.0,48033,1255625270.0,40460,5264.0,2,5262.0,2,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988242147341056,1597988242693000192,2020-08-21 13:37:22.693000,5264.0,5304.0,5141.0,5195.0,nan,5228.0,48035,1255677910.0,40460,5265.0,67,5262.0,2,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
