local_nano_time,quote_nano_time,datetime,last_price,highest,lowest,open,close,average,volume,amount,open_interest,ask_price1,ask_volume1,bid_price1,bid_volume1,ask_price2,ask_volume2,bid_price2,bid_volume2,ask_price3,ask_volume3,bid_price3,bid_volume3,ask_price4,ask_volume4,bid_price4,bid_volume4,ask_price5,ask_volume5,bid_price5,bid_volume5
1597988230215098880,1597988230579000064,2020-08-21 13:37:10.579000,3904.0,3924.0,3868.0,3897.0,nan,3895.0,137537,5357579070.0,200060,3904.0,44,3903.0,242,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988230636130048,1597988231226000128,2020-08-21 13:37:11.226000,3904.0,3924.0,3868.0,3897.0,nan,3895.0,137537,5357579070.0,200060,3904.0,64,3903.0,242,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988231157954048,1597988231719000064,2020-08-21 13:37:11.719000,3903.0,3924.0,3868.0,3897.0,nan,3895.0,137541,5357735190.0,200060,3904.0,64,3903.0,238,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988232177329920,1597988232732999936,2020-08-21 13:37:12.733000,3904.0,3924.0,3868.0,3897.0,nan,3895.0,137543,5357813270.0,200060,3904.0,65,3903.0,238,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988233132794112,1597988233693000192,2020-08-21 13:37:13.693000,3904.0,3924.0,3868.0,3897.0,nan,3895.0,137544,5357852310.0,200061,3904.0,64,3903.0,238,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988234173146112,1597988234667000064,2020-08-21 13:37:14.667000,3903.0,3924.0,3868.0,3897.0,nan,3895.0,137546,5357930370.0,200061,3904.0,65,3903.0,236,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988234643552000,1597988234937999872,2020-08-21 13:37:14.938000,3903.0,3924.0,3868.0,3897.0,nan,3895.0,137546,5357930370.0,200061,3904.0,50,3903.0,236,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988236639269888,1597988237207000064,2020-08-21 13:37:17.207000,3903.0,3924.0,3868.0,3897.0,nan,3895.0,137546,5357930370.0,200061,3904.0,50,3903.0,237,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988237183709952,1597988237734999808,2020-08-21 13:37:17.735000,3903.0,3924.0,3868.0,3897.0,nan,3895.0,137553,5358203580.0,200061,3904.0,51,3903.0,221,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988237638060032,1597988238211000064,2020-08-21 13:37:18.211000,3904.0,3924.0,3868.0,3897.0,nan,3895.0,137558,5358398780.0,200057,3904.0,47,3903.0,223,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988238201669120,1597988238667000064,2020-08-21 13:37:18.667000,3903.0,3924.0,3868.0,3897.0,nan,3895.0,137571,5358906270.0,200063,3904.0,36,3903.0,221,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988240159993088,1597988240690000128,2020-08-21 13:37:20.690000,3903.0,3924.0,3868.0,3897.0,nan,3895.0,137571,5358906270.0,200063,3904.0,37,3903.0,220,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988240646533120,1597988241131000064,2020-08-21 13:37:21.131000,3903.0,3924.0,3868.0,3897.0,nan,3895.0,137572,5358945300.0,200064,3904.0,37,3903.0,220,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988241155405056,1597988241632000000,2020-08-21 13:37:21.632000,3904.0,3924.0,3868.0,3897.0,nan,3895.0,137573,5358984340.0,200065,3904.0,36,3903.0,219,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988241664325888,1597988242147000064,2020-08-21 13:37:22.147000,3903.0,3924.0,3868.0,3897.0,nan,3895.0,137575,5359062400.0,200065,3904.0,36,3903.0,214,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988242146952960,1597988242693000192,2020-08-21 13:37:22.693000,3903.0,3924.0,3868.0,3897.0,nan,3895.0,137575,5359062400.0,200065,3904.0,37,3903.0,224,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988243166530048,1597988243612000000,2020-08-21 13:37:23.612000,3903.0,3924.0,3868.0,3897.0,nan,3895.0,137576,5359101430.0,200065,3904.0,37,3903.0,224,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988244143202048,1597988244653000192,2020-08-21 13:37:24.653000,3904.0,3924.0,3868.0,3897.0,nan,3895.0,137578,5359179510.0,200067,3904.0,37,3903.0,224,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988244644630016,1597988245172000000,2020-08-21 13:37:25.172000,3903.0,3924.0,3868.0,3897.0,nan,3895.0,137589,5359608930.0,200073,3904.0,39,3903.0,222,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988245137189888,1597988245647000064,2020-08-21 13:37:25.647000,3903.0,3924.0,3868.0,3897.0,nan,3895.0,137695,5363746110.0,200173,3904.0,45,3903.0,116,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988245640390912,1597988246232999936,2020-08-21 13:37:26.233000,3902.0,3924.0,3868.0,3897.0,nan,3895.0,137824,5368780850.0,200195,3903.0,134,3902.0,25,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988246207463936,1597988246602999808,2020-08-21 13:37:26.603000,3902.0,3924.0,3868.0,3897.0,nan,3895.0,137857,5370068510.0,200203,3902.0,8,3901.0,26,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988246691941888,1597988247192000000,2020-08-21 13:37:27.192000,3902.0,3924.0,3868.0,3897.0,nan,3895.0,137874,5370731850.0,200193,3903.0,135,3902.0,24,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988247165611008,1597988247686000128,2020-08-21 13:37:27.686000,3902.0,3924.0,3868.0,3897.0,nan,3895.0,137877,5370848910.0,200193,3903.0,136,3902.0,21,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988247638198016,1597988248221999872,2020-08-21 13:37:28.222000,3902.0,3924.0,3868.0,3897.0,nan,3895.0,137877,5370848910.0,200193,3903.0,136,3902.0,27,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988248197239040,1597988248716000000,2020-08-21 13:37:28.716000,3902.0,3924.0,3868.0,3897.0,nan,3895.0,137881,5371004990.0,200192,3903.0,138,3902.0,23,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988248648518912,1597988249240000000,2020-08-21 13:37:29.240000,3902.0,3924.0,3868.0,3897.0,nan,3895.0,137917,5372409710.0,200198,3903.0,138,3902.0,1,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988249187610112,1597988249728000000,2020-08-21 13:37:29.728000,3901.0,3924.0,3868.0,3897.0,nan,3895.0,137920,5372526750.0,200196,3902.0,9,3901.0,35,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988249647311104,1597988250240000000,2020-08-21 13:37:30.240000,3902.0,3924.0,3868.0,3897.0,nan,3895.0,137933,5373034010.0,200208,3903.0,140,3902.0,33,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988250220278016,1597988250739000064,2020-08-21 13:37:30.739000,3902.0,3924.0,3868.0,3897.0,nan,3895.0,137966,5374321670.0,200239,3902.0,2,3901.0,34,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988250663399936,1597988251240000000,2020-08-21 13:37:31.240000,3902.0,3924.0,3868.0,3897.0,nan,3895.0,137976,5374711870.0,200239,3902.0,2,3901.0,39,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988251147383040,1597988251664000000,2020-08-21 13:37:31.664000,3902.0,3924.0,3868.0,3897.0,nan,3895.0,137979,5374828930.0,200240,3903.0,135,3902.0,9,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988251671462912,1597988252137000192,2020-08-21 13:37:32.137000,3902.0,3924.0,3868.0,3897.0,nan,3895.0,137988,5375180110.0,200240,3902.0,27,3901.0,39,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988252151426048,1597988252742000128,2020-08-21 13:37:32.742000,3901.0,3924.0,3868.0,3897.0,nan,3895.0,137995,5375453240.0,200242,3902.0,27,3901.0,29,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988252671554048,1597988253234999808,2020-08-21 13:37:33.235000,3901.0,3924.0,3868.0,3897.0,nan,3895.0,137995,5375453240.0,200242,3902.0,27,3901.0,30,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988253164899072,1597988253723000064,2020-08-21 13:37:33.723000,3902.0,3924.0,3868.0,3897.0,nan,3895.0,137996,5375492260.0,200243,3902.0,27,3901.0,31,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988253636997888,1597988254224000000,2020-08-21 13:37:34.224000,3901.0,3924.0,3868.0,3897.0,nan,3895.0,137997,5375531270.0,200243,3902.0,27,3901.0,30,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988254138757120,1597988254696000000,2020-08-21 13:37:34.696000,3901.0,3924.0,3868.0,3897.0,nan,3895.0,137999,5375609290.0,200242,3902.0,30,3901.0,28,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988254636741120,1597988255148000000,2020-08-21 13:37:35.148000,3902.0,3924.0,3868.0,3897.0,nan,3895.0,138000,5375648310.0,200243,3902.0,31,3901.0,28,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988255141285120,1597988255696000000,2020-08-21 13:37:35.696000,3902.0,3924.0,3868.0,3897.0,nan,3895.0,138003,5375765370.0,200246,3902.0,28,3901.0,32,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988255640872960,1597988256232999936,2020-08-21 13:37:36.233000,3902.0,3924.0,3868.0,3897.0,nan,3895.0,138006,5375882430.0,200249,3902.0,22,3901.0,37,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988256179947008,1597988256673000192,2020-08-21 13:37:36.673000,3901.0,3924.0,3868.0,3897.0,nan,3895.0,138013,5376155500.0,200251,3902.0,17,3901.0,30,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988256657061888,1597988257223000064,2020-08-21 13:37:37.223000,3901.0,3924.0,3868.0,3897.0,nan,3895.0,138020,5376428570.0,200253,3902.0,29,3901.0,23,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988257159800064,1597988257727000064,2020-08-21 13:37:37.727000,3901.0,3924.0,3868.0,3897.0,nan,3895.0,138020,5376428570.0,200253,3902.0,31,3901.0,22,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988257639595008,1597988258223000064,2020-08-21 13:37:38.223000,3901.0,3924.0,3868.0,3897.0,nan,3895.0,138021,5376467580.0,200252,3902.0,31,3901.0,21,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
