local_nano_time,quote_nano_time,datetime,last_price,highest,lowest,open,close,average,volume,amount,open_interest,ask_price1,ask_volume1,bid_price1,bid_volume1,ask_price2,ask_volume2,bid_price2,bid_volume2,ask_price3,ask_volume3,bid_price3,bid_volume3,ask_price4,ask_volume4,bid_price4,bid_volume4,ask_price5,ask_volume5,bid_price5,bid_volume5
1597988229677521920,1597988230194000128,2020-08-21 13:37:10.194000,1941.5,1968.0,1929.5,1956.0,nan,1949.5,119593,23316062000.0,98051,1941.5,6,1941.0,15,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988230635149056,1597988231226000128,2020-08-21 13:37:11.226000,1941.5,1968.0,1929.5,1956.0,nan,1949.5,119593,23316062000.0,98051,1941.5,7,1941.0,15,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988232635939072,1597988233224999936,2020-08-21 13:37:13.225000,1941.5,1968.0,1929.5,1956.0,nan,1949.5,119595,23316450300.0,98053,1941.5,5,1941.0,15,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988233132280064,1597988233696999936,2020-08-21 13:37:13.697000,1941.5,1968.0,1929.5,1956.0,nan,1949.5,119605,23318391800.0,98053,1942.0,9,1941.5,29,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988233644631040,1597988234214999808,2020-08-21 13:37:14.215000,1942.0,1968.0,1929.5,1956.0,nan,1949.5,119613,23319945400.0,98055,1942.5,16,1942.0,9,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988234171588096,1597988234667000064,2020-08-21 13:37:14.667000,1942.0,1968.0,1929.5,1956.0,nan,1949.5,119619,23321110600.0,98057,1942.5,12,1942.0,11,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988234642798080,1597988235101999872,2020-08-21 13:37:15.102000,1942.5,1968.0,1929.5,1956.0,nan,1949.5,119620,23321304850.0,98058,1942.5,9,1942.0,20,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988235161121024,1597988235579000064,2020-08-21 13:37:15.579000,1942.5,1968.0,1929.5,1956.0,nan,1949.5,119620,23321304850.0,98058,1942.5,16,1942.0,20,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988236163010048,1597988236734999808,2020-08-21 13:37:16.735000,1942.0,1968.0,1929.5,1956.0,nan,1949.5,119623,23321887550.0,98059,1942.5,14,1942.0,20,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988236637916928,1597988237232000000,2020-08-21 13:37:17.232000,1942.0,1968.0,1929.5,1956.0,nan,1949.5,119624,23322081750.0,98058,1942.5,14,1942.0,19,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988237180819968,1597988237740000000,2020-08-21 13:37:17.740000,1942.5,1968.0,1929.5,1956.0,nan,1949.5,119626,23322470200.0,98058,1942.5,14,1942.0,18,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988237646313984,1597988238211000064,2020-08-21 13:37:18.211000,1942.5,1968.0,1929.5,1956.0,nan,1949.5,119632,23323635700.0,98060,1943.0,25,1942.0,18,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988238200425984,1597988238712000000,2020-08-21 13:37:18.712000,1942.5,1968.0,1929.5,1956.0,nan,1949.5,119641,23325383950.0,98060,1942.5,1,1942.0,9,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988238635865088,1597988239240999936,2020-08-21 13:37:19.241000,1942.5,1968.0,1929.5,1956.0,nan,1949.5,119641,23325383950.0,98060,1942.5,12,1942.0,9,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
