local_nano_time,quote_nano_time,datetime,last_price,highest,lowest,open,close,average,volume,amount,open_interest,ask_price1,ask_volume1,bid_price1,bid_volume1,ask_price2,ask_volume2,bid_price2,bid_volume2,ask_price3,ask_volume3,bid_price3,bid_volume3,ask_price4,ask_volume4,bid_price4,bid_volume4,ask_price5,ask_volume5,bid_price5,bid_volume5
1597988226356176896,1597988226913000192,2020-08-21 13:37:06.913000,3577.0,3602.0,3564.0,3582.0,nan,3584.0,199169,7139585350.0,221410,3578.0,123,3577.0,15,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988226835328000,1597988227382999808,2020-08-21 13:37:07.383000,3578.0,3602.0,3564.0,3582.0,nan,3584.0,199174,7139764250.0,221415,3578.0,122,3577.0,17,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988227338599936,1597988227920999936,2020-08-21 13:37:07.921000,3577.0,3602.0,3564.0,3582.0,nan,3584.0,199175,7139800020.0,221415,3578.0,120,3577.0,18,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988227837560064,1597988228427000064,2020-08-21 13:37:08.427000,3577.0,3602.0,3564.0,3582.0,nan,3584.0,199178,7139907340.0,221416,3578.0,119,3577.0,18,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988228333702912,1597988228901999872,2020-08-21 13:37:08.902000,3577.0,3602.0,3564.0,3582.0,nan,3584.0,199179,7139943110.0,221417,3578.0,119,3577.0,18,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988228840713984,1597988229404000000,2020-08-21 13:37:09.404000,3577.0,3602.0,3564.0,3582.0,nan,3584.0,199200,7140694280.0,221433,3577.0,31,3576.0,155,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988229331804928,1597988229887000064,2020-08-21 13:37:09.887000,3577.0,3602.0,3564.0,3582.0,nan,3584.0,199200,7140694280.0,221433,3577.0,31,3576.0,160,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988229837712896,1597988230432000000,2020-08-21 13:37:10.432000,3577.0,3602.0,3564.0,3582.0,nan,3584.0,199201,7140730050.0,221434,3577.0,30,3576.0,160,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988230337757952,1597988230888000000,2020-08-21 13:37:10.888000,3578.0,3602.0,3564.0,3582.0,nan,3584.0,199232,7141838930.0,221437,3578.0,100,3577.0,8,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988230840527104,1597988231411000064,2020-08-21 13:37:11.411000,3577.0,3602.0,3564.0,3582.0,nan,3584.0,199233,7141874700.0,221436,3578.0,100,3577.0,9,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988231333403904,1597988231908999936,2020-08-21 13:37:11.909000,3577.0,3602.0,3564.0,3582.0,nan,3584.0,199239,7142089320.0,221430,3578.0,100,3577.0,6,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
