local_nano_time,quote_nano_time,datetime,last_price,highest,lowest,open,close,average,volume,amount,open_interest,ask_price1,ask_volume1,bid_price1,bid_volume1,ask_price2,ask_volume2,bid_price2,bid_volume2,ask_price3,ask_volume3,bid_price3,bid_volume3,ask_price4,ask_volume4,bid_price4,bid_volume4,ask_price5,ask_volume5,bid_price5,bid_volume5
1597988229830376960,1597988230432000000,2020-08-21 13:37:10.432000,2882.0,2897.0,2863.0,2895.0,nan,2878.0,699978,20149711860.0,1369447,2882.0,127,2881.0,762,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988230368006912,1597988230888000000,2020-08-21 13:37:10.888000,2882.0,2897.0,2863.0,2895.0,nan,2878.0,699991,20150086420.0,1369439,2882.0,146,2881.0,752,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988230829764096,1597988231411000064,2020-08-21 13:37:11.411000,2882.0,2897.0,2863.0,2895.0,nan,2878.0,699991,20150086420.0,1369439,2882.0,147,2881.0,754,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988231336377088,1597988231908999936,2020-08-21 13:37:11.909000,2882.0,2897.0,2863.0,2895.0,nan,2878.0,699994,20150172880.0,1369441,2882.0,147,2881.0,761,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988231826767872,1597988232423000064,2020-08-21 13:37:12.423000,2882.0,2897.0,2863.0,2895.0,nan,2878.0,700000,20150345800.0,1369442,2882.0,146,2881.0,761,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988232337865984,1597988232932000000,2020-08-21 13:37:12.932000,2882.0,2897.0,2863.0,2895.0,nan,2878.0,700000,20150345800.0,1369442,2882.0,147,2881.0,767,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988232835862016,1597988233396000000,2020-08-21 13:37:13.396000,2881.0,2897.0,2863.0,2895.0,nan,2878.0,700004,20150461070.0,1369438,2882.0,260,2881.0,770,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988233352697088,1597988233912000000,2020-08-21 13:37:13.912000,2881.0,2897.0,2863.0,2895.0,nan,2878.0,700007,20150547520.0,1369438,2882.0,204,2881.0,775,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988233828904960,1597988234381999872,2020-08-21 13:37:14.382000,2881.0,2897.0,2863.0,2895.0,nan,2878.0,700007,20150547520.0,1369438,2882.0,206,2881.0,776,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988234338725120,1597988234932000000,2020-08-21 13:37:14.932000,2882.0,2897.0,2863.0,2895.0,nan,2878.0,700010,20150633980.0,1369441,2882.0,203,2881.0,781,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
