local_nano_time,quote_nano_time,datetime,last_price,highest,lowest,open,close,average,volume,amount,open_interest,ask_price1,ask_volume1,bid_price1,bid_volume1,ask_price2,ask_volume2,bid_price2,bid_volume2,ask_price3,ask_volume3,bid_price3,bid_volume3,ask_price4,ask_volume4,bid_price4,bid_volume4,ask_price5,ask_volume5,bid_price5,bid_volume5
1597988229678476032,1597988230216000000,2020-08-21 13:37:10.216000,3617.0,3636.0,3551.0,3580.0,nan,3589.0,153946,11053044880.0,91846,3618.0,14,3617.0,16,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988230243095040,1597988230713999872,2020-08-21 13:37:10.714000,3617.0,3636.0,3551.0,3580.0,nan,3589.0,153962,11054202320.0,91835,3618.0,19,3616.0,10,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988230636500992,1597988231226000128,2020-08-21 13:37:11.226000,3617.0,3636.0,3551.0,3580.0,nan,3589.0,153963,11054274660.0,91835,3617.0,2,3616.0,10,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988231158566912,1597988231734999808,2020-08-21 13:37:11.735000,3617.0,3636.0,3551.0,3580.0,nan,3589.0,153965,11054419340.0,91833,3618.0,19,3617.0,8,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988231647744000,1597988232226000128,2020-08-21 13:37:12.226000,3618.0,3636.0,3551.0,3580.0,nan,3589.0,153969,11054708740.0,91832,3618.0,15,3617.0,6,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988232177732096,1597988232742000128,2020-08-21 13:37:12.742000,3618.0,3636.0,3551.0,3580.0,nan,3589.0,153969,11054708740.0,91832,3618.0,17,3617.0,11,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988232636791040,1597988233224999936,2020-08-21 13:37:13.225000,3618.0,3636.0,3551.0,3580.0,nan,3589.0,153969,11054708740.0,91832,3618.0,17,3617.0,12,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988234173805056,1597988234700000000,2020-08-21 13:37:14.700000,3618.0,3636.0,3551.0,3580.0,nan,3589.0,153970,11054781100.0,91833,3618.0,16,3617.0,12,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988234643891968,1597988235193000192,2020-08-21 13:37:15.193000,3617.0,3636.0,3551.0,3580.0,nan,3589.0,153971,11054853440.0,91832,3618.0,17,3617.0,12,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988235162880000,1597988235579000064,2020-08-21 13:37:15.579000,3617.0,3636.0,3551.0,3580.0,nan,3589.0,153977,11055287480.0,91826,3618.0,17,3617.0,6,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988235639443968,1597988236221999872,2020-08-21 13:37:16.222000,3617.0,3636.0,3551.0,3580.0,nan,3589.0,153979,11055432160.0,91824,3618.0,17,3617.0,4,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988236164837888,1597988236734999808,2020-08-21 13:37:16.735000,3618.0,3636.0,3551.0,3580.0,nan,3589.0,153984,11055793880.0,91824,3618.0,16,3617.0,5,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988236639972096,1597988237232000000,2020-08-21 13:37:17.232000,3617.0,3636.0,3551.0,3580.0,nan,3589.0,153986,11055938560.0,91826,3618.0,16,3617.0,3,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988238203411968,1597988238712000000,2020-08-21 13:37:18.712000,3617.0,3636.0,3551.0,3580.0,nan,3589.0,153989,11056155580.0,91826,3617.0,1,3616.0,21,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988238636476928,1597988239240999936,2020-08-21 13:37:19.241000,3617.0,3636.0,3551.0,3580.0,nan,3589.0,153990,11056227920.0,91826,3617.0,5,3616.0,21,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988239147735040,1597988239690000128,2020-08-21 13:37:19.690000,3617.0,3636.0,3551.0,3580.0,nan,3589.0,153991,11056300260.0,91826,3617.0,5,3616.0,16,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988239644605952,1597988240232999936,2020-08-21 13:37:20.233000,3617.0,3636.0,3551.0,3580.0,nan,3589.0,153992,11056372600.0,91826,3617.0,4,3616.0,16,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988240160861952,1597988240720999936,2020-08-21 13:37:20.721000,3617.0,3636.0,3551.0,3580.0,nan,3589.0,153994,11056517280.0,91826,3617.0,2,3616.0,16,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988240646925056,1597988241204000000,2020-08-21 13:37:21.204000,3617.0,3636.0,3551.0,3580.0,nan,3589.0,153995,11056589620.0,91826,3617.0,3,3616.0,17,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988241156349952,1597988241731000064,2020-08-21 13:37:21.731000,3617.0,3636.0,3551.0,3580.0,nan,3589.0,153997,11056734300.0,91825,3617.0,1,3616.0,17,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988241665679104,1597988242229000192,2020-08-21 13:37:22.229000,3617.0,3636.0,3551.0,3580.0,nan,3589.0,153998,11056806640.0,91825,3618.0,16,3617.0,25,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988242147735040,1597988242728000000,2020-08-21 13:37:22.728000,3617.0,3636.0,3551.0,3580.0,nan,3589.0,153999,11056878980.0,91826,3618.0,16,3617.0,24,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988242663729920,1597988243240000000,2020-08-21 13:37:23.240000,3617.0,3636.0,3551.0,3580.0,nan,3589.0,154010,11057674720.0,91827,3618.0,16,3617.0,13,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988243166957056,1597988243736999936,2020-08-21 13:37:23.737000,3617.0,3636.0,3551.0,3580.0,nan,3589.0,154011,11057747060.0,91827,3618.0,16,3617.0,12,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988243646586880,1597988244160000000,2020-08-21 13:37:24.160000,3618.0,3636.0,3551.0,3580.0,nan,3589.0,154016,11058108780.0,91826,3618.0,15,3617.0,9,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988245137540096,1597988245700000000,2020-08-21 13:37:25.700000,3617.0,3636.0,3551.0,3580.0,nan,3589.0,154019,11058325820.0,91828,3618.0,16,3617.0,7,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988246208610048,1597988246723000064,2020-08-21 13:37:26.723000,3618.0,3636.0,3551.0,3580.0,nan,3589.0,154022,11058542880.0,91829,3618.0,14,3617.0,6,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988247166183936,1597988247742000128,2020-08-21 13:37:27.742000,3617.0,3636.0,3551.0,3580.0,nan,3589.0,154023,11058615220.0,91830,3618.0,13,3617.0,5,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988248199892992,1597988248727000064,2020-08-21 13:37:28.727000,3617.0,3636.0,3551.0,3580.0,nan,3589.0,154025,11058759900.0,91832,3618.0,13,3617.0,3,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988248649553920,1597988249240000000,2020-08-21 13:37:29.240000,3617.0,3636.0,3551.0,3580.0,nan,3589.0,154028,11058976920.0,91835,3618.0,13,3616.0,19,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988249189948928,1597988249731000064,2020-08-21 13:37:29.731000,3616.0,3636.0,3551.0,3580.0,nan,3589.0,154031,11059193940.0,91835,3617.0,1,3616.0,18,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988249647940096,1597988250240000000,2020-08-21 13:37:30.240000,3617.0,3636.0,3551.0,3580.0,nan,3589.0,154032,11059266280.0,91835,3618.0,12,3617.0,2,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988250220796928,1597988250739000064,2020-08-21 13:37:30.739000,3617.0,3636.0,3551.0,3580.0,nan,3589.0,154032,11059266280.0,91835,3618.0,14,3617.0,2,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988250666838016,1597988251240000000,2020-08-21 13:37:31.240000,3617.0,3636.0,3551.0,3580.0,nan,3589.0,154035,11059483300.0,91835,3617.0,3,3616.0,18,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988251157241088,1597988251737999872,2020-08-21 13:37:31.738000,3617.0,3636.0,3551.0,3580.0,nan,3589.0,154038,11059700280.0,91836,3617.0,2,3616.0,17,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988252152134912,1597988252742000128,2020-08-21 13:37:32.742000,3617.0,3636.0,3551.0,3580.0,nan,3589.0,154038,11059700280.0,91836,3617.0,3,3616.0,20,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988252672272896,1597988253240000000,2020-08-21 13:37:33.240000,3617.0,3636.0,3551.0,3580.0,nan,3589.0,154040,11059844940.0,91837,3617.0,2,3616.0,19,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988253195716096,1597988253730000128,2020-08-21 13:37:33.730000,3617.0,3636.0,3551.0,3580.0,nan,3589.0,154040,11059844940.0,91837,3617.0,4,3616.0,19,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
