local_nano_time,quote_nano_time,datetime,last_price,highest,lowest,open,close,average,volume,amount,open_interest,ask_price1,ask_volume1,bid_price1,bid_volume1,ask_price2,ask_volume2,bid_price2,bid_volume2,ask_price3,ask_volume3,bid_price3,bid_volume3,ask_price4,ask_volume4,bid_price4,bid_volume4,ask_price5,ask_volume5,bid_price5,bid_volume5
1597988226228261120,1597988226719000064,2020-08-21 13:37:06.719000,7594.0,7715.0,7552.0,7710.0,nan,7621.0,336220,12812571100.0,253062,7594.0,39,7593.0,8,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988226654900992,1597988227224000000,2020-08-21 13:37:07.224000,7594.0,7715.0,7552.0,7710.0,nan,7621.0,336220,12812571100.0,253062,7594.0,40,7593.0,8,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988227150448128,1597988227728000000,2020-08-21 13:37:07.728000,7594.0,7715.0,7552.0,7710.0,nan,7621.0,336223,12812685010.0,253064,7594.0,37,7593.0,8,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988227648726016,1597988228239000064,2020-08-21 13:37:08.239000,7594.0,7715.0,7552.0,7710.0,nan,7621.0,336223,12812685010.0,253064,7594.0,39,7593.0,17,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988229647749888,1597988230227000064,2020-08-21 13:37:10.227000,7594.0,7715.0,7552.0,7710.0,nan,7621.0,336228,12812874860.0,253069,7594.0,34,7593.0,21,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988230215883008,1597988230713999872,2020-08-21 13:37:10.714000,7594.0,7715.0,7552.0,7710.0,nan,7621.0,336228,12812874860.0,253069,7594.0,34,7593.0,27,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988232177848064,1597988232742000128,2020-08-21 13:37:12.742000,7593.0,7715.0,7552.0,7710.0,nan,7621.0,336229,12812912825.0,253069,7594.0,38,7593.0,24,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988232657457920,1597988233224999936,2020-08-21 13:37:13.225000,7593.0,7715.0,7552.0,7710.0,nan,7621.0,336236,12813178605.0,253071,7594.0,38,7593.0,24,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988233145281024,1597988233696999936,2020-08-21 13:37:13.697000,7593.0,7715.0,7552.0,7710.0,nan,7621.0,336238,12813254535.0,253070,7594.0,38,7593.0,22,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988233645381120,1597988234216000000,2020-08-21 13:37:14.216000,7593.0,7715.0,7552.0,7710.0,nan,7621.0,336248,12813634185.0,253078,7594.0,38,7593.0,16,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988234154323968,1597988234720999936,2020-08-21 13:37:14.721000,7593.0,7715.0,7552.0,7710.0,nan,7621.0,336251,12813748080.0,253078,7594.0,38,7593.0,12,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988234650692096,1597988235193000192,2020-08-21 13:37:15.193000,7593.0,7715.0,7552.0,7710.0,nan,7621.0,336252,12813786045.0,253079,7594.0,37,7593.0,13,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988235146732032,1597988235604000000,2020-08-21 13:37:15.604000,7594.0,7715.0,7552.0,7710.0,nan,7621.0,336256,12813937915.0,253077,7594.0,37,7593.0,11,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988235779971072,1597988236221999872,2020-08-21 13:37:16.222000,7593.0,7715.0,7552.0,7710.0,nan,7621.0,336259,12814051810.0,253074,7594.0,37,7593.0,8,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988236150838016,1597988236734999808,2020-08-21 13:37:16.735000,7594.0,7715.0,7552.0,7710.0,nan,7621.0,336269,12814431510.0,253068,7594.0,28,7593.0,8,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988236643335936,1597988237232000000,2020-08-21 13:37:17.232000,7594.0,7715.0,7552.0,7710.0,nan,7621.0,336269,12814431510.0,253068,7594.0,28,7593.0,11,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988237149321984,1597988237740000000,2020-08-21 13:37:17.740000,7593.0,7715.0,7552.0,7710.0,nan,7621.0,336271,12814507440.0,253067,7594.0,28,7593.0,11,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988237650415104,1597988238211000064,2020-08-21 13:37:18.211000,7593.0,7715.0,7552.0,7710.0,nan,7621.0,336271,12814507440.0,253067,7594.0,29,7593.0,21,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988238169338112,1597988238712000000,2020-08-21 13:37:18.712000,7593.0,7715.0,7552.0,7710.0,nan,7621.0,336272,12814545405.0,253067,7594.0,29,7593.0,20,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988238658119936,1597988239240999936,2020-08-21 13:37:19.241000,7593.0,7715.0,7552.0,7710.0,nan,7621.0,336273,12814583370.0,253067,7594.0,29,7593.0,19,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988239158062080,1597988239690000128,2020-08-21 13:37:19.690000,7593.0,7715.0,7552.0,7710.0,nan,7621.0,336283,12814963020.0,253073,7594.0,36,7593.0,14,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988239672889088,1597988240232999936,2020-08-21 13:37:20.233000,7593.0,7715.0,7552.0,7710.0,nan,7621.0,336297,12815494530.0,253082,7593.0,6,7592.0,41,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988240186285056,1597988240720999936,2020-08-21 13:37:20.721000,7593.0,7715.0,7552.0,7710.0,nan,7621.0,336299,12815570460.0,253082,7593.0,18,7592.0,46,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
1597988240651827968,1597988241204000000,2020-08-21 13:37:21.204000,7593.0,7715.0,7552.0,7710.0,nan,7621.0,336301,12815646390.0,253084,7593.0,17,7592.0,46,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
